Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,FMC.N,7.84429,7.902612,7.785968,7.895322,7.895322,351600.0,2468021625.0,,,,,,,,,,,,,,,,,,
1998-01-05,FMC.N,7.924482,7.960934,7.815129,7.873451,7.873451,376800.0,2461185000.0,,,,,,,,,,,,,,,,,,
1998-01-06,FMC.N,7.888031,7.975514,7.85887,7.873451,7.873451,354400.0,2461185000.0,,,,,,,,,,,,,,,,,,
1998-01-07,FMC.N,7.902612,7.902612,7.713066,7.742227,7.742227,278800.0,2420165250.0,,,,,,,,,,,,,,,,,,
1998-01-08,FMC.N,7.742227,7.742227,7.581842,7.669324,7.669324,389200.0,2397376500.0,,,,,,,,,,,,,,,,,,
1998-01-09,FMC.N,7.669324,7.683905,7.268362,7.304813,7.304813,464000.0,2283432750.0,,,,,,,,,,,,,,,,,,
1998-01-12,FMC.N,7.261071,7.479778,7.261071,7.479778,7.479778,351200.0,2338125750.0,,,,,,,,,,,,,,,,,,
1998-01-13,FMC.N,7.479778,7.567261,7.377715,7.436037,7.436037,448800.0,2324452500.0,,,,,,,,,,,,,,,,,,
1998-01-14,FMC.N,7.457908,7.465198,7.348554,7.465198,7.465198,282400.0,2333568000.0,,,,,,,,,,,,,,,,,,
1998-01-15,FMC.N,7.494359,7.494359,7.326683,7.333974,7.333974,232000.0,2292548250.0,,,,,,,,,,,,,,,,,,
1998-01-16,FMC.N,7.377715,7.494359,7.377715,7.465198,7.465198,362800.0,2333568000.0,,,,,,,,,,,,,,,,,,
1998-01-20,FMC.N,7.508939,7.5381,7.443327,7.501649,7.501649,240000.0,2344962375.0,,,,,,,,,,,,,,,,,,
1998-01-21,FMC.N,7.53081,7.618293,7.436037,7.472488,7.472488,386000.0,2335846875.0,,,,,,,,,,,,,,,,,,
1998-01-22,FMC.N,7.465198,7.52352,7.450617,7.472488,7.472488,149600.0,2335846875.0,,,,,,,,,,,,,,,,,,
1998-01-23,FMC.N,7.501649,7.559971,7.436037,7.508939,7.508939,362800.0,2347241250.0,,,,,,,,,,,,,,,,,,
1998-01-26,FMC.N,7.501649,7.632873,7.501649,7.54539,7.54539,523600.0,2358635625.0,,,,,,,,,,,,,,,,,,
1998-01-27,FMC.N,7.54539,7.669324,7.501649,7.618293,7.618293,654800.0,2381424375.0,,,,,,,,,,,,,,,,,,
1998-01-28,FMC.N,7.654744,7.800549,7.654744,7.764097,7.764097,316000.0,2427001875.0,,,,,,,,,,,,,,,,,,
1998-01-29,FMC.N,7.742227,7.902612,7.742227,7.837,7.837,325200.0,2449790625.0,,,,,,,,,,,,,,,,,,
1998-01-30,FMC.N,7.829709,7.888031,7.822419,7.84429,7.84429,329600.0,2452069500.0,,,,,,,,,,,,,,,,,,
1998-02-02,FMC.N,7.902612,7.975514,7.902612,7.953643,7.953643,443600.0,2486252625.0,,,,,,,,,,,,,,,,,,
1998-02-03,FMC.N,7.960934,7.990095,7.917192,7.953643,7.953643,837600.0,2486252625.0,,,,,,,,,,,,,,,,,,
1998-02-04,FMC.N,7.931773,8.070287,7.931773,8.033836,8.033836,1188000.0,2511320250.0,,,,,,,,,,,,,,,,,,
1998-02-05,FMC.N,8.048416,8.16506,8.033836,8.15777,8.15777,458000.0,2550061125.0,,,,,,,,,,,,,,,,,,
1998-02-06,FMC.N,8.15777,8.230672,8.106738,8.143189,8.143189,299200.0,2545503375.0,,,,,,,,,,,,,,,,,,
1998-02-09,FMC.N,8.16506,8.194221,8.019256,8.019256,8.019256,358800.0,2506762500.0,,,,,,,,,,,,,,,,,,
1998-02-10,FMC.N,8.019256,8.274414,8.019256,8.237962,8.237962,507200.0,2575128750.0,,,,,,,,,,,,,,,,,,
1998-02-11,FMC.N,8.252543,8.296284,8.252543,8.296284,8.296284,226800.0,2593359750.0,,,,,,,,,,,,,,,,,,
1998-02-12,FMC.N,8.237962,8.310865,8.114029,8.303575,8.303575,301600.0,2595638625.0,,,,,,,,,,,,,,,,,,
1998-02-13,FMC.N,8.296284,8.383767,8.281704,8.288994,8.288994,167200.0,2591080875.0,,,,,,,,,,,,,,,,,,
1998-02-17,FMC.N,8.267123,8.383767,8.135899,8.179641,8.179641,355200.0,2556897750.0,,,,,,,,,,,,,,,,,,
1998-02-18,FMC.N,8.179641,8.391057,8.16506,8.340026,8.340026,302800.0,2609311875.0,,,,,,,,,,,,,,,,,,
1998-02-19,FMC.N,8.332735,8.332735,8.194221,8.208802,8.208802,159600.0,2566013250.0,,,,,,,,,,,,,,,,,,
1998-02-20,FMC.N,8.237962,8.310865,8.223382,8.281704,8.281704,236400.0,2588802000.0,,,,,,,,,,,,,,,,,,
1998-02-23,FMC.N,8.296284,8.310865,8.223382,8.259833,8.259833,297600.0,2581965375.0,,,,,,,,,,,,,,,,,,
