Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-30,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-02,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-03,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-04,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-05,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-06,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-09,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-10,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-11,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-12,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-13,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-17,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-18,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-19,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-20,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-23,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-24,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-25,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-26,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-27,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-02,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-03,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-04,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-05,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-06,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-09,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-10,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-11,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-12,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-13,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-16,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-17,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-18,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-19,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-20,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-23,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-24,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-25,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-26,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-27,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-30,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-31,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-01,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-02,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-03,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-06,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-07,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-08,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-09,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-13,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-14,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-15,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-16,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-17,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-20,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-21,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-22,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-23,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-24,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-27,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-28,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-29,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-30,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-01,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-04,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-05,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-06,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-07,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-08,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-11,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-12,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-13,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-14,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-15,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-18,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-19,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-20,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-21,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-22,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-26,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-27,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-28,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-29,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-01,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-02,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-03,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-04,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-05,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-08,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-09,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-10,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-11,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-12,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-15,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-16,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-17,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-18,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-19,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-22,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-23,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-24,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-25,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-26,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-29,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-30,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-01,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-02,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-06,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-07,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-08,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-09,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-10,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-13,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-14,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-15,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-16,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-17,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-20,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-21,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-22,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-23,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-24,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-27,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-28,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-29,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-30,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-31,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-03,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-04,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-05,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-06,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-07,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-10,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-11,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-12,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-13,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-14,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-17,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-18,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-19,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-20,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-21,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-24,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-25,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-26,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-27,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-28,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-08-31,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-01,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-02,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-03,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-04,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-08,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-09,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-10,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-11,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-14,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-15,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-16,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-17,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-18,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-21,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-22,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-23,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-24,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-25,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-28,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-29,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-09-30,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-10-01,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-10-02,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-10-05,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-10-06,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-10-07,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-10-08,FTNT.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
