Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,FTV.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,FTV.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,FTV.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,FTV.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,FTV.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,FTV.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,FTV.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,FTV.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,FTV.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,FTV.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,FTV.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,FTV.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,FTV.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,FTV.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,FTV.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,FTV.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,FTV.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,FTV.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,FTV.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-30,FTV.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-02,FTV.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-03,FTV.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-04,FTV.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-05,FTV.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-06,FTV.N,,,,,,0,,,,,,,,,,,,,,,,,,,
