Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,GD.N,21.59375,21.71875,21.390625,21.453125,21.453125,271600.0,5395809422.0625,,,,,,,,,,,,,,,,,,
1998-01-05,GD.N,21.453125,22.0,21.453125,21.765625,21.765625,402000.0,5474408248.3125,,,,,,,,,,,,,,,,,,
1998-01-06,GD.N,21.765625,21.96875,21.703125,21.71875,21.71875,370000.0,5462618424.375,,,,,,,,,,,,,,,,,,
1998-01-07,GD.N,21.65625,21.90625,21.546875,21.75,21.75,416800.0,5470478307.0,,,,,,,,,,,,,,,,,,
1998-01-08,GD.N,21.8125,21.828125,21.5,21.59375,21.59375,363200.0,5431178893.875,,,,,,,,,,,,,,,,,,
1998-01-09,GD.N,21.59375,21.59375,21.09375,21.25,21.25,493600.0,5344720185.0,,,,,,,,,,,,,,,,,,
1998-01-12,GD.N,21.1875,21.640625,21.109375,21.546875,21.546875,710000.0,5419389069.9375,,,,,,,,,,,,,,,,,,
1998-01-13,GD.N,21.59375,21.96875,21.53125,21.734375,21.734375,799600.0,5466548365.6875,,,,,,,,,,,,,,,,,,
1998-01-14,GD.N,21.5,21.5,21.1875,21.40625,21.40625,800800.0,5384019598.125,,,,,,,,,,,,,,,,,,
1998-01-15,GD.N,21.4375,21.4375,21.3125,21.328125,21.328125,352800.0,5364369891.5625,,,,,,,,,,,,,,,,,,
1998-01-16,GD.N,21.40625,21.4375,21.265625,21.28125,21.28125,315600.0,5352580067.625,,,,,,,,,,,,,,,,,,
1998-01-20,GD.N,21.21875,21.375,21.15625,21.328125,21.328125,254400.0,5364369891.5625,,,,,,,,,,,,,,,,,,
1998-01-21,GD.N,21.265625,21.40625,20.9375,21.15625,21.15625,259600.0,5321140537.125,,,,,,,,,,,,,,,,,,
1998-01-22,GD.N,20.890625,21.890625,20.890625,21.4375,21.4375,602400.0,5391879480.75,,,,,,,,,,,,,,,,,,
1998-01-23,GD.N,21.421875,21.59375,21.03125,21.125,21.125,259200.0,5313280654.5,,,,,,,,,,,,,,,,,,
1998-01-26,GD.N,21.15625,21.953125,21.15625,21.75,21.75,846400.0,5470478307.0,,,,,,,,,,,,,,,,,,
1998-01-27,GD.N,21.875,22.078125,21.625,21.6875,21.6875,420800.0,5454758541.75,,,,,,,,,,,,,,,,,,
1998-01-28,GD.N,21.75,22.0,21.234375,21.265625,21.265625,731600.0,5348650126.3125,876800000.0,7.61216212832078,251571100.0,0.38619,0.37181,326000000.0,1997-12-31,3005000000.0,844152000.00004,,,1998-01-28,5349816673.4375,,2.7936379495757184,0.3579561911921601,,
1998-01-29,GD.N,21.3125,21.75,21.3125,21.34375,21.34375,1618800.0,5368299832.875,876800000.0,7.61216212832078,251571100.0,0.38619,0.37181,326000000.0,1997-12-31,3005000000.0,844152000.00004,,,1998-01-28,5369470665.625,,2.803901130874674,0.3566459562317203,,
1998-01-30,GD.N,21.359375,21.734375,21.25,21.5625,21.5625,354000.0,5446898659.125,876800000.0,7.61216212832078,251571100.0,0.38619,0.37181,326000000.0,1997-12-31,3005000000.0,844152000.00004,,,1998-01-28,5424501843.75,,2.8326380385117496,0.3530278088496594,,
1998-02-02,GD.N,21.875,22.265625,21.875,22.109375,22.109375,804000.0,5560866957.1875,876800000.0,7.61216212832078,251571100.0,0.38619,0.37181,326000000.0,1997-12-31,3005000000.0,844152000.00004,,,1998-01-28,5562079789.0625,,2.9044803076044388,0.3442956722350035,,
1998-02-03,GD.N,22.046875,22.140625,22.0,22.09375,22.09375,569600.0,5556937015.875,876800000.0,7.61216212832078,251571100.0,0.38619,0.37181,326000000.0,1997-12-31,3005000000.0,844152000.00004,,,1998-01-28,5558148990.625,,2.9024276713446477,0.3445391628094271,,
1998-02-04,GD.N,22.09375,22.109375,21.75,21.859375,21.859375,883600.0,5497987896.1875,876800000.0,7.61216212832078,251571100.0,0.38619,0.37181,326000000.0,1997-12-31,3005000000.0,844152000.00004,,,1998-01-28,5499187014.0625,,2.8716381274477807,0.3482332925035954,,
1998-02-05,GD.N,21.875,22.015625,21.71875,21.859375,21.859375,408000.0,5497987896.1875,876800000.0,7.61216212832078,251571100.0,0.38619,0.37181,326000000.0,1997-12-31,3005000000.0,844152000.00004,,,1998-01-28,5499187014.0625,,2.8716381274477807,0.3482332925035954,,
