Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-30,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-02,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-03,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-04,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-05,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-06,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-09,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-10,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-11,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-12,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-13,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-17,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-18,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-19,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-20,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-23,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-24,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-25,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-26,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-27,GDDY.N,,,,,,0,,,,,,,,,,,,,,,,,,,
