Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-30,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-02,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-03,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-04,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-05,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-06,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-09,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-10,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-11,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-12,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-13,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-17,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-18,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-19,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-20,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-23,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-24,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-25,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-26,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-27,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-02,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-03,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-04,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-05,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-06,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-09,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-10,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-11,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-12,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-13,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-16,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-17,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-18,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-19,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-20,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-23,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-24,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-25,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-26,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-27,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-30,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-31,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-01,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-02,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-03,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-06,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-07,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-08,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-09,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-13,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-14,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-15,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-16,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-17,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-20,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-21,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-22,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-23,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-24,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-27,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-28,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-29,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-30,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-01,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-04,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-05,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-06,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-07,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-08,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-11,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-12,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-13,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-14,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-15,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-18,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-19,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-20,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-21,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-22,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-26,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-27,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-28,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-29,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-01,GEHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
