Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,GLW.N,12.5,12.75,12.5,12.75,12.75,2114700.0,8870947089.375,,,,,,,,,,,,,,,,,,
1998-01-05,GLW.N,13.125,13.416667,13.020833,13.395833,13.395833,3507000.0,9289933189.6875,,,,,,,,,,,,,,,,,,
1998-01-06,GLW.N,13.395833,13.395833,13.25,13.3125,13.3125,1735800.0,9232142003.4375,,,,,,,,,,,,,,,,,,
1998-01-07,GLW.N,13.229167,13.270833,12.916667,13.270833,13.270833,2749800.0,9203246410.3125,,,,,,,,,,,,,,,,,,
1998-01-08,GLW.N,13.333333,13.479167,13.3125,13.416667,13.416667,2045400.0,9304380986.25,,,,,,,,,,,,,,,,,,
1998-01-09,GLW.N,13.333333,13.354167,12.666667,12.791667,12.791667,2173200.0,8870947089.375,,,,,,,,,,,,,,,,,,
1998-01-12,GLW.N,12.4375,12.791667,12.4375,12.583333,12.583333,2982900.0,8769812513.4375,,,,,,,,,,,,,,,,,,
1998-01-13,GLW.N,12.645833,12.708333,12.520833,12.666667,12.666667,1622400.0,8784260310.0,,,,,,,,,,,,,,,,,,
1998-01-14,GLW.N,12.5625,12.666667,12.333333,12.666667,12.666667,1585500.0,8784260310.0,,,,,,,,,,,,,,,,,,
1998-01-15,GLW.N,12.583333,12.729167,12.416667,12.416667,12.416667,1210200.0,8610886751.25,,,,,,,,,,,,,,,,,,
1998-01-16,GLW.N,12.583333,12.625,12.458333,12.520833,12.520833,1716900.0,8683125734.0625,,,,,,,,,,,,,,,,,,
1998-01-20,GLW.N,12.583333,12.583333,12.333333,12.375,12.375,2110500.0,8581991158.125,,,,,,,,,,,,,,,,,,
1998-01-21,GLW.N,12.333333,12.354167,11.875,12.166667,12.166667,6035400.0,8437513192.5,,,,,,,,,,,,,,,,,,
1998-01-22,GLW.N,12.125,12.145833,11.9375,12.0,12.0,1717500.0,8321930820.0,,,,,,,,,,,,,,,,,,
1998-01-23,GLW.N,12.0,12.125,11.875,11.875,11.875,1417500.0,8249691837.1875,,,,,,,,,,,,,,,,,,
1998-01-26,GLW.N,11.979167,12.0,11.5625,11.833333,11.833333,2282100.0,8206348447.5,,,,,,,,,,,,,,,,,,
1998-01-27,GLW.N,11.666667,11.958333,11.583333,11.9375,11.9375,4041900.0,8293035226.875,,,,,,,,,,,,,,,,,,
1998-01-28,GLW.N,10.833333,11.0,10.666667,10.770833,10.770833,15421501.0,7469510822.8125,,,,,,,,,,,,,,,,,,
1998-01-29,GLW.N,10.770833,11.541667,10.770833,11.3125,11.3125,10920901.0,7845153533.4375,,,,,,,,,,,,,,,,,,
1998-01-30,GLW.N,11.291667,11.5625,11.125,11.333333,11.333333,2236500.0,7902944719.6875,,,,,,,,,,,,,,,,,,
1998-02-02,GLW.N,11.625,11.791667,11.520833,11.645833,11.645833,2904300.0,8076318278.4375,,,,,,,,,,,,,,,,,,
1998-02-03,GLW.N,11.645833,11.645833,11.520833,11.625,11.625,2918400.0,8090766075.0,,,,,,,,,,,,,,,,,,
1998-02-04,GLW.N,11.791667,11.791667,11.604167,11.645833,11.645833,2936100.0,8092120090.4375,,,,,,,,,,,,,,,,,,
1998-02-05,GLW.N,11.583333,11.75,11.541667,11.729167,11.729167,1983900.0,8150024348.6875,,,,,,,,,,,,,,,,,,
1998-02-06,GLW.N,11.8125,12.0,11.770833,12.0,12.0,4227900.0,8338213188.0,,,,,,,,,,,,,,,,,,
1998-02-09,GLW.N,12.083333,12.145833,11.958333,12.041667,12.041667,2001300.0,8410593510.8125,,,,,,,,,,,,,,,,,,
1998-02-10,GLW.N,12.375,12.4375,12.229167,12.333333,12.333333,2638200.0,8584306285.5625,,,,,,,,,,,,,,,,,,
1998-02-11,GLW.N,12.333333,12.666667,12.1875,12.625,12.625,2780700.0,8772495124.875,,,,,,,,,,,,,,,,,,
1998-02-12,GLW.N,12.458333,12.604167,12.291667,12.541667,12.541667,2171700.0,8743542995.75,,,,,,,,,,,,,,,,,,
1998-02-13,GLW.N,12.5,12.541667,12.375,12.541667,12.541667,1032000.0,8714590866.625,,,,,,,,,,,,,,,,,,
1998-02-17,GLW.N,12.541667,12.604167,12.479167,12.5625,12.5625,1482900.0,8743542995.75,,,,,,,,,,,,,,,,,,
1998-02-18,GLW.N,12.479167,12.5625,12.375,12.5,12.5,1408500.0,8685638737.5,,,,,,,,,,,,,,,,,,
1998-02-19,GLW.N,12.416667,12.583333,12.416667,12.520833,12.520833,1630500.0,8700114802.0625,,,,,,,,,,,,,,,,,,
1998-02-20,GLW.N,12.541667,12.8125,12.5,12.791667,12.791667,2921400.0,8888303641.375,,,,,,,,,,,,,,,,,,
1998-02-23,GLW.N,12.8125,12.916667,12.625,12.75,12.75,2269800.0,8830399383.125,,,,,,,,,,,,,,,,,,
1998-02-24,GLW.N,12.708333,13.104167,12.666667,13.104167,13.104167,3251700.0,9105444609.8125,,,,,,,,,,,,,,,,,,
1998-02-25,GLW.N,13.5,13.625,13.354167,13.4375,13.4375,3603000.0,9337061642.8125,,,,,,,,,,,,,,,,,,
1998-02-26,GLW.N,13.479167,13.583333,13.375,13.5625,13.5625,1745700.0,9423918030.1875,,,,,,,,,,,,,,,,,,
1998-02-27,GLW.N,13.583333,13.895833,13.541667,13.541667,13.541667,3244500.0,9409441965.625,,,,,,,,,,,,,,,,,,
1998-03-02,GLW.N,13.4375,13.583333,13.333333,13.416667,13.416667,2500800.0,9264681320.0,,,,,,,,,,,,,,,,,,
