Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,GM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,GM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,GM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,GM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,GM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,GM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,GM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,GM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,GM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,GM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,GM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,GM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,GM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,GM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,GM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,GM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,GM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,GM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,GM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-30,GM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-02,GM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
