Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-30,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-02,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-03,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-04,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-05,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-06,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-09,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-10,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-11,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-12,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-13,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-17,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-18,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-19,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-20,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-23,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-24,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-25,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-26,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-27,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-02,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-03,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-04,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-05,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-06,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-09,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-10,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-11,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-12,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-13,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-16,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-17,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-18,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-19,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-20,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-23,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-24,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-25,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-26,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-27,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-30,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-31,GOOG.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
