Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,GPC.N,33.75,33.9375,33.375,33.6875,33.6875,195000.0,4154409875.0,,,,,,,,,,,,,,,,,,
1998-01-05,GPC.N,33.9375,34.0,33.5,34.0,34.0,194900.0,4192948000.0,,,,,,,,,,,,,,,,,,
1998-01-06,GPC.N,33.875,33.9375,33.5,33.75,33.75,311800.0,4162117500.0,,,,,,,,,,,,,,,,,,
1998-01-07,GPC.N,33.5625,33.75,33.0625,33.5625,33.5625,167300.0,4138994625.0,,,,,,,,,,,,,,,,,,
1998-01-08,GPC.N,33.625,34.125,33.4375,34.125,34.125,251900.0,4208363250.0,,,,,,,,,,,,,,,,,,
1998-01-09,GPC.N,34.0,34.0625,33.0,33.1875,33.1875,352300.0,4092748875.0,,,,,,,,,,,,,,,,,,
1998-01-12,GPC.N,32.625,33.8125,32.625,33.8125,33.8125,252000.0,4146702250.0,,,,,,,,,,,,,,,,,,
1998-01-13,GPC.N,33.8125,34.125,33.5625,34.0625,34.0625,555500.0,4200655625.0,,,,,,,,,,,,,,,,,,
1998-01-14,GPC.N,34.3125,34.375,33.6875,34.0,34.0,316700.0,4192948000.0,,,,,,,,,,,,,,,,,,
1998-01-15,GPC.N,33.75,33.875,33.3125,33.75,33.75,272000.0,4162117500.0,,,,,,,,,,,,,,,,,,
1998-01-16,GPC.N,33.875,33.9375,33.625,33.8125,33.8125,395800.0,4169825125.0,,,,,,,,,,,,,,,,,,
1998-01-20,GPC.N,33.6875,34.0625,33.5,34.0,34.0,251000.0,4192948000.0,,,,,,,,,,,,,,,,,,
1998-01-21,GPC.N,34.0,34.0,33.1875,33.75,33.75,265200.0,4162117500.0,,,,,,,,,,,,,,,,,,
1998-01-22,GPC.N,33.5,33.5,32.625,33.3125,33.3125,390600.0,4108164125.0,,,,,,,,,,,,,,,,,,
1998-01-23,GPC.N,33.0625,33.3125,32.5,33.1875,33.1875,132300.0,4092748875.0,,,,,,,,,,,,,,,,,,
1998-01-26,GPC.N,33.1875,33.375,32.6875,33.25,33.25,171100.0,4100456500.0,,,,,,,,,,,,,,,,,,
1998-01-27,GPC.N,33.1875,33.875,33.1875,33.5625,33.5625,256400.0,4138994625.0,,,,,,,,,,,,,,,,,,
1998-01-28,GPC.N,33.375,33.6875,33.25,33.6875,33.6875,238400.0,4154409875.0,,,,,,,,,,,,,,,,,,
1998-01-29,GPC.N,33.4375,34.375,33.4375,33.625,33.625,225200.0,4146702250.0,,,,,,,,,,,,,,,,,,
1998-01-30,GPC.N,33.5,33.5625,33.0625,33.1875,33.1875,173100.0,4092748875.0,,,,,,,,,,,,,,,,,,
1998-02-02,GPC.N,33.3125,34.0,33.1875,33.875,33.875,266400.0,4177532750.0,,,,,,,,,,,,,,,,,,
1998-02-03,GPC.N,33.6875,34.0,33.5625,34.0,34.0,220900.0,4192948000.0,,,,,,,,,,,,,,,,,,
1998-02-04,GPC.N,33.75,34.0,33.625,34.0,34.0,313200.0,4192948000.0,,,,,,,,,,,,,,,,,,
