Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-05,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-06,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-07,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-08,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-09,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-12,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-13,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-14,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-15,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-16,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-20,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-21,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-22,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-23,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-26,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-27,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-28,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-29,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-30,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-02,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-03,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-04,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-05,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-06,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-09,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-10,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-11,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-12,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-13,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-17,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-18,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-19,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-20,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-23,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-24,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-25,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-26,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-27,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-02,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-03,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-04,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-05,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-06,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-09,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-10,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-11,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-12,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-13,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-16,GS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
