Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,HBAN.OQ,26.765563,27.610791,26.295991,27.610791,27.610791,497794.0,7028124754.15552,,,,,,,,,,,,,,,,,,
1998-01-05,HBAN.OQ,27.610791,28.268191,27.516877,28.080362,28.080362,661108.0,7147650352.375,,,,,,,,,,,,,,,,,,
1998-01-06,HBAN.OQ,27.986448,28.080362,27.610791,27.751662,27.751662,518691.0,7063982204.4375,,,,,,,,,,,,,,,,,,
1998-01-07,HBAN.OQ,27.610791,27.704705,26.671648,27.000348,27.000348,449212.0,6872741043.60446,,,,,,,,,,,,,,,,,,
1998-01-08,HBAN.OQ,26.859477,26.953391,26.295991,26.530777,26.530777,312519.0,6753214797.8125,,,,,,,,,,,,,,,,,,
1998-01-09,HBAN.OQ,26.295991,26.389906,24.699449,25.075106,25.075106,686530.0,6382684428.375,,,,,,,,,,,,,,,,,,
1998-01-12,HBAN.OQ,24.323792,26.014249,24.229878,25.356849,25.356849,588036.0,6454399983.75,,,,,,,,,,,,,,,,,,
1998-01-13,HBAN.OQ,25.450763,25.920334,25.075106,25.732506,25.732506,218284.0,6550021029.38304,,,,,,,,,,,,,,,,,,
1998-01-14,HBAN.OQ,25.732506,26.295991,25.638592,26.108163,26.108163,190599.0,6645641774.33753,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,6057122020.648489,,2.990593925147534,0.3343817398915726,,
1998-01-15,HBAN.OQ,26.014249,26.202077,25.450763,25.450763,25.450763,176890.0,6478305168.875,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,5904604510.459269,,2.915291176103414,0.3430189094650239,,
1998-01-16,HBAN.OQ,26.014249,26.295991,25.262935,25.638592,25.638592,411412.0,6526115843.14441,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,5948181041.370937,,2.9368062963501558,0.34050594390334615,,
1998-01-20,HBAN.OQ,26.014249,26.295991,25.638592,26.202077,26.202077,224939.0,6669546960.57616,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,6078910170.103784,,3.0013514279977462,0.3331832422793346,,
1998-01-21,HBAN.OQ,25.82642,26.202077,24.981192,25.638592,25.638592,220147.0,6526115843.14441,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,5948181041.370937,,2.9368062963501558,0.34050594390334615,,
1998-01-22,HBAN.OQ,24.981192,25.638592,24.793363,24.981192,24.981192,219349.0,6358779243.25,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,5795663531.181718,,2.8615035473060355,0.34946662950722207,,
1998-01-23,HBAN.OQ,24.981192,25.356849,24.229878,24.511621,24.511621,323300.0,6239253317.625,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,5686722551.904167,,2.807715918508657,0.35616138848233575,,
1998-01-26,HBAN.OQ,24.323792,25.16902,24.182921,24.887278,24.887278,344596.0,6334874058.125,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,5773875381.726423,,2.850746044455823,0.3507853679021378,,
1998-01-27,HBAN.OQ,24.793363,25.356849,24.042049,24.042049,24.042049,503784.0,6119727392.0,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,5577781340.625535,,2.753928175164961,0.36311767642237064,,
1998-01-28,HBAN.OQ,24.135964,24.887278,24.135964,24.699449,24.699449,256750.0,6287063687.875,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,5730298850.814755,,2.8292309242090816,0.3534529442058719,,
1998-01-29,HBAN.OQ,24.793363,26.577734,24.229878,25.732506,25.732506,955792.0,6550020724.25,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,5969969190.826232,,2.9475637992003683,0.3392632248609125,,
1998-01-30,HBAN.OQ,25.732506,25.920334,25.075106,25.356849,25.356849,319174.0,6454399983.75,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,5882816361.003975,,2.904533673253202,0.34428934641338044,,
1998-02-02,HBAN.OQ,25.356849,26.295991,25.356849,26.202077,26.202077,238515.0,6700247389.63134,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,6078910170.103784,,3.0013514279977462,0.3331832422793346,,
1998-02-03,HBAN.OQ,26.014249,26.765563,25.732506,26.718606,26.718606,259545.0,6832331119.53447,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,6198745456.110063,,3.060517922766549,0.3267420826263458,,
1998-02-04,HBAN.OQ,26.295991,26.765563,26.108163,26.671648,26.671648,254753.0,6820323507.72509,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,6187851149.381335,,3.055139056795125,0.32731734346946917,,
1998-02-05,HBAN.OQ,26.48382,26.859477,25.450763,25.685549,25.685549,264070.0,6568163659.72821,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,5959075116.098585,,2.9421850477752622,0.3398834484446012,,
1998-02-06,HBAN.OQ,25.544677,26.295991,25.450763,26.084684,26.084684,301604.0,6670228360.10791,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,6051674867.284125,,2.9879044921618223,0.3346827191509309,,
1998-02-09,HBAN.OQ,26.295991,26.295991,25.544677,26.108163,26.108163,257016.0,6676232166.01259,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,6057122020.648489,,2.990593925147534,0.3343817398915726,,
1998-02-10,HBAN.OQ,25.732506,26.765563,25.732506,25.732506,25.732506,452141.0,6580170965.0,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,5969969190.826232,,2.9475637992003683,0.3392632248609125,,
1998-02-11,HBAN.OQ,26.014249,26.295991,25.638592,26.108163,26.108163,99825.0,6676232166.01259,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,6057122020.648489,,2.990593925147534,0.3343817398915726,,
1998-02-12,HBAN.OQ,26.014249,26.530777,25.544677,26.295991,26.295991,246900.0,6724262613.25009,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,6100698319.559078,,3.0121089308479587,0.3319933053412127,,
1998-02-13,HBAN.OQ,26.014249,26.202077,25.779463,26.014249,26.014249,177422.0,6652216942.39384,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,6035333871.193195,,2.979836422297322,0.33558889089255584,,
1998-02-17,HBAN.OQ,26.108163,26.765563,25.920334,26.295991,26.295991,429247.0,6724262613.25009,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,6100698319.559078,,3.0121089308479587,0.3319933053412127,,
1998-02-18,HBAN.OQ,26.577734,27.047306,26.295991,26.906434,26.906434,344063.0,6880361566.77197,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,6242321755.020651,,3.082032928466973,0.3244611667719617,,
1998-02-19,HBAN.OQ,26.765563,27.047306,26.530777,26.81252,26.81252,448015.0,6856346023.75,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,6220533605.565356,,3.0712754256167605,0.32559763011133536,,
1998-02-20,HBAN.OQ,27.235134,27.282091,26.906434,27.047306,27.047306,479160.0,6916384402.20009,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,6275004211.204672,,3.098169297288609,0.3227712574891111,,
1998-02-23,HBAN.OQ,27.14122,27.610791,26.953391,27.117741,27.117741,352449.0,6934395496.875,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,6291345207.295603,,3.106237367153109,0.32193289881014725,,
1998-02-24,HBAN.OQ,27.047306,27.235134,26.859477,27.14122,27.14122,222676.0,6940399625.81884,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,6296792360.659966,,3.108926800138821,0.3216544049719497,,
1998-02-25,HBAN.OQ,27.235134,27.610791,27.14122,27.516877,27.516877,313583.0,7036460520.29384,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,6383945190.4822235,,3.151956926085987,0.31726321883521813,,
1998-02-26,HBAN.OQ,27.422963,27.422963,26.953391,27.329048,27.329048,215622.0,6988430073.05634,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,6340368659.570555,,3.1304418058392454,0.319443727762225,,
1998-02-27,HBAN.OQ,27.047306,27.235134,26.859477,26.953391,26.953391,188070.0,6892369178.58134,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,6253215829.748298,,3.087411679892079,0.32389590494616355,,
1998-03-02,HBAN.OQ,27.14122,27.14122,26.48382,26.742084,26.742084,376140.0,6838334925.43915,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,6204192377.473345,,3.0632072412059426,0.32645522201309296,,
1998-03-03,HBAN.OQ,26.765563,27.14122,26.577734,26.859477,26.859477,234655.0,6868353954.96259,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,6231427680.293003,,3.0766541770418665,0.32502840503233854,,
1998-03-04,HBAN.OQ,26.859477,27.047306,26.671648,26.859477,26.859477,161051.0,6868353954.96259,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,6231427680.293003,,3.0766541770418665,0.32502840503233854,,
1998-03-05,HBAN.OQ,26.577734,27.000348,26.295991,26.554256,26.554256,306396.0,6790304478.20165,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,6160616078.562757,,3.0416922355055185,0.328764359630817,,
1998-03-06,HBAN.OQ,26.859477,27.14122,26.577734,27.047306,27.047306,239580.0,6916384402.20009,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,6275004211.204672,,3.098169297288609,0.3227712574891111,,
1998-03-09,HBAN.OQ,26.671648,27.14122,26.577734,27.14122,27.14122,171166.0,6940399625.81884,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,6296792360.659966,,3.108926800138821,0.3216544049719497,,
1998-03-10,HBAN.OQ,27.14122,27.14122,26.859477,27.047306,27.047306,273920.0,6916384080.0,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,6275004211.204672,,3.098169297288609,0.3227712574891111,,
1998-03-11,HBAN.OQ,26.765563,27.14122,26.671648,26.906434,26.906434,230130.0,6880361246.25,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,6242321755.020651,,3.082032928466973,0.3244611667719617,,
1998-03-12,HBAN.OQ,27.047306,27.047306,26.624691,26.906434,26.906434,243839.0,6880361566.77197,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,6242321755.020651,,3.082032928466973,0.3244611667719617,,
1998-03-13,HBAN.OQ,26.765563,27.14122,26.765563,26.906434,26.906434,252224.0,6880361246.25,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,6242321755.020651,,3.082032928466973,0.3244611667719617,,
1998-03-16,HBAN.OQ,26.671648,27.422963,26.577734,27.422963,27.422963,400232.0,7012444970.0,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,6362157041.026929,,3.141199423235775,0.31834973373638653,,
1998-03-17,HBAN.OQ,27.422963,27.704705,27.14122,27.610791,27.610791,303734.0,7060475743.91259,258449526.80001,8.73009296931278,232001080.3,0.44102,0.43504,112435000.0,1997-12-31,330657000.0,254942813.19999,,,1998-01-14,6405733339.937517,,3.1627144289361993,0.3161840951718037,,
