Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,HCA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,HCA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,HCA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,HCA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,HCA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,HCA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,HCA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,HCA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,HCA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,HCA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,HCA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,HCA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,HCA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,HCA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,HCA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,HCA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,HCA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,HCA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,HCA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-30,HCA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-02,HCA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-03,HCA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-04,HCA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-05,HCA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-06,HCA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-09,HCA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-10,HCA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-11,HCA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-12,HCA.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-13,HCA.N,,,,,,0,,641452200.0,11.3024789688148,641452200.0,-0.36012,-1.16766,-1237000000.0,1997-12-31,4374000000.0,641452200.0,,,1998-02-13,,,,,,
1998-02-17,HCA.N,,,,,,0,,641452200.0,11.3024789688148,641452200.0,-0.36012,-1.16766,-1237000000.0,1997-12-31,4374000000.0,641452200.0,,,1998-02-13,,,,,,
1998-02-18,HCA.N,,,,,,0,,641452200.0,11.3024789688148,641452200.0,-0.36012,-1.16766,-1237000000.0,1997-12-31,4374000000.0,641452200.0,,,1998-02-13,,,,,,
1998-02-19,HCA.N,,,,,,0,,641452200.0,11.3024789688148,641452200.0,-0.36012,-1.16766,-1237000000.0,1997-12-31,4374000000.0,641452200.0,,,1998-02-13,,,,,,
1998-02-20,HCA.N,,,,,,0,,641452200.0,11.3024789688148,641452200.0,-0.36012,-1.16766,-1237000000.0,1997-12-31,4374000000.0,641452200.0,,,1998-02-13,,,,,,
