Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,HSIC.OQ,6.859239,6.908233,6.687758,6.908233,6.908233,289200.0,,,,,,,,,,,,,,,,,,,
1998-01-05,HSIC.OQ,6.822493,6.822493,6.663261,6.663261,6.663261,116000.0,,,,,,,,,,,,,,,,,,,
1998-01-06,HSIC.OQ,6.638763,6.785747,6.614266,6.736752,6.736752,980800.0,,,,,,,,,,,,,,,,,,,
1998-01-07,HSIC.OQ,6.614266,6.76125,6.614266,6.76125,6.76125,268800.0,,,,,,,,,,,,,,,,,,,
1998-01-08,HSIC.OQ,6.663261,6.810244,6.663261,6.712255,6.712255,150000.0,,,,,,,,,,,,,,,,,,,
1998-01-09,HSIC.OQ,6.687758,6.687758,6.369293,6.369293,6.369293,333200.0,,,,,,,,,,,,,,,,,,,
1998-01-12,HSIC.OQ,6.369293,6.516277,5.879348,5.903845,5.903845,705600.0,,,,,,,,,,,,,,,,,,,
1998-01-13,HSIC.OQ,6.026331,6.099823,5.732364,6.050828,6.050828,2661600.0,,,,,,,,,,,,,,,,,,,
1998-01-14,HSIC.OQ,6.12432,6.222309,5.879348,6.026331,6.026331,1326800.0,,,,,,,,,,,,,,,,,,,
1998-01-15,HSIC.OQ,6.001834,6.075326,5.903845,6.075326,6.075326,1316000.0,,,,,,,,,,,,,,,,,,,
1998-01-16,HSIC.OQ,6.075326,6.418288,6.050828,6.418288,6.418288,1209200.0,,,,,,,,,,,,,,,,,,,
1998-01-20,HSIC.OQ,6.271304,6.736752,6.271304,6.736752,6.736752,1119600.0,,,,,,,,,,,,,,,,,,,
1998-01-21,HSIC.OQ,6.565271,6.785747,6.516277,6.663261,6.663261,866000.0,,,,,,,,,,,,,,,,,,,
1998-01-22,HSIC.OQ,6.76125,6.76125,6.565271,6.736752,6.736752,295200.0,,,,,,,,,,,,,,,,,,,
1998-01-23,HSIC.OQ,6.614266,6.859239,6.614266,6.785747,6.785747,604800.0,,,,,,,,,,,,,,,,,,,
1998-01-26,HSIC.OQ,6.84699,6.84699,6.565271,6.651012,6.651012,274000.0,,,,,,,,,,,,,,,,,,,
1998-01-27,HSIC.OQ,6.540774,6.614266,6.49178,6.49178,6.49178,485200.0,,,,,,,,,,,,,,,,,,,
1998-01-28,HSIC.OQ,6.467282,6.540774,6.418288,6.540774,6.540774,944400.0,,,,,,,,,,,,,,,,,,,
1998-01-29,HSIC.OQ,6.516277,6.663261,6.516277,6.663261,6.663261,143200.0,,,,,,,,,,,,,,,,,,,
1998-01-30,HSIC.OQ,6.516277,6.663261,6.467282,6.467282,6.467282,496400.0,,,,,,,,,,,,,,,,,,,
1998-02-02,HSIC.OQ,6.467282,6.589769,6.173315,6.246807,6.246807,340000.0,,,,,,,,,,,,,,,,,,,
1998-02-03,HSIC.OQ,6.173315,6.663261,6.173315,6.516277,6.516277,2851200.0,,,,,,,,,,,,,,,,,,,
1998-02-04,HSIC.OQ,6.467282,6.712255,6.467282,6.565271,6.565271,280000.0,,,,,,,,,,,,,,,,,,,
1998-02-05,HSIC.OQ,6.589769,6.712255,6.540774,6.712255,6.712255,1138400.0,,,,,,,,,,,,,,,,,,,
1998-02-06,HSIC.OQ,6.712255,6.810244,6.614266,6.614266,6.614266,562400.0,,,,,,,,,,,,,,,,,,,
1998-02-09,HSIC.OQ,6.565271,6.859239,6.565271,6.785747,6.785747,972400.0,,,,,,,,,,,,,,,,,,,
1998-02-10,HSIC.OQ,6.712255,6.859239,6.712255,6.859239,6.859239,465600.0,,,,,,,,,,,,,,,,,,,
1998-02-11,HSIC.OQ,6.712255,7.202201,6.712255,7.067466,7.067466,3277600.0,,,,,,,,,,,,,,,,,,,
1998-02-12,HSIC.OQ,7.079714,7.091963,6.932731,7.067466,7.067466,758400.0,,,,,,,,,,,,,,,,,,,
1998-02-13,HSIC.OQ,7.055217,7.091963,7.006222,7.079714,7.079714,542400.0,,,,,,,,,,,,,,,,,,,
1998-02-17,HSIC.OQ,7.067466,7.104212,7.03072,7.104212,7.104212,706000.0,,,,,,,,,,,,,,,,,,,
1998-02-18,HSIC.OQ,7.128709,7.30019,7.03072,7.275693,7.275693,1195600.0,,,,,,,,,,,,,,,,,,,
1998-02-19,HSIC.OQ,7.263444,7.496168,7.153206,7.496168,7.496168,1751200.0,,,,,,,,,,,,,,,,,,,
1998-02-20,HSIC.OQ,7.361433,7.594157,7.349184,7.594157,7.594157,1377600.0,,,,,,,,,,,,,,,,,,,
1998-02-23,HSIC.OQ,7.545163,7.594157,7.398179,7.581909,7.581909,932400.0,,,,,,,,,,,,,,,,,,,
1998-02-24,HSIC.OQ,7.581909,7.716644,7.483919,7.618654,7.618654,824400.0,,,,,,,,,,,,,,,,,,,
1998-02-25,HSIC.OQ,7.56966,7.741141,7.545163,7.643152,7.643152,707200.0,,,,,,,,,,,,,,,,,,,
1998-02-26,HSIC.OQ,7.741141,7.741141,7.594157,7.692146,7.692146,426000.0,,,,,,,,,,,,,,,,,,,
1998-02-27,HSIC.OQ,7.716644,8.035108,7.643152,7.986114,7.986114,1762400.0,,,,,,,,,,,,,,,,,,,
1998-03-02,HSIC.OQ,7.961616,7.961616,7.765638,7.888125,7.888125,3410400.0,,,,,,,,,,,,,,,,,,,
1998-03-03,HSIC.OQ,7.937119,7.986114,7.741141,7.949368,7.949368,2795200.0,,,,,,,,,,,,,,,,,,,
1998-03-04,HSIC.OQ,7.888125,8.010611,7.83913,7.92487,7.92487,1327600.0,,,,,,,,,,,,,,,,,,,
1998-03-05,HSIC.OQ,7.790135,7.888125,7.741141,7.802384,7.802384,1519600.0,,,,,,,,,,,,,,,,,,,
1998-03-06,HSIC.OQ,7.814633,7.863627,7.765638,7.802384,7.802384,1769600.0,,,,,,,,,,,,,,,,,,,
1998-03-09,HSIC.OQ,7.790135,7.875876,7.741141,7.741141,7.741141,3313200.0,,,,,,,,,,,,,,,,,,,
1998-03-10,HSIC.OQ,7.716644,7.790135,7.692146,7.790135,7.790135,372400.0,,,,,,,,,,,,,,,,,,,
1998-03-11,HSIC.OQ,7.777887,7.814633,7.75339,7.814633,7.814633,527600.0,,,,,,,,,,,,,,,,,,,
1998-03-12,HSIC.OQ,7.814633,7.814633,7.716644,7.716644,7.716644,166400.0,,,,,,,,,,,,,,,,,,,
1998-03-13,HSIC.OQ,7.716644,7.75339,7.643152,7.716644,7.716644,636000.0,,,,,,,,,,,,,,,,,,,
1998-03-16,HSIC.OQ,7.667649,7.83913,7.667649,7.814633,7.814633,485200.0,,,,,,,,,,,,,,,,,,,
1998-03-17,HSIC.OQ,7.814633,7.863627,7.790135,7.814633,7.814633,1327600.0,,,,,,,,,,,,,,,,,,,
1998-03-18,HSIC.OQ,7.814633,7.888125,7.814633,7.83913,7.83913,336000.0,,,,,,,,,,,,,,,,,,,
1998-03-19,HSIC.OQ,7.814633,7.851379,7.747265,7.814633,7.814633,290800.0,,,,,,,,,,,,,,,,,,,
1998-03-20,HSIC.OQ,7.741141,7.790135,7.643152,7.643152,7.643152,302400.0,,,,,,,,,,,,,,,,,,,
1998-03-23,HSIC.OQ,7.643152,7.741141,7.643152,7.643152,7.643152,124800.0,,,,,,,,,,,,,,,,,,,
1998-03-24,HSIC.OQ,7.618654,7.741141,7.618654,7.692146,7.692146,265200.0,,,,,,,,,,,,,,,,,,,
1998-03-25,HSIC.OQ,7.716644,7.716644,7.643152,7.643152,7.643152,110000.0,,,,,,,,,,,,,,,,,,,
1998-03-26,HSIC.OQ,7.692146,7.692146,7.545163,7.56966,7.56966,577600.0,,,,,,,,,,,,,,,,,,,
1998-03-27,HSIC.OQ,7.618654,7.618654,7.545163,7.56966,7.56966,197600.0,,,,,,,,,,,,,,,,,,,
1998-03-30,HSIC.OQ,7.56966,7.741141,7.545163,7.667649,7.667649,381200.0,,,,,,,,,,,,,,,,,,,
1998-03-31,HSIC.OQ,7.643152,8.231087,7.643152,8.133097,8.133097,1750000.0,,,,,,,,,,,,,,,,,,,
1998-04-01,HSIC.OQ,8.035108,8.365822,8.035108,8.255584,8.255584,1753600.0,,,,,,,,,,,,,,,,,,,
1998-04-02,HSIC.OQ,8.304578,8.623043,8.231087,8.623043,8.623043,938400.0,,,,,,,,,,,,,,,,,,,
1998-04-03,HSIC.OQ,8.623043,8.623043,8.402567,8.402567,8.402567,482800.0,,,,,,,,,,,,,,,,,,,
