Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,HWM.N,30.759538,30.867278,30.463256,30.705669,30.705669,637200.0,12392265903.75,,,,,,,,,,,,,,,,,,
1998-01-05,HWM.N,31.028886,31.513713,31.028886,31.244365,31.244365,1290133.0,12609674077.5,,,,,,,,,,,,,,,,,,
1998-01-06,HWM.N,31.082756,31.082756,30.517125,30.517125,30.517125,949200.0,12327043451.625,,,,,,,,,,,,,,,,,,
1998-01-07,HWM.N,29.978429,30.59793,29.978429,30.59793,30.59793,826800.0,12348784269.0,,,,,,,,,,,,,,,,,,
1998-01-08,HWM.N,30.59793,30.813408,29.25119,29.25119,29.25119,553466.0,11827004652.0,,,,,,,,,,,,,,,,,,
1998-01-09,HWM.N,29.278125,29.278125,28.550885,28.550885,28.550885,1890933.0,11522633208.75,,,,,,,,,,,,,,,,,,
1998-01-12,HWM.N,28.039124,28.550885,28.039124,28.497015,28.497015,1374666.0,11500892391.375,,,,,,,,,,,,,,,,,,
1998-01-13,HWM.N,28.874103,28.874103,28.119928,28.443146,28.443146,1028933.0,11479151574.0,,,,,,,,,,,,,,,,,,
1998-01-14,HWM.N,28.604755,28.766363,28.389276,28.52395,28.52395,1691066.0,11511762800.0625,,,,,,,,,,,,,,,,,,
1998-01-15,HWM.N,28.470081,28.57782,28.200733,28.416211,28.416211,1267066.0,11468281165.3125,,,,,,,,,,,,,,,,,,
1998-01-16,HWM.N,28.766363,29.035711,28.389276,28.631689,28.631689,2050933.0,11566114843.5,,,,,,,,,,,,,,,,,,
1998-01-20,HWM.N,28.658624,29.466668,28.604755,29.439733,29.439733,1633866.0,11881356695.4375,,,,,,,,,,,,,,,,,,
1998-01-21,HWM.N,29.493603,29.789886,29.331994,29.574407,29.574407,1032533.0,11935708738.875,,,,,,,,,,,,,,,,,,
1998-01-22,HWM.N,29.951495,29.951495,29.143451,29.143451,29.143451,773466.0,11761782199.875,,,,,,,,,,,,,,,,,,
1998-01-23,HWM.N,29.520538,29.897625,29.278125,29.736016,29.736016,1050533.0,12022672008.375,,,,,,,,,,,,,,,,,,
1998-01-26,HWM.N,29.736016,30.166973,29.736016,30.005364,30.005364,1222533.0,12087894460.5,,,,,,,,,,,,,,,,,,
1998-01-27,HWM.N,29.951495,30.355516,29.897625,30.140038,30.140038,1036933.0,12163987321.3125,,,,,,,,,,,,,,,,,,
1998-01-28,HWM.N,30.166973,31.136626,30.166973,31.082756,31.082756,1114800.0,12544451625.375,,,,,,,,,,,,,,,,,,
1998-01-29,HWM.N,31.190495,32.644974,31.190495,32.537235,32.537235,2144800.0,13174935329.25,,,,,,,,,,,,,,,,,,
1998-01-30,HWM.N,32.644974,33.18367,32.321757,32.914322,32.914322,2430400.0,13283639416.125,,,,,,,,,,,,,,,,,,
1998-02-02,HWM.N,33.18367,33.695431,33.129801,33.641562,33.641562,2120400.0,13577140450.6875,,,,,,,,,,,,,,,,,,
1998-02-03,HWM.N,33.533823,33.533823,33.102866,33.210605,33.210605,767733.0,13403213911.6875,,,,,,,,,,,,,,,,,,
1998-02-04,HWM.N,33.022061,33.156735,32.5103,32.806583,32.806583,1290000.0,13240157781.375,,,,,,,,,,,,,,,,,,
1998-02-05,HWM.N,32.968192,33.022061,32.348691,32.56417,32.56417,487066.0,13142324103.1875,,,,,,,,,,,,,,,,,,
1998-02-06,HWM.N,32.591105,32.914322,32.56417,32.725779,32.725779,342133.0,13207546555.3125,,,,,,,,,,,,,,,,,,
1998-02-09,HWM.N,32.618039,32.752713,32.348691,32.429496,32.429496,331733.0,13087972059.75,,,,,,,,,,,,,,,,,,
1998-02-10,HWM.N,32.348691,32.941257,32.321757,32.752713,32.752713,629600.0,13218416964.0,,,,,,,,,,,,,,,,,,
1998-02-11,HWM.N,32.779648,32.833518,32.5103,32.618039,32.618039,417600.0,13164064920.5625,,,,,,,,,,,,,,,,,,
1998-02-12,HWM.N,32.56417,33.156735,32.537235,33.156735,33.156735,968666.0,13381473094.3125,,,,,,,,,,,,,,,,,,
1998-02-13,HWM.N,33.102866,33.318344,32.914322,33.129801,33.129801,660400.0,13370602685.625,,,,,,,,,,,,,,,,,,
1998-02-17,HWM.N,33.075931,33.102866,32.671909,32.725779,32.725779,1031066.0,13207546555.3125,,,,,,,,,,,,,,,,,,
1998-02-18,HWM.N,32.752713,32.941257,32.106278,32.106278,32.106278,870266.0,12957527155.5,,,,,,,,,,,,,,,,,,
1998-02-19,HWM.N,31.998539,32.052409,31.540648,31.675322,31.675322,685466.0,12783600616.5,,,,,,,,,,,,,,,,,,
1998-02-20,HWM.N,31.459843,31.540648,31.136626,31.136626,31.136626,806933.0,12566192442.75,,,,,,,,,,,,,,,,,,
1998-02-23,HWM.N,31.244365,31.244365,30.436321,30.49019,30.49019,1782800.0,12305302634.25,,,,,,,,,,,,,,,,,,
1998-02-24,HWM.N,30.166973,30.54406,29.843755,30.517125,30.517125,1411600.0,12316173042.9375,,,,,,,,,,,,,,,,,,
1998-02-25,HWM.N,30.59793,31.21743,30.59793,30.948082,30.948082,763866.0,12490099581.9375,,,,,,,,,,,,,,,,,,
1998-02-26,HWM.N,30.867278,31.16356,30.786473,31.136626,31.136626,332533.0,12566192442.75,,,,,,,,,,,,,,,,,,
1998-02-27,HWM.N,31.21743,31.83693,30.921147,31.621452,31.621452,955333.0,12761859799.125,,,,,,,,,,,,,,,,,,
1998-03-02,HWM.N,31.513713,31.675322,30.49019,30.54406,30.54406,902266.0,12327043451.625,,,,,,,,,,,,,,,,,,
1998-03-03,HWM.N,30.436321,31.298234,30.436321,31.16356,31.16356,871066.0,12577062851.4375,,,,,,,,,,,,,,,,,,
1998-03-04,HWM.N,31.190495,31.21743,30.786473,30.894212,30.894212,688800.0,12468358764.5625,,,,,,,,,,,,,,,,,,
1998-03-05,HWM.N,30.49019,30.867278,30.328582,30.517125,30.517125,541066.0,12316173042.9375,,,,,,,,,,,,,,,,,,
1998-03-06,HWM.N,30.517125,30.867278,30.436321,30.867278,30.867278,743200.0,12042598537.875,,,,,,,,,,,,,,,,,,
1998-03-09,HWM.N,30.813408,31.809996,30.651799,30.786473,30.786473,1518800.0,12011073410.8125,,,,,,,,,,,,,,,,,,
1998-03-10,HWM.N,31.136626,31.567582,31.028886,31.567582,31.567582,1252266.0,12315816305.75,,,,,,,,,,,,,,,,,,
1998-03-11,HWM.N,31.675322,31.729191,31.136626,31.136626,31.136626,846666.0,12158190670.4375,,,,,,,,,,,,,,,,,,
1998-03-12,HWM.N,30.813408,30.813408,30.301647,30.705669,30.705669,1110933.0,12000565035.125,,,,,,,,,,,,,,,,,,
1998-03-13,HWM.N,30.921147,30.921147,30.113103,30.140038,30.140038,1019600.0,11758872394.3125,,,,,,,,,,,,,,,,,,
1998-03-16,HWM.N,30.409386,31.244365,30.355516,31.055821,31.055821,743333.0,12116157167.6875,,,,,,,,,,,,,,,,,,
1998-03-17,HWM.N,31.567582,31.567582,31.244365,31.298234,31.298234,908933.0,12242257675.9375,,,,,,,,,,,,,,,,,,
1998-03-18,HWM.N,31.2713,31.2713,30.759538,31.244365,31.244365,1045466.0,12210732548.875,,,,,,,,,,,,,,,,,,
1998-03-19,HWM.N,31.352104,32.133213,31.325169,31.998539,31.998539,971866.0,12483950316.75,,,,,,,,,,,,,,,,,,
1998-03-20,HWM.N,31.998539,31.998539,31.2713,31.540648,31.540648,1192933.0,12305307930.0625,,,,,,,,,,,,,,,,,,
1998-03-23,HWM.N,31.513713,31.513713,31.055821,31.109691,31.109691,875200.0,12137173919.0625,,,,,,,,,,,,,,,,,,
1998-03-24,HWM.N,31.136626,31.325169,30.705669,30.786473,30.786473,764133.0,12042598537.875,,,,,,,,,,,,,,,,,,
1998-03-25,HWM.N,31.028886,31.298234,30.921147,31.109691,31.109691,1240666.0,12137173919.0625,,,,,,,,,,,,,,,,,,
1998-03-26,HWM.N,31.082756,31.21743,30.921147,30.921147,30.921147,1123733.0,12063615289.25,,,,,,,,,,,,,,,,,,
1998-03-27,HWM.N,30.948082,31.001952,30.328582,30.49019,30.49019,676400.0,11895481278.25,,,,,,,,,,,,,,,,,,
1998-03-30,HWM.N,30.166973,30.220842,29.412799,29.412799,29.412799,1218266.0,11485654626.4375,,,,,,,,,,,,,,,,,,
1998-03-31,HWM.N,29.493603,29.736016,29.466668,29.655212,29.655212,1268133.0,11569721631.9375,,,,,,,,,,,,,,,,,,
1998-04-01,HWM.N,29.736016,29.789886,29.305059,29.493603,29.493603,879200.0,11517179753.5,,,,,,,,,,,,,,,,,,
1998-04-02,HWM.N,29.736016,30.166973,29.709081,29.978429,29.978429,1636000.0,11695822140.1875,,,,,,,,,,,,,,,,,,
1998-04-03,HWM.N,30.166973,30.247777,29.547473,29.736016,29.736016,1630400.0,11601246759.0,,,,,,,,,,,,,,,,,,
1998-04-06,HWM.N,30.59793,30.921147,29.655212,29.978429,29.978429,2280400.0,11695822140.1875,,,,,,,,,,,,,,,,,,
1998-04-07,HWM.N,30.005364,30.113103,29.143451,29.170385,29.170385,1398533.0,11391079245.25,,,,,,,,,,,,,,,,,,
1998-04-08,HWM.N,29.628277,29.682147,29.439733,29.574407,29.574407,2540533.0,11538196504.875,,,,,,,,,,,,,,,,,,
1998-04-09,HWM.N,29.628277,30.193908,29.601342,30.193908,30.193908,2049866.0,11779889145.6875,,,,,,,,,,,,,,,,,,
1998-04-13,HWM.N,30.570995,31.001952,30.247777,30.732604,30.732604,1435200.0,11990056659.4375,,,,,,,,,,,,,,,,,,
1998-04-14,HWM.N,31.459843,32.833518,31.432908,32.752713,32.752713,2417866.0,12778184836.0,,,,,,,,,,,,,,,,,,
1998-04-15,HWM.N,33.614627,33.991714,33.291409,33.830105,33.830105,4339600.0,13198519863.4999,,,,,,,,,,,,,,,,,,
1998-04-16,HWM.N,33.722366,33.722366,32.995127,33.18367,33.18367,1647466.0,12946318847.0,,,,,,,,,,,,,,,,,,
1998-04-17,HWM.N,33.075931,33.156735,32.914322,32.995127,32.995127,989466.0,12883268592.875,,,,,,,,,,,,,,,,,,
1998-04-20,HWM.N,32.995127,33.506888,32.833518,33.426083,33.426083,1049066.0,12988352349.75,,,,,,,,,,,,,,,,,,
1998-04-21,HWM.N,33.560757,33.803171,33.18367,33.776236,33.776236,1159066.0,13177503112.125,,,,,,,,,,,,,,,,,,
1998-04-22,HWM.N,33.722366,33.937845,33.506888,33.883975,33.883975,715600.0,13230044990.5625,,,,,,,,,,,,,,,,,,
1998-04-23,HWM.N,33.91091,34.099453,33.776236,34.045584,34.045584,929733.0,13282586869.0,,,,,,,,,,,,,,,,,,
1998-04-24,HWM.N,34.045584,34.180258,33.560757,33.641562,33.641562,955466.0,13124961233.6875,,,,,,,,,,,,,,,,,,
1998-04-27,HWM.N,32.968192,33.345279,32.968192,33.210605,33.210605,1516400.0,12987212330.5,,,,,,,,,,,,,,,,,,
1998-04-28,HWM.N,33.345279,33.345279,32.56417,32.860453,32.860453,1358533.0,12839869565.0,,,,,,,,,,,,,,,,,,
1998-04-29,HWM.N,33.18367,33.291409,33.022061,33.022061,33.022061,861066.0,12924065431.0,,,,,,,,,,,,,,,,,,
