Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-05,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-06,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-07,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-08,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-09,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-12,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-13,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-14,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-15,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-16,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-20,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-21,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-22,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-23,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-26,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-27,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-28,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-29,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-30,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-02,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-03,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-04,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-05,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-06,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-09,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-10,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-11,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-12,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-13,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-17,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-18,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-19,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-20,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-23,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-24,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-25,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-26,ICE.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
