Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,IDXX.OQ,3.96875,4.125,3.96875,4.015625,4.015625,479200.0,252855875.0,,,,,,,,,,,,,,,,,,
1998-01-05,IDXX.OQ,3.984375,4.015625,3.8125,3.96875,3.96875,432800.0,249904250.0,,,,,,,,,,,,,,,,,,
1998-01-06,IDXX.OQ,3.875,4.09375,3.875,3.9375,3.9375,825600.0,247936500.0,,,,,,,,,,,,,,,,,,
1998-01-07,IDXX.OQ,3.9375,4.03125,3.875,3.96875,3.96875,919600.0,249904250.0,,,,,,,,,,,,,,,,,,
1998-01-08,IDXX.OQ,3.90625,3.96875,3.625,3.71875,3.71875,872000.0,234162250.0,,,,,,,,,,,,,,,,,,
1998-01-09,IDXX.OQ,3.71875,3.71875,3.15625,3.34375,3.34375,2404400.0,210549250.0,,,,,,,,,,,,,,,,,,
1998-01-12,IDXX.OQ,3.125,3.28125,3.0625,3.21875,3.21875,2305200.0,202678250.0,,,,,,,,,,,,,,,,,,
1998-01-13,IDXX.OQ,3.28125,3.4375,3.25,3.390625,3.390625,1746400.0,213500875.0,,,,,,,,,,,,,,,,,,
1998-01-14,IDXX.OQ,3.375,3.53125,3.328125,3.46875,3.46875,993200.0,218420250.0,,,,,,,,,,,,,,,,,,
1998-01-15,IDXX.OQ,3.40625,3.53125,3.40625,3.453125,3.453125,554000.0,217436375.0,,,,,,,,,,,,,,,,,,
1998-01-16,IDXX.OQ,3.5,3.625,3.4375,3.59375,3.59375,1064800.0,226291250.0,,,,,,,,,,,,,,,,,,
1998-01-20,IDXX.OQ,3.5625,3.625,3.40625,3.53125,3.53125,488400.0,222355750.0,,,,,,,,,,,,,,,,,,
1998-01-21,IDXX.OQ,3.46875,3.65625,3.46875,3.609375,3.609375,638800.0,227275125.0,,,,,,,,,,,,,,,,,,
1998-01-22,IDXX.OQ,3.578125,3.71875,3.578125,3.625,3.625,648000.0,228259000.0,,,,,,,,,,,,,,,,,,
1998-01-23,IDXX.OQ,3.6875,3.703125,3.578125,3.6875,3.6875,379200.0,232194500.0,,,,,,,,,,,,,,,,,,
1998-01-26,IDXX.OQ,3.65625,3.8125,3.640625,3.71875,3.71875,667200.0,234162250.0,,,,,,,,,,,,,,,,,,
1998-01-27,IDXX.OQ,3.75,3.875,3.75,3.78125,3.78125,492400.0,238097750.0,,,,,,,,,,,,,,,,,,
1998-01-28,IDXX.OQ,3.796875,3.921875,3.75,3.875,3.875,771600.0,244001000.0,,,,,,,,,,,,,,,,,,
1998-01-29,IDXX.OQ,3.875,3.9375,3.5,3.5625,3.5625,1423200.0,224323500.0,,,,,,,,,,,,,,,,,,
1998-01-30,IDXX.OQ,3.53125,3.546875,3.40625,3.421875,3.421875,686000.0,215468625.0,,,,,,,,,,,,,,,,,,
1998-02-02,IDXX.OQ,3.46875,3.78125,3.46875,3.75,3.75,991600.0,236130000.0,,,,,,,,,,,,,,,,,,
1998-02-03,IDXX.OQ,3.6875,4.03125,3.6875,3.90625,3.90625,1592000.0,245968750.0,,,,,,,,,,,,,,,,,,
1998-02-04,IDXX.OQ,3.9375,4.375,3.84375,4.242188,4.242188,2968400.0,267122062.5,,,,,,,,,,,,,,,,,,
1998-02-05,IDXX.OQ,4.21875,4.25,3.96875,4.21875,4.21875,1111200.0,265646250.0,,,,,,,,,,,,,,,,,,
1998-02-06,IDXX.OQ,4.125,4.28125,4.03125,4.1875,4.1875,1019200.0,263678500.0,,,,,,,,,,,,,,,,,,
1998-02-09,IDXX.OQ,4.15625,4.3125,4.109375,4.28125,4.28125,644000.0,269581750.0,,,,,,,,,,,,,,,,,,
1998-02-10,IDXX.OQ,4.296875,4.40625,4.25,4.40625,4.40625,975200.0,277452750.0,,,,,,,,,,,,,,,,,,
1998-02-11,IDXX.OQ,4.4375,4.5,4.34375,4.40625,4.40625,716000.0,277452750.0,,,,,,,,,,,,,,,,,,
1998-02-12,IDXX.OQ,4.46875,4.515625,4.40625,4.4375,4.4375,1097600.0,279420500.0,,,,,,,,,,,,,,,,,,
1998-02-13,IDXX.OQ,4.515625,4.84375,4.375,4.71875,4.71875,5714800.0,297130250.0,,,,,,,,,,,,,,,,,,
1998-02-17,IDXX.OQ,4.625,4.703125,4.203125,4.234375,4.234375,3685200.0,266630125.0,,,,,,,,,,,,,,,,,,
1998-02-18,IDXX.OQ,4.140625,4.3125,4.078125,4.3125,4.3125,1822800.0,271549500.0,,,,,,,,,,,,,,,,,,
1998-02-19,IDXX.OQ,4.296875,4.3125,4.078125,4.085938,4.085938,1423200.0,257283312.5,,,,,,,,,,,,,,,,,,
1998-02-20,IDXX.OQ,4.09375,4.15625,3.929688,4.03125,4.03125,1391600.0,253839750.0,,,,,,,,,,,,,,,,,,
1998-02-23,IDXX.OQ,4.0625,4.0625,3.9375,3.953125,3.953125,1067600.0,248920375.0,,,,,,,,,,,,,,,,,,
1998-02-24,IDXX.OQ,3.9375,4.0,3.75,3.75,3.75,999200.0,236130000.0,,,,,,,,,,,,,,,,,,
1998-02-25,IDXX.OQ,3.78125,4.09375,3.75,3.984375,3.984375,1186400.0,250888125.0,,,,,,,,,,,,,,,,,,
1998-02-26,IDXX.OQ,3.96875,4.03125,3.90625,4.03125,4.03125,458000.0,253839750.0,,,,,,,,,,,,,,,,,,
1998-02-27,IDXX.OQ,4.0,4.03125,3.875,3.921875,3.921875,483200.0,246952625.0,,,,,,,,,,,,,,,,,,
