Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,INTC.OQ,17.671875,18.15625,17.625,18.15625,18.15625,40936400.0,118814500000.0,,,,,,,,,,,,,,,,,,
1998-01-05,INTC.OQ,18.265625,18.785156,18.0,18.625,18.625,78368400.0,121882000000.0,,,,,,,,,,,,,,,,,,
1998-01-06,INTC.OQ,18.46875,18.578125,18.171875,18.28125,18.28125,48309600.0,119632500000.0,,,,,,,,,,,,,,,,,,
1998-01-07,INTC.OQ,18.1875,18.40625,17.890625,18.1875,18.1875,55380800.0,119019000000.0,,,,,,,,,,,,,,,,,,
1998-01-08,INTC.OQ,18.0625,18.703125,18.03125,18.578125,18.578125,75739200.0,121575250000.0,,,,,,,,,,,,,,,,,,
1998-01-09,INTC.OQ,18.640625,18.75,17.808594,17.96875,17.96875,88028800.0,117587500000.0,,,,,,,,,,,,,,,,,,
1998-01-12,INTC.OQ,17.703125,18.921875,17.671875,18.90625,18.90625,123899600.0,123722500000.0,,,,,,,,,,,,,,,,,,
1998-01-13,INTC.OQ,19.09375,19.3125,19.0625,19.234375,19.234375,97348000.0,125869750000.0,7136000000.0,2.9629914004914,6512000000.0,0.26652,0.24426,1743000000.0,1997-12-27,6507000000.0,6540000000.0,,,1998-01-13,125254250000.0,,6.491539258875357,0.15404666907510123,,
1998-01-14,INTC.OQ,19.25,19.265625,18.59375,18.859375,18.859375,123962000.0,123415750000.0,7136000000.0,2.9629914004914,6512000000.0,0.26652,0.24426,1743000000.0,1997-12-27,6507000000.0,6540000000.0,,,1998-01-13,122812250000.0,,6.3649779735682825,0.1571097345745233,,
1998-01-15,INTC.OQ,18.71875,19.09375,18.65625,18.828125,18.828125,53458400.0,123211250000.0,7136000000.0,2.9629914004914,6512000000.0,0.26652,0.24426,1743000000.0,1997-12-27,6507000000.0,6540000000.0,,,1998-01-13,122608750000.0,,6.354431199792693,0.15737049761946026,,
1998-01-16,INTC.OQ,18.953125,18.96875,18.65625,18.703125,18.703125,59281200.0,122393250000.0,7136000000.0,2.9629914004914,6512000000.0,0.26652,0.24426,1743000000.0,1997-12-27,6507000000.0,6540000000.0,,,1998-01-13,121794750000.0,,6.312244104690335,0.15842226368542156,,
1998-01-20,INTC.OQ,18.78125,19.078125,18.71875,19.0625,19.0625,49972000.0,124745000000.0,7136000000.0,2.9629914004914,6512000000.0,0.26652,0.24426,1743000000.0,1997-12-27,6507000000.0,6540000000.0,,,1998-01-13,124135000000.0,,6.433532003109614,0.15543561445200788,,
1998-01-21,INTC.OQ,18.859375,19.421875,18.84375,19.171875,19.171875,69415200.0,125460750000.0,7136000000.0,2.9629914004914,6512000000.0,0.26652,0.24426,1743000000.0,1997-12-27,6507000000.0,6540000000.0,,,1998-01-13,124847250000.0,,6.470445711324178,0.1545488587053379,,
1998-01-22,INTC.OQ,19.0,19.375,18.984375,19.125,19.125,49898000.0,125154000000.0,7136000000.0,2.9629914004914,6512000000.0,0.26652,0.24426,1743000000.0,1997-12-27,6507000000.0,6540000000.0,,,1998-01-13,124542000000.0,,6.4546255506607935,0.15492765492765492,,
1998-01-23,INTC.OQ,19.21875,19.46875,19.125,19.296875,19.296875,56184800.0,126278750000.0,7136000000.0,2.9629914004914,6512000000.0,0.26652,0.24426,1743000000.0,1997-12-27,6507000000.0,6540000000.0,,,1998-01-13,125661250000.0,,6.512632806426536,0.1535477324951009,,
1998-01-26,INTC.OQ,19.25,19.5,19.25,19.421875,19.421875,44695200.0,127096750000.0,7136000000.0,2.9629914004914,6512000000.0,0.26652,0.24426,1743000000.0,1997-12-27,6507000000.0,6540000000.0,,,1998-01-13,126475250000.0,,6.554819901528894,0.15255949286520484,,
1998-01-27,INTC.OQ,19.46875,19.890625,19.34375,19.796875,19.796875,58713200.0,129550750000.0,7136000000.0,2.9629914004914,6512000000.0,0.26652,0.24426,1743000000.0,1997-12-27,6507000000.0,6540000000.0,,,1998-01-13,128917250000.0,,6.681381186835969,0.14966965243208336,,
1998-01-28,INTC.OQ,19.9375,20.359375,19.875,20.21875,20.21875,67063600.0,132311500000.0,7136000000.0,2.9629914004914,6512000000.0,0.26652,0.24426,1743000000.0,1997-12-27,6507000000.0,6540000000.0,,,1998-01-13,131664500000.0,,6.823762632806427,0.14654671532569521,,
1998-01-29,INTC.OQ,20.078125,20.71875,20.0625,20.5,20.5,72366400.0,134152000000.0,7136000000.0,2.9629914004914,6512000000.0,0.26652,0.24426,1743000000.0,1997-12-27,6507000000.0,6540000000.0,,,1998-01-13,133496000000.0,,6.918683596786733,0.1445361658776293,,
1998-01-30,INTC.OQ,20.625,20.6875,20.21875,20.25,20.25,45384000.0,132516000000.0,7136000000.0,2.9629914004914,6512000000.0,0.26652,0.24426,1743000000.0,1997-12-27,6507000000.0,6540000000.0,,,1998-01-13,131868000000.0,,6.834309406582017,0.14632056298722962,,
1998-02-02,INTC.OQ,20.625,20.902344,20.546875,20.765625,20.765625,62426000.0,135890250000.0,7136000000.0,2.9629914004914,6512000000.0,0.26652,0.24426,1743000000.0,1997-12-27,6507000000.0,6540000000.0,,,1998-01-13,135225750000.0,,7.008331173879244,0.1426873210168921,,
1998-02-03,INTC.OQ,21.0,21.78125,20.90625,21.578125,21.578125,99884400.0,141207250000.0,7136000000.0,2.9629914004914,6512000000.0,0.26652,0.24426,1743000000.0,1997-12-27,6507000000.0,6540000000.0,,,1998-01-13,140516750000.0,,7.282547292044572,0.13731459060930457,,
1998-02-04,INTC.OQ,21.53125,22.078125,21.40625,21.890625,21.890625,75391600.0,143252250000.0,7136000000.0,2.9629914004914,6512000000.0,0.26652,0.24426,1743000000.0,1997-12-27,6507000000.0,6540000000.0,,,1998-01-13,142551750000.0,,7.388015029800467,0.1353543537697713,,
1998-02-05,INTC.OQ,22.1875,22.515625,21.53125,21.625,21.625,97320800.0,141514000000.0,7136000000.0,2.9629914004914,6512000000.0,0.26652,0.24426,1743000000.0,1997-12-27,6507000000.0,6540000000.0,,,1998-01-13,140822000000.0,,7.298367452707956,0.13701694337532486,,
1998-02-06,INTC.OQ,21.4375,22.0,21.40625,21.886719,21.886719,52042800.0,143226695680.0,7136000000.0,2.9629914004914,6512000000.0,0.26652,0.24426,1743000000.0,1997-12-27,6507000000.0,6540000000.0,,,1998-01-13,142526314128.0,,7.386696767452708,0.13537850970222629,,
1998-02-09,INTC.OQ,21.859375,21.96875,21.359375,21.453125,21.453125,45804400.0,140389250000.0,7136000000.0,2.9629914004914,6512000000.0,0.26652,0.24426,1743000000.0,1997-12-27,6507000000.0,6540000000.0,,,1998-01-13,139702750000.0,,7.2403601969422136,0.13811467562377977,,
1998-02-10,INTC.OQ,21.359375,21.953125,21.265625,21.5625,21.5625,59575200.0,141105000000.0,7136000000.0,2.9629914004914,6512000000.0,0.26652,0.24426,1743000000.0,1997-12-27,6507000000.0,6540000000.0,,,1998-01-13,140415000000.0,,7.277273905156777,0.13741409393583304,,
1998-02-11,INTC.OQ,21.421875,21.515625,21.0625,21.265625,21.265625,64918000.0,139162250000.0,7136000000.0,2.9629914004914,6512000000.0,0.26652,0.24426,1743000000.0,1997-12-27,6507000000.0,6540000000.0,,,1998-01-13,138481750000.0,,7.177079554288676,0.13933243911201296,,
1998-02-12,INTC.OQ,20.96875,21.3125,20.6875,21.25,21.25,70388800.0,139060000000.0,7136000000.0,2.9629914004914,6512000000.0,0.26652,0.24426,1743000000.0,1997-12-27,6507000000.0,6540000000.0,,,1998-01-13,138380000000.0,,7.171806167400882,0.1394348894348894,,
1998-02-13,INTC.OQ,21.09375,21.234375,20.953125,20.953125,20.953125,39093600.0,137117250000.0,7136000000.0,2.9629914004914,6512000000.0,0.26652,0.24426,1743000000.0,1997-12-27,6507000000.0,6540000000.0,,,1998-01-13,136446750000.0,,7.071611816532781,0.14141047698094678,,
