Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,IPG.N,24.84375,25.3125,24.625,24.9375,24.9375,289800.0,6281944578.0,,,,,,,,,,,,,,,,,,
1998-01-05,IPG.N,25.1875,25.625,25.0,25.625,25.625,575200.0,6455131020.0,,,,,,,,,,,,,,,,,,
1998-01-06,IPG.N,25.46875,25.46875,25.03125,25.1875,25.1875,421000.0,6344921466.0,,,,,,,,,,,,,,,,,,
1998-01-07,IPG.N,24.9375,25.0,24.5625,24.78125,24.78125,588800.0,6242584023.0,,,,,,,,,,,,,,,,,,
1998-01-08,IPG.N,24.96875,25.4375,24.875,25.25,25.25,644600.0,6360665688.0,,,,,,,,,,,,,,,,,,
1998-01-09,IPG.N,25.1875,25.1875,23.875,24.4375,24.4375,646200.0,6155990802.0,,,,,,,,,,,,,,,,,,
1998-01-12,IPG.N,24.1875,24.78125,24.09375,24.375,24.375,928200.0,6140246580.0,,,,,,,,,,,,,,,,,,
1998-01-13,IPG.N,24.375,24.375,24.125,24.1875,24.1875,768000.0,6093013914.0,,,,,,,,,,,,,,,,,,
1998-01-14,IPG.N,24.25,24.25,23.96875,24.21875,24.21875,708400.0,6100886025.0,,,,,,,,,,,,,,,,,,
1998-01-15,IPG.N,24.28125,24.46875,23.875,23.9375,23.9375,493400.0,6030037026.0,,,,,,,,,,,,,,,,,,
1998-01-16,IPG.N,24.1875,24.625,24.09375,24.3125,24.3125,656400.0,6124502358.0,,,,,,,,,,,,,,,,,,
1998-01-20,IPG.N,24.5,24.8125,24.4375,24.5,24.5,608400.0,6171735024.0,,,,,,,,,,,,,,,,,,
1998-01-21,IPG.N,24.25,24.375,24.0,24.125,24.125,709400.0,6077269692.0,,,,,,,,,,,,,,,,,,
