Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,IRM.N,5.871153,5.871153,5.871153,5.871153,5.871153,591.0,,,,,,,,,,,,,,,,,,,
1998-01-05,IRM.N,5.871153,5.871153,5.830382,5.830382,5.830382,39601.0,,,,,,,,,,,,,,,,,,,
1998-01-06,IRM.N,5.891539,5.891539,5.728452,5.728452,5.728452,85705.0,,,,,,,,,,,,,,,,,,,
1998-01-07,IRM.N,5.809996,5.850767,5.728452,5.850767,5.850767,368829.0,,,,,,,,,,,,,,,,,,,
1998-01-08,IRM.N,5.850767,5.850767,5.728452,5.78961,5.78961,59698.0,,,,,,,,,,,,,,,,,,,
1998-01-09,IRM.N,5.759031,5.78961,5.728452,5.759031,5.759031,11821.0,,,,,,,,,,,,,,,,,,,
1998-01-12,IRM.N,5.728452,5.748838,5.728452,5.748838,5.748838,36646.0,,,,,,,,,,,,,,,,,,,
1998-01-13,IRM.N,5.697873,5.830382,5.677487,5.830382,5.830382,51423.0,,,,,,,,,,,,,,,,,,,
1998-01-14,IRM.N,5.718259,5.748838,5.708066,5.748838,5.748838,4728.0,,,,,,,,,,,,,,,,,,,
1998-01-15,IRM.N,5.830382,5.830382,5.667294,5.667294,5.667294,46694.0,,,,,,,,,,,,,,,,,,,
1998-01-16,IRM.N,5.708066,5.708066,5.636715,5.697873,5.697873,54969.0,,,,,,,,,,,,,,,,,,,
1998-01-20,IRM.N,5.667294,5.769224,5.646908,5.748838,5.748838,33100.0,,,,,,,,,,,,,,,,,,,
1998-01-21,IRM.N,5.708066,5.830382,5.667294,5.718259,5.718259,196235.0,,,,,,,,,,,,,,,,,,,
1998-01-22,IRM.N,5.759031,5.830382,5.68768,5.759031,5.759031,24233.0,,,,,,,,,,,,,,,,,,,
1998-01-23,IRM.N,5.708066,5.728452,5.708066,5.708066,5.708066,99891.0,,,,,,,,,,,,,,,,,,,
1998-01-26,IRM.N,5.708066,5.733548,5.702969,5.728452,5.728452,165500.0,,,,,,,,,,,,,,,,,,,
1998-01-27,IRM.N,5.667294,5.748838,5.667294,5.748838,5.748838,2955.0,,,,,,,,,,,,,,,,,,,
1998-01-28,IRM.N,5.667294,5.78961,5.667294,5.728452,5.728452,312086.0,,,,,,,,,,,,,,,,,,,
1998-01-29,IRM.N,5.728452,5.78961,5.708066,5.78961,5.78961,297309.0,,,,,,,,,,,,,,,,,,,
1998-01-30,IRM.N,5.748838,5.830382,5.708066,5.830382,5.830382,306766.0,,,,,,,,,,,,,,,,,,,
1998-02-02,IRM.N,5.830382,5.830382,5.718259,5.830382,5.830382,18323.0,,,,,,,,,,,,,,,,,,,
1998-02-03,IRM.N,5.830382,5.830382,5.769224,5.769224,5.769224,104619.0,,,,,,,,,,,,,,,,,,,
1998-02-04,IRM.N,5.769224,5.78961,5.769224,5.769224,5.769224,85705.0,,,,,,,,,,,,,,,,,,,
1998-02-05,IRM.N,5.78961,5.78961,5.708066,5.708066,5.708066,30735.0,,,,,,,,,,,,,,,,,,,
1998-02-06,IRM.N,5.626522,5.667294,5.544978,5.595943,5.595943,70337.0,,,,,,,,,,,,,,,,,,,
1998-02-09,IRM.N,5.544978,5.626522,5.48382,5.606136,5.606136,381832.0,,,,,,,,,,,,,,,,,,,
1998-02-10,IRM.N,5.606136,5.748838,5.595943,5.748838,5.748838,60289.0,,,,,,,,,,,,,,,,,,,
1998-02-11,IRM.N,5.667294,5.748838,5.667294,5.748838,5.748838,8275.0,,,,,,,,,,,,,,,,,,,
1998-02-12,IRM.N,5.58575,5.606136,5.58575,5.58575,5.58575,54378.0,,,,,,,,,,,,,,,,,,,
1998-02-13,IRM.N,5.713162,5.713162,5.677487,5.677487,5.677487,3546.0,,,,,,,,,,,,,,,,,,,
1998-02-17,IRM.N,5.606136,5.748838,5.544978,5.58575,5.58575,49650.0,,,,,,,,,,,,,,,,,,,
1998-02-18,IRM.N,5.544978,5.626522,5.463434,5.504206,5.504206,69155.0,,,,,,,,,,,,,,,,,,,
1998-02-19,IRM.N,5.422663,5.443048,5.422663,5.443048,5.443048,31917.0,,,,,,,,,,,,,,,,,,,
1998-02-20,IRM.N,5.392084,5.392084,5.381891,5.381891,5.381891,18323.0,,,,,,,,,,,,,,,,,,,
1998-02-23,IRM.N,5.422663,5.473627,5.381891,5.473627,5.473627,123534.0,,,,,,,,,,,,,,,,,,,
1998-02-24,IRM.N,5.463434,5.463434,5.453241,5.463434,5.463434,27189.0,,,,,,,,,,,,,,,,,,,
1998-02-25,IRM.N,5.58575,5.58575,5.524592,5.524592,5.524592,579250.0,,,,,,,,,,,,,,,,,,,
1998-02-26,IRM.N,5.565364,5.606136,5.524592,5.524592,5.524592,205693.0,,71746910.73003,1.73205424196559,79520026.95002,-0.03779,-0.03779,-2711000.0,1997-12-31,65371000.0,71746910.73003,,,1998-02-26,439315704.7278649,,3.189618353828526,0.31351713248065916,,
1998-02-27,IRM.N,5.494013,5.544978,5.48382,5.544978,5.544978,62062.0,,71746910.73003,1.73205424196559,79520026.95002,-0.03779,-0.03779,-2711000.0,1997-12-31,65371000.0,71746910.73003,,,1998-02-26,440936799.997268,,3.2013881930784014,0.31236449305400127,,
1998-03-02,IRM.N,5.504206,5.58575,5.504206,5.544978,5.544978,130626.0,,71746910.73003,1.73205424196559,79520026.95002,-0.03779,-0.03779,-2711000.0,1997-12-31,65371000.0,71746910.73003,,,1998-02-26,440936799.997268,,3.2013881930784014,0.31236449305400127,,
1998-03-03,IRM.N,5.504206,5.504206,5.320733,5.422663,5.422663,343412.0,,71746910.73003,1.73205424196559,79520026.95002,-0.03779,-0.03779,-2711000.0,1997-12-31,65371000.0,71746910.73003,,,1998-02-26,431210307.9008763,,3.1307697349282724,0.3194102679745339,,
1998-03-04,IRM.N,5.381891,5.544978,5.381891,5.392084,5.392084,28962.0,,71746910.73003,1.73205424196559,79520026.95002,-0.03779,-0.03779,-2711000.0,1997-12-31,65371000.0,71746910.73003,,,1998-02-26,428778664.99677163,,3.113114976053459,0.3212216727272035,,
