Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,J.N,5.29672,5.335859,5.218444,5.335859,5.335859,214800.0,641133062.5,,,,,,,,,,,,,,,,,,
1998-01-05,J.N,5.309767,5.348905,5.283674,5.348905,5.348905,280800.0,642700625.0,,,,,,,,,,,,,,,,,,
1998-01-06,J.N,5.348905,5.414135,5.335859,5.414135,5.414135,359600.0,650538437.5,,,,,,,,,,,,,,,,,,
1998-01-07,J.N,5.401089,5.401089,5.348905,5.388043,5.388043,274400.0,647403312.5,,,,,,,,,,,,,,,,,,
1998-01-08,J.N,5.401089,5.401089,5.335859,5.388043,5.388043,237600.0,647403312.5,,,,,,,,,,,,,,,,,,
1998-01-09,J.N,5.374997,5.427182,5.166259,5.218444,5.218444,511200.0,627025000.0,,,,,,,,,,,,,,,,,,
1998-01-12,J.N,5.166259,5.322813,5.166259,5.270628,5.270628,366400.0,633295250.0,,,,,,,,,,,,,,,,,,
1998-01-13,J.N,5.270628,5.414135,5.270628,5.414135,5.414135,289200.0,650538437.5,,,,,,,,,,,,,,,,,,
1998-01-14,J.N,5.388043,5.557643,5.388043,5.518504,5.518504,450000.0,663078937.5,,,,,,,,,,,,,,,,,,
1998-01-15,J.N,5.557643,5.557643,5.453274,5.46632,5.46632,231200.0,656808687.5,,,,,,,,,,,,,,,,,,
1998-01-16,J.N,5.557643,5.648965,5.505458,5.635919,5.635919,384000.0,677187000.0,,,,,,,,,,,,,,,,,,
1998-01-20,J.N,5.714196,5.831611,5.714196,5.805519,5.805519,244400.0,697565312.5,,,,,,,,,,,,,,,,,,
1998-01-21,J.N,5.779426,5.779426,5.70115,5.753334,5.753334,442800.0,691295062.5,,,,,,,,,,,,,,,,,,
1998-01-22,J.N,5.753334,5.753334,5.662011,5.675058,5.675058,737600.0,681889687.5,,,,,,,,,,,,,,,,,,
1998-01-23,J.N,5.70115,5.70115,5.622873,5.622873,5.622873,197600.0,675619437.5,,,,,,,,,,,,,,,,,,
1998-01-26,J.N,5.622873,5.70115,5.622873,5.635919,5.635919,400400.0,677187000.0,,,,,,,,,,,,,,,,,,
1998-01-27,J.N,5.648965,5.675058,5.609827,5.635919,5.635919,66000.0,677187000.0,,,,,,,,,,,,,,,,,,
1998-01-28,J.N,5.648965,5.688104,5.635919,5.675058,5.675058,177600.0,681889687.5,,,,,,,,,,,,,,,,,,
1998-01-29,J.N,5.688104,5.727242,5.662011,5.688104,5.688104,223600.0,683457250.0,,,,,,,,,,,,,,,,,,
1998-01-30,J.N,5.648965,5.675058,5.622873,5.622873,5.622873,228000.0,675619437.5,,,,,,,,,,,,,,,,,,
1998-02-02,J.N,5.675058,5.675058,5.609827,5.635919,5.635919,259200.0,677187000.0,,,,,,,,,,,,,,,,,,
1998-02-03,J.N,5.635919,5.857703,5.635919,5.857703,5.857703,597600.0,703835562.5,,,,,,,,,,,,,,,,,,
1998-02-04,J.N,5.831611,5.909888,5.76638,5.883795,5.883795,155600.0,706970687.5,,,,,,,,,,,,,,,,,,
1998-02-05,J.N,5.896841,6.183856,5.870749,6.118625,6.118625,569200.0,735186812.5,,,,,,,,,,,,,,,,,,
1998-02-06,J.N,6.00121,6.23604,6.00121,6.040349,6.040349,365200.0,725781437.5,,,,,,,,,,,,,,,,,,
1998-02-09,J.N,6.027303,6.131671,5.988164,6.105579,6.105579,80400.0,733619250.0,,,,,,,,,,,,,,,,,,
1998-02-10,J.N,6.053395,6.249086,6.053395,6.183856,6.183856,174800.0,743024625.0,,,,,,,,,,,,,,,,,,
1998-02-11,J.N,6.17081,6.209948,6.105579,6.209948,6.209948,259600.0,746159750.0,,,,,,,,,,,,,,,,,,
1998-02-12,J.N,6.17081,6.17081,6.066441,6.105579,6.105579,392800.0,733619250.0,,,,,,,,,,,,,,,,,,
1998-02-13,J.N,6.131671,6.183856,6.079487,6.183856,6.183856,112400.0,743024625.0,,,,,,,,,,,,,,,,,,
1998-02-17,J.N,6.157764,6.222994,6.144718,6.157764,6.157764,286000.0,739889500.0,,,,,,,,,,,,,,,,,,
1998-02-18,J.N,6.157764,6.17081,6.079487,6.157764,6.157764,397200.0,739889500.0,,,,,,,,,,,,,,,,,,
1998-02-19,J.N,6.157764,6.275179,6.157764,6.262133,6.262133,500000.0,752430000.0,,,,,,,,,,,,,,,,,,
1998-02-20,J.N,6.222994,6.288225,6.209948,6.288225,6.288225,171200.0,755565125.0,,,,,,,,,,,,,,,,,,
1998-02-23,J.N,6.275179,6.288225,6.157764,6.222994,6.222994,271600.0,747727312.5,,,,,,,,,,,,,,,,,,
1998-02-24,J.N,6.222994,6.262133,6.17081,6.196902,6.196902,149200.0,744592187.5,,,,,,,,,,,,,,,,,,
1998-02-25,J.N,6.23604,6.249086,6.144718,6.183856,6.183856,272400.0,743024625.0,,,,,,,,,,,,,,,,,,
1998-02-26,J.N,6.17081,6.249086,6.144718,6.196902,6.196902,394800.0,744592187.5,,,,,,,,,,,,,,,,,,
1998-02-27,J.N,6.196902,6.249086,6.17081,6.249086,6.249086,300400.0,750862437.5,,,,,,,,,,,,,,,,,,
1998-03-02,J.N,6.262133,6.314317,6.23604,6.301271,6.301271,191200.0,757132687.5,,,,,,,,,,,,,,,,,,
1998-03-03,J.N,6.275179,6.353455,6.262133,6.340409,6.340409,236400.0,761835375.0,,,,,,,,,,,,,,,,,,
1998-03-04,J.N,6.353455,6.353455,6.301271,6.327363,6.327363,140400.0,760267812.5,,,,,,,,,,,,,,,,,,
1998-03-05,J.N,6.314317,6.314317,6.262133,6.288225,6.288225,443600.0,755565125.0,,,,,,,,,,,,,,,,,,
1998-03-06,J.N,6.288225,6.379547,6.288225,6.288225,6.288225,932400.0,755565125.0,,,,,,,,,,,,,,,,,,
1998-03-09,J.N,6.275179,6.314317,6.23604,6.262133,6.262133,233600.0,752430000.0,,,,,,,,,,,,,,,,,,
1998-03-10,J.N,6.23604,6.301271,6.222994,6.288225,6.288225,194400.0,757132687.5,,,,,,,,,,,,,,,,,,
1998-03-11,J.N,6.275179,6.523055,6.275179,6.457824,6.457824,729200.0,775943437.5,,,,,,,,,,,,,,,,,,
1998-03-12,J.N,6.47087,6.496962,6.392594,6.40564,6.40564,317200.0,769673187.5,,,,,,,,,,,,,,,,,,
1998-03-13,J.N,6.40564,6.523055,6.392594,6.483916,6.483916,451200.0,779078562.5,,,,,,,,,,,,,,,,,,
1998-03-16,J.N,6.47087,6.575239,6.47087,6.549147,6.549147,486400.0,786916375.0,,,,,,,,,,,,,,,,,,
1998-03-17,J.N,6.575239,6.614377,6.536101,6.614377,6.614377,358800.0,794754187.5,,,,,,,,,,,,,,,,,,
1998-03-18,J.N,6.653516,6.653516,6.575239,6.588285,6.588285,300800.0,791619062.5,,,,,,,,,,,,,,,,,,
1998-03-19,J.N,6.575239,6.653516,6.575239,6.614377,6.614377,128400.0,794754187.5,,,,,,,,,,,,,,,,,,
1998-03-20,J.N,6.601331,6.64047,6.601331,6.614377,6.614377,103600.0,794754187.5,,,,,,,,,,,,,,,,,,
1998-03-23,J.N,6.588285,6.614377,6.588285,6.601331,6.601331,272800.0,793186625.0,,,,,,,,,,,,,,,,,,
1998-03-24,J.N,6.627424,6.679608,6.601331,6.666562,6.666562,248800.0,802592000.0,,,,,,,,,,,,,,,,,,
1998-03-25,J.N,6.679608,6.679608,6.575239,6.588285,6.588285,242000.0,791619062.5,,,,,,,,,,,,,,,,,,
1998-03-26,J.N,6.601331,6.666562,6.601331,6.666562,6.666562,79200.0,801024437.5,,,,,,,,,,,,,,,,,,
1998-03-27,J.N,6.666562,6.718746,6.627424,6.692654,6.692654,377600.0,804159562.5,,,,,,,,,,,,,,,,,,
1998-03-30,J.N,6.692654,6.692654,6.601331,6.64047,6.64047,292800.0,797889312.5,,,,,,,,,,,,,,,,,,
1998-03-31,J.N,6.666562,6.757885,6.627424,6.757885,6.757885,236000.0,811997375.0,,,,,,,,,,,,,,,,,,
