Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,JNJ.N,32.53125,32.5625,32.3125,32.53125,32.53125,3658800.0,86705187465.75,,,,,,,,,,,,,,,,,,
1998-01-05,JNJ.N,32.65625,32.71875,32.21875,32.53125,32.53125,4408000.0,86621897180.0,,,,,,,,,,,,,,,,,,
1998-01-06,JNJ.N,32.3125,32.34375,31.6875,32.0,32.0,4247400.0,85289252608.0,,,,,,,,,,,,,,,,,,
1998-01-07,JNJ.N,31.75,32.28125,31.75,32.28125,32.28125,3162400.0,86122155465.5,,,,,,,,,,,,,,,,,,
1998-01-08,JNJ.N,32.46875,32.90625,32.28125,32.625,32.625,5255600.0,87121638894.5,,,,,,,,,,,,,,,,,,
1998-01-09,JNJ.N,32.5,32.96875,32.09375,32.375,32.375,5995800.0,86122155465.5,,,,,,,,,,,,,,,,,,
1998-01-12,JNJ.N,31.78125,33.09375,31.75,32.90625,32.90625,6920400.0,87871251466.25,,,,,,,,,,,,,,,,,,
1998-01-13,JNJ.N,33.0,33.34375,32.84375,33.125,33.125,5370800.0,88454283466.5,,,,,,,,,,,,,,,,,,
1998-01-14,JNJ.N,33.125,33.40625,32.96875,33.21875,33.21875,4372000.0,88620864038.0,,,,,,,,,,,,,,,,,,
1998-01-15,JNJ.N,33.0625,33.1875,32.75,32.84375,32.84375,4088600.0,87538090323.25,,,,,,,,,,,,,,,,,,
1998-01-16,JNJ.N,33.03125,34.25,33.0,33.875,33.875,5895800.0,90286669753.0,,,,,,,,,,,,,,,,,,
1998-01-20,JNJ.N,33.96875,34.71875,33.53125,34.65625,34.65625,5002800.0,92368926896.75,,,,,,,,,,,,,,,,,,
1998-01-21,JNJ.N,34.34375,34.40625,33.53125,34.1875,34.1875,4796600.0,90786411467.5,,,,,,,,,,,,,,,,,,
1998-01-22,JNJ.N,33.75,33.96875,33.34375,33.625,33.625,3793000.0,89620347467.0,,,,,,,,,,,,,,,,,,
1998-01-23,JNJ.N,33.59375,33.75,33.3125,33.40625,33.40625,3022800.0,89120605752.5,,,,,,,,,,,,,,,,,,
1998-01-26,JNJ.N,33.46875,33.96875,33.375,33.59375,33.59375,2486600.0,89537057181.25,,,,,,,,,,,,,,,,,,
1998-01-27,JNJ.N,33.5625,34.25,33.53125,33.71875,33.71875,3969200.0,89870218324.25,,,,,,,,,,,,,,,,,,
1998-01-28,JNJ.N,33.90625,34.09375,33.34375,33.4375,33.4375,4018200.0,89120605752.5,,,,,,,,,,,,,,,,,,
1998-01-29,JNJ.N,33.3125,33.625,33.09375,33.4375,33.4375,4058400.0,89120605752.5,,,,,,,,,,,,,,,,,,
1998-01-30,JNJ.N,33.46875,33.78125,33.1875,33.46875,33.46875,3511000.0,89203896038.25,,,,,,,,,,,,,,,,,,
1998-02-02,JNJ.N,34.25,34.59375,34.25,34.40625,34.40625,3835400.0,91702604610.75,,,,,,,,,,,,,,,,,,
1998-02-03,JNJ.N,34.40625,34.75,34.15625,34.75,34.75,4195600.0,92618797754.0,,,,,,,,,,,,,,,,,,
1998-02-04,JNJ.N,34.625,34.625,34.25,34.375,34.375,3678400.0,91619314325.0,,,,,,,,,,,,,,,,,,
1998-02-05,JNJ.N,34.59375,34.6875,34.125,34.4375,34.4375,3192000.0,91785894896.5,,,,,,,,,,,,,,,,,,
1998-02-06,JNJ.N,34.65625,34.9375,34.5625,34.8125,34.8125,2999800.0,92951958897.0,,,,,,,,,,,,,,,,,,
1998-02-09,JNJ.N,34.90625,34.90625,34.21875,34.46875,34.46875,3176000.0,91785894896.5,,,,,,,,,,,,,,,,,,
1998-02-10,JNJ.N,34.46875,35.0,34.46875,34.9375,34.9375,2975600.0,92951958897.0,,,,,,,,,,,,,,,,,,
1998-02-11,JNJ.N,34.9375,34.96875,34.59375,34.65625,34.65625,2646800.0,92202346325.25,,,,,,,,,,,,,,,,,,
1998-02-12,JNJ.N,34.59375,34.84375,34.25,34.78125,34.78125,3194000.0,92702088039.75,,,,,,,,,,,,,,,,,,
1998-02-13,JNJ.N,34.03125,34.65625,34.03125,34.625,34.625,2953200.0,92035765753.75,,,,,,,,,,,,,,,,,,
1998-02-17,JNJ.N,34.75,34.875,34.375,34.75,34.75,3711800.0,92618797754.0,,,,,,,,,,,,,,,,,,
1998-02-18,JNJ.N,34.875,35.25,34.84375,35.25,35.25,4121600.0,93951442326.0,,,,,,,,,,,,,,,,,,
1998-02-19,JNJ.N,35.25,35.28125,34.9375,35.28125,35.28125,3148000.0,94034732611.75,,,,,,,,,,,,,,,,,,
1998-02-20,JNJ.N,35.28125,35.28125,34.4375,35.03125,35.03125,4131400.0,93368410325.75,,,,,,,,,,,,,,,,,,
1998-02-23,JNJ.N,35.25,36.0625,35.0,36.0,36.0,4624600.0,95950409184.0,,,,,,,,,,,,,,,,,,
1998-02-24,JNJ.N,35.8125,36.875,35.59375,36.5625,36.5625,6092600.0,98459495842.5,,,,,,,,,,,,,,,,,,
1998-02-25,JNJ.N,36.8125,37.34375,36.78125,37.21875,37.21875,4359800.0,99974257317.0,,,,,,,,,,,,,,,,,,
1998-02-26,JNJ.N,37.46875,37.625,36.96875,37.1875,37.1875,4146000.0,100142564147.5,,,,,,,,,,,,,,,,,,
1998-02-27,JNJ.N,37.25,37.75,37.25,37.75,37.75,3734200.0,101489018791.5,,,,,,,,,,,,,,,,,,
1998-03-02,JNJ.N,37.59375,37.78125,37.25,37.4375,37.4375,2535600.0,100647484639.0,,,,,,,,,,,,,,,,,,
1998-03-03,JNJ.N,37.4375,37.625,37.09375,37.21875,37.21875,3419600.0,100310870978.0,,,,,,,,,,,,,,,,,,
1998-03-04,JNJ.N,37.03125,37.09375,36.15625,36.59375,36.59375,3176400.0,98711956088.25,,,,,,,,,,,,,,,,,,
1998-03-05,JNJ.N,36.5,36.625,35.875,36.125,36.125,4126600.0,97281348029.0,,,,,,,,,,,,,,,,,,
1998-03-06,JNJ.N,36.1875,37.0,36.125,37.0,37.0,4053800.0,99469336825.5,,,,,,,,,,,,,,,,,,
1998-03-09,JNJ.N,37.0,37.21875,36.8125,37.09375,37.09375,2857800.0,99890103901.75,,,,,,,,,,,,,,,,,,
