Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,JPM.N,36.208333,36.875,35.854167,36.875,36.875,2569499.0,19651998922.5,,,,,,,,,,,,,,,,,,
1998-01-05,JPM.N,37.291667,37.5625,37.0,37.479167,37.479167,6843599.0,19973980825.75,,,,,,,,,,,,,,,,,,
1998-01-06,JPM.N,36.666667,36.666667,35.520833,35.729167,35.729167,10463399.0,19041343588.7499,,,,,,,,,,,,,,,,,,
1998-01-07,JPM.N,35.583333,36.0625,34.770833,36.0625,36.0625,8933099.0,19252297249.5,,,,,,,,,,,,,,,,,,
1998-01-08,JPM.N,35.75,35.875,34.6875,34.729167,34.729167,8176799.0,18508408024.7499,,,,,,,,,,,,,,,,,,
1998-01-09,JPM.N,34.8125,35.229167,33.75,33.958333,33.958333,9292799.0,18097603527.4999,,,,,,,,,,,,,,,,,,
1998-01-12,JPM.N,32.854167,34.166667,32.854167,34.166667,34.166667,9451799.0,18230837418.4999,,,,,,,,,,,,,,,,,,
1998-01-13,JPM.N,34.5,34.791667,34.229167,34.541667,34.541667,6387599.0,18408482606.4999,,,,,,,,,,,,,,,,,,
1998-01-14,JPM.N,35.354167,35.416667,34.520833,34.791667,34.791667,9460499.0,18541716497.5,,,,,,,,,,,,,,,,,,
1998-01-15,JPM.N,34.666667,34.770833,34.4375,34.479167,34.479167,6485399.0,18341865661.0,,,,,,,,,,,,,,,,,,
1998-01-16,JPM.N,34.708333,35.354167,34.666667,35.166667,35.166667,5461199.0,18741567334.0,,,,,,,,,,,,,,,,,,
1998-01-20,JPM.N,35.416667,35.958333,34.666667,35.6875,35.6875,7277399.0,19041343588.7499,,,,,,,,,,,,,,,,,,
1998-01-21,JPM.N,35.666667,35.916667,34.708333,35.0625,35.0625,7340099.0,18674950388.5,,,,,,,,,,,,,,,,,,
1998-01-22,JPM.N,34.6875,35.270833,34.6875,34.75,34.75,6549899.0,18519510849.0,,,,,,,,,,,,,,,,,,
1998-01-23,JPM.N,34.75,34.833333,34.0625,34.4375,34.4375,7947299.0,18341865661.0,,,,,,,,,,,,,,,,,,
1998-01-26,JPM.N,34.333333,34.833333,34.041667,34.041667,34.041667,6900599.0,18142014824.5,,,,,,,,,,,,,,,,,,
1998-01-27,JPM.N,34.3125,35.145833,34.145833,35.104167,35.104167,6680999.0,18697156037.0,,,,,,,,,,,,,,,,,,
1998-01-28,JPM.N,35.291667,35.5,34.75,35.354167,35.354167,7364399.0,18830389928.0,,,,,,,,,,,,,,,,,,
1998-01-29,JPM.N,35.458333,36.125,35.416667,35.604167,35.604167,6193499.0,18974726643.25,,,,,,,,,,,,,,,,,,
1998-01-30,JPM.N,36.0,36.0,35.604167,35.729167,35.729167,4771199.0,19041343588.7499,,,,,,,,,,,,,,,,,,
1998-02-02,JPM.N,36.166667,37.1875,36.145833,37.0625,37.0625,6898799.0,19751924340.75,,,,,,,,,,,,,,,,,,
1998-02-03,JPM.N,37.166667,38.083333,37.041667,38.0625,38.0625,6399899.0,20295962729.0,,,,,,,,,,,,,,,,,,
1998-02-04,JPM.N,37.979167,38.3125,37.583333,38.145833,38.145833,5205899.0,20340374026.0,,,,,,,,,,,,,,,,,,
1998-02-05,JPM.N,38.333333,38.583333,37.708333,38.1875,38.1875,5491799.0,20351476850.2499,,,,,,,,,,,,,,,,,,
1998-02-06,JPM.N,38.416667,39.333333,38.375,38.979167,38.979167,6544199.0,20773384171.75,,,,,,,,,,,,,,,,,,
1998-02-09,JPM.N,39.1875,40.333333,39.125,40.25,40.25,7523999.0,21495067748.0,,,,,,,,,,,,,,,,,,
