Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-30,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-02,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-03,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-04,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-05,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-06,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-09,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-10,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-11,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-12,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-13,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-17,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-18,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-19,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-20,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-23,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-24,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-25,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-26,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-27,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-02,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-03,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-04,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-05,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-06,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-09,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-10,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-11,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-12,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-13,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-16,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-17,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-18,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-19,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-20,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-23,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-24,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-25,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-26,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-27,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-30,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-31,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-01,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-02,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-03,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-06,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-07,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-08,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-09,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-13,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-14,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-15,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-16,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-17,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-20,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-21,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-22,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-23,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-24,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-27,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-28,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-29,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-30,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-01,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-04,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-05,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-06,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-07,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-08,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-11,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-12,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-13,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-14,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-15,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-18,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-19,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-20,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-21,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-22,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-26,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-27,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-28,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-29,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-01,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-02,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-03,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-04,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-05,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-08,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-09,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-10,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-11,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-12,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-15,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-16,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-17,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-18,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-19,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-22,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-23,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-24,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-25,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-26,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-29,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-30,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-01,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-02,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-06,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-07,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-08,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-09,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-07-10,KDP.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
