Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-30,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-02,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-03,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-04,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-05,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-06,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-09,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-10,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-11,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-12,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-13,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-17,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-18,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-19,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-20,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-23,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-24,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-25,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-26,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-27,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-02,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-03,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-04,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-05,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-06,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-09,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-10,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-11,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-12,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-13,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-16,KHC.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
