Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-30,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-02,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-03,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-04,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-05,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-06,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-09,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-10,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-11,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-12,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-13,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-17,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-18,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-19,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-20,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-23,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-24,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-25,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-26,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-27,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-02,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-03,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-04,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-05,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-06,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-09,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-10,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-11,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-12,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-13,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-16,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-17,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-18,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-19,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-20,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-23,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-24,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-25,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-26,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-27,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-30,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-31,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-01,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-02,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-03,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-06,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-07,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-08,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-09,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-13,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-14,KKR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
