Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,KMB.N,46.290707,46.997435,46.290707,46.938541,46.938541,799900.0,27266924598.3125,,,,,,,,,,,,,,,,,,
1998-01-05,KMB.N,46.702965,47.174117,45.583978,46.172919,46.172919,1479700.0,26822169241.0,,,,,,,,,,,,,,,,,,
1998-01-06,KMB.N,46.172919,46.172919,45.230614,45.46619,45.46619,2166800.0,26411625834.25,,,,,,,,,,,,,,,,,,
1998-01-07,KMB.N,44.995038,46.644071,44.995038,46.408495,46.408495,1246400.0,26959017043.25,,,,,,,,,,,,,,,,,,
1998-01-08,KMB.N,46.114025,46.231813,45.701767,45.760661,45.760661,1045100.0,26582685587.0625,,,,,,,,,,,,,,,,,,
1998-01-09,KMB.N,45.289508,45.701767,44.28831,44.759462,44.759462,1050900.0,26001082427.4999,,,,,,,,,,,,,,,,,,
1998-01-12,KMB.N,44.052734,47.350799,44.052734,47.115223,47.115223,1339400.0,27369560450.0,,,,,,,,,,,,,,,,,,
1998-01-13,KMB.N,48.587574,49.294302,48.23421,49.294302,49.294302,2248500.0,28601190670.25,,,,,,,,,,,,,,,,,,
1998-01-14,KMB.N,49.11762,49.11762,48.116422,48.293104,48.293104,1842700.0,28053799461.25,,,,,,,,,,,,,,,,,,
1998-01-15,KMB.N,48.116422,48.351998,47.291905,47.821952,47.821952,1091900.0,27780103856.75,,,,,,,,,,,,,,,,,,
1998-01-16,KMB.N,48.469786,48.940938,48.116422,48.940938,48.940938,2352500.0,28430130917.4375,,,,,,,,,,,,,,,,,,
1998-01-20,KMB.N,48.940938,49.942137,48.940938,49.824349,49.824349,1070100.0,28943310175.875,,,,,,,,,,,,,,,,,,
1998-01-21,KMB.N,49.706561,50.059925,48.52868,50.001031,50.001031,1622800.0,29045946027.5625,,,,,,,,,,,,,,,,,,
1998-01-22,KMB.N,50.001031,51.120017,49.942137,50.118819,50.118819,2875700.0,29114369928.6875,,,,,,,,,,,,,,,,,,
