Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,KMX.N,4.53125,4.78125,4.4375,4.78125,4.78125,311200.0,,,,,,,,,,,,,,,,,,,
1998-01-05,KMX.N,4.90625,4.90625,4.625,4.6875,4.6875,158000.0,,,,,,,,,,,,,,,,,,,
1998-01-06,KMX.N,4.6875,4.71875,4.59375,4.625,4.625,104200.0,,,,,,,,,,,,,,,,,,,
1998-01-07,KMX.N,4.5,4.5,4.03125,4.25,4.25,290000.0,,,,,,,,,,,,,,,,,,,
1998-01-08,KMX.N,4.21875,4.21875,3.875,3.90625,3.90625,359400.0,,,,,,,,,,,,,,,,,,,
1998-01-09,KMX.N,3.9375,3.96875,3.65625,3.78125,3.78125,220000.0,,,,,,,,,,,,,,,,,,,
1998-01-12,KMX.N,3.84375,4.0,3.8125,3.96875,3.96875,160400.0,,,,,,,,,,,,,,,,,,,
1998-01-13,KMX.N,4.0,4.0,3.8125,3.90625,3.90625,139000.0,,,,,,,,,,,,,,,,,,,
1998-01-14,KMX.N,3.9375,4.0,3.75,3.84375,3.84375,267200.0,,,,,,,,,,,,,,,,,,,
1998-01-15,KMX.N,3.875,3.875,3.65625,3.6875,3.6875,325200.0,,,,,,,,,,,,,,,,,,,
1998-01-16,KMX.N,3.75,3.75,3.6875,3.75,3.75,579800.0,,,,,,,,,,,,,,,,,,,
1998-01-20,KMX.N,3.75,3.78125,3.6875,3.6875,3.6875,211000.0,,,,,,,,,,,,,,,,,,,
1998-01-21,KMX.N,3.6875,3.6875,3.5625,3.5625,3.5625,89600.0,,,,,,,,,,,,,,,,,,,
1998-01-22,KMX.N,3.53125,3.53125,3.40625,3.46875,3.46875,247400.0,,,,,,,,,,,,,,,,,,,
1998-01-23,KMX.N,3.40625,3.5,3.25,3.40625,3.40625,1790200.0,,,,,,,,,,,,,,,,,,,
1998-01-26,KMX.N,3.46875,3.59375,3.3125,3.5,3.5,132800.0,,,,,,,,,,,,,,,,,,,
1998-01-27,KMX.N,3.5,3.90625,3.4375,3.875,3.875,206400.0,,,,,,,,,,,,,,,,,,,
1998-01-28,KMX.N,3.90625,4.125,3.84375,4.0,4.0,366000.0,,,,,,,,,,,,,,,,,,,
1998-01-29,KMX.N,4.0625,4.0625,3.96875,3.96875,3.96875,348400.0,,,,,,,,,,,,,,,,,,,
1998-01-30,KMX.N,4.03125,4.03125,3.75,3.84375,3.84375,326800.0,,,,,,,,,,,,,,,,,,,
1998-02-02,KMX.N,4.0625,4.0625,3.875,3.9375,3.9375,238400.0,,,,,,,,,,,,,,,,,,,
1998-02-03,KMX.N,3.96875,4.125,3.90625,4.0,4.0,416800.0,,,,,,,,,,,,,,,,,,,
1998-02-04,KMX.N,4.0,4.03125,3.96875,4.0,4.0,820800.0,,,,,,,,,,,,,,,,,,,
1998-02-05,KMX.N,4.375,4.9375,4.25,4.5625,4.5625,795400.0,,,,,,,,,,,,,,,,,,,
1998-02-06,KMX.N,4.625,4.8125,4.40625,4.46875,4.46875,247800.0,,,,,,,,,,,,,,,,,,,
1998-02-09,KMX.N,4.625,4.875,4.59375,4.8125,4.8125,317800.0,,,,,,,,,,,,,,,,,,,
1998-02-10,KMX.N,4.875,5.0,4.875,4.90625,4.90625,393800.0,,,,,,,,,,,,,,,,,,,
1998-02-11,KMX.N,4.90625,4.90625,4.65625,4.6875,4.6875,361200.0,,,,,,,,,,,,,,,,,,,
1998-02-12,KMX.N,4.6875,4.78125,4.59375,4.78125,4.78125,115600.0,,,,,,,,,,,,,,,,,,,
1998-02-13,KMX.N,4.78125,4.78125,4.65625,4.6875,4.6875,80400.0,,,,,,,,,,,,,,,,,,,
1998-02-17,KMX.N,4.6875,4.6875,4.5625,4.59375,4.59375,56200.0,,,,,,,,,,,,,,,,,,,
1998-02-18,KMX.N,4.59375,4.625,4.5,4.5,4.5,71800.0,,,,,,,,,,,,,,,,,,,
1998-02-19,KMX.N,4.5,4.59375,4.5,4.5625,4.5625,123800.0,,,,,,,,,,,,,,,,,,,
1998-02-20,KMX.N,4.5,4.71875,4.5,4.59375,4.59375,108800.0,,,,,,,,,,,,,,,,,,,
1998-02-23,KMX.N,4.59375,4.65625,4.5,4.5,4.5,56600.0,,,,,,,,,,,,,,,,,,,
1998-02-24,KMX.N,4.53125,4.5625,4.4375,4.5625,4.5625,49200.0,,,,,,,,,,,,,,,,,,,
1998-02-25,KMX.N,4.6875,4.71875,4.53125,4.59375,4.59375,134200.0,,,,,,,,,,,,,,,,,,,
1998-02-26,KMX.N,4.59375,4.65625,4.5,4.5,4.5,169000.0,,,,,,,,,,,,,,,,,,,
1998-02-27,KMX.N,4.5,4.625,4.5,4.625,4.625,79800.0,,,,,,,,,,,,,,,,,,,
1998-03-02,KMX.N,4.875,5.0,4.875,4.9375,4.9375,863200.0,,,,,,,,,,,,,,,,,,,
1998-03-03,KMX.N,4.9375,5.0,4.875,4.9375,4.9375,132800.0,,,,,,,,,,,,,,,,,,,
1998-03-04,KMX.N,4.96875,5.40625,4.9375,5.1875,5.1875,834200.0,,,,,,,,,,,,,,,,,,,
1998-03-05,KMX.N,5.1875,5.1875,4.96875,4.96875,4.96875,237800.0,,,,,,,,,,,,,,,,,,,
1998-03-06,KMX.N,5.0,5.03125,4.96875,5.03125,5.03125,235600.0,,,,,,,,,,,,,,,,,,,
1998-03-09,KMX.N,4.96875,5.0,4.875,5.0,5.0,192200.0,,,,,,,,,,,,,,,,,,,
1998-03-10,KMX.N,5.0625,5.4375,5.0625,5.4375,5.4375,453000.0,,,,,,,,,,,,,,,,,,,
1998-03-11,KMX.N,5.4375,5.4375,5.28125,5.375,5.375,325400.0,,,,,,,,,,,,,,,,,,,
1998-03-12,KMX.N,5.46875,5.46875,5.3125,5.40625,5.40625,233000.0,,,,,,,,,,,,,,,,,,,
1998-03-13,KMX.N,5.4375,5.5625,5.375,5.5625,5.5625,1886600.0,,,,,,,,,,,,,,,,,,,
1998-03-16,KMX.N,5.75,5.78125,5.71875,5.75,5.75,258600.0,,,,,,,,,,,,,,,,,,,
1998-03-17,KMX.N,5.78125,5.9375,5.6875,5.84375,5.84375,350800.0,,,,,,,,,,,,,,,,,,,
1998-03-18,KMX.N,6.03125,6.0625,5.8125,5.8125,5.8125,517000.0,,,,,,,,,,,,,,,,,,,
1998-03-19,KMX.N,5.875,5.90625,5.75,5.875,5.875,67000.0,,,,,,,,,,,,,,,,,,,
1998-03-20,KMX.N,5.90625,5.90625,5.78125,5.78125,5.78125,74200.0,,,,,,,,,,,,,,,,,,,
1998-03-23,KMX.N,5.84375,5.9375,5.75,5.90625,5.90625,258600.0,,,,,,,,,,,,,,,,,,,
1998-03-24,KMX.N,5.9375,5.9375,5.8125,5.8125,5.8125,254400.0,,,,,,,,,,,,,,,,,,,
1998-03-25,KMX.N,5.8125,5.84375,5.78125,5.84375,5.84375,228000.0,,,,,,,,,,,,,,,,,,,
1998-03-26,KMX.N,5.75,5.875,5.75,5.78125,5.78125,959600.0,,,,,,,,,,,,,,,,,,,
1998-03-27,KMX.N,5.78125,5.8125,5.6875,5.6875,5.6875,358600.0,,,,,,,,,,,,,,,,,,,
1998-03-30,KMX.N,5.625,5.71875,5.625,5.6875,5.6875,180200.0,,,,,,,,,,,,,,,,,,,
1998-03-31,KMX.N,5.78125,5.9375,5.71875,5.78125,5.78125,117400.0,,,,,,,,,,,,,,,,,,,
1998-04-01,KMX.N,5.8125,5.96875,5.75,5.96875,5.96875,136200.0,,,,,,,,,,,,,,,,,,,
1998-04-02,KMX.N,6.1875,6.1875,5.96875,6.03125,6.03125,405400.0,,,,,,,,,,,,,,,,,,,
