Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,KO.N,33.375,33.5,32.96875,33.46875,33.46875,4522600.0,165551506202.25,,,,,,,,,,,,,,,,,,
1998-01-05,KO.N,33.40625,33.4375,32.625,33.21875,33.21875,6331800.0,164314893644.25,,,,,,,,,,,,,,,,,,
1998-01-06,KO.N,32.9375,33.3125,32.90625,33.125,33.125,4568200.0,163542010795.5,,,,,,,,,,,,,,,,,,
1998-01-07,KO.N,32.90625,33.09375,32.5625,33.09375,33.09375,4484800.0,163696587365.25,,,,,,,,,,,,,,,,,,
1998-01-08,KO.N,32.90625,33.5,32.90625,33.3125,33.3125,5451400.0,164778623353.5,,,,,,,,,,,,,,,,,,
1998-01-09,KO.N,33.21875,33.34375,32.03125,32.125,32.125,7653600.0,158595560563.5,,,,,,,,,,,,,,,,,,
1998-01-12,KO.N,31.25,33.0625,31.1875,33.0,33.0,7552200.0,163387434225.75,,,,,,,,,,,,,,,,,,
1998-01-13,KO.N,33.0,33.09375,32.34375,32.625,32.625,5460600.0,161687091958.5,,,,,,,,,,,,,,,,,,
1998-01-14,KO.N,32.625,32.625,32.125,32.3125,32.3125,4705400.0,159832173121.5,,,,,,,,,,,,,,,,,,
1998-01-15,KO.N,32.21875,32.21875,31.78125,31.84375,31.84375,3490000.0,157668101145.0,,,,,,,,,,,,,,,,,,
1998-01-16,KO.N,32.25,32.59375,32.15625,32.5,32.5,6999200.0,160759632540.0,,,,,,,,,,,,,,,,,,
1998-01-20,KO.N,32.625,32.96875,32.53125,32.96875,32.96875,3540800.0,163078281086.25,,,,,,,,,,,,,,,,,,
1998-01-21,KO.N,32.75,32.96875,32.5,32.75,32.75,3788600.0,161996245098.0,,,,,,,,,,,,,,,,,,
1998-01-22,KO.N,32.34375,33.0,32.34375,32.71875,32.71875,4603400.0,161841668528.25,,,,,,,,,,,,,,,,,,
1998-01-23,KO.N,32.65625,32.8125,31.8125,31.90625,31.90625,4242600.0,157822677714.75,,,,,,,,,,,,,,,,,,
1998-01-26,KO.N,32.15625,32.15625,31.21875,31.53125,31.53125,4205400.0,155967758877.75,,,,,,,,,,,,,,,,,,
1998-01-27,KO.N,31.5625,32.0625,31.40625,31.59375,31.59375,4993000.0,156431488587.0,,,,,,,,,,,,,,,,,,
1998-01-28,KO.N,31.875,32.34375,31.1875,32.09375,32.09375,8866400.0,158595560563.5,5013999999.99998,1.47209416221773,4941260000.0,0.17753,0.16294,817000000.0,1997-12-31,4701000000.0,4939999999.99996,,,1998-01-28,158583563125.0,,21.801424680368495,0.045868562016521286,,
1998-01-29,KO.N,32.125,32.78125,32.09375,32.375,32.375,5413600.0,160141326261.0,5013999999.99998,1.47209416221773,4941260000.0,0.17753,0.16294,817000000.0,1997-12-31,4701000000.0,4939999999.99996,,,1998-01-28,159973292500.0,,21.99247903491895,0.04547008995267119,,
1998-01-30,KO.N,32.375,32.46875,32.25,32.375,32.375,4266200.0,160141326261.0,5013999999.99998,1.47209416221773,4941260000.0,0.17753,0.16294,817000000.0,1997-12-31,4701000000.0,4939999999.99996,,,1998-01-28,159973292500.0,,21.99247903491895,0.04547008995267119,,
1998-02-02,KO.N,32.71875,33.5625,32.625,33.40625,33.40625,8112200.0,164933199923.25,5013999999.99998,1.47209416221773,4941260000.0,0.17753,0.16294,817000000.0,1997-12-31,4701000000.0,4939999999.99996,,,1998-01-28,165068966875.0,,22.693011668270614,0.044066429551887144,,
1998-02-03,KO.N,33.34375,33.8125,33.25,33.8125,33.8125,6439400.0,166942695330.0,5013999999.99998,1.47209416221773,4941260000.0,0.17753,0.16294,817000000.0,1997-12-31,4701000000.0,4939999999.99996,,,1998-01-28,167076353750.0,,22.968979069287936,0.04353698076799201,,
1998-02-04,KO.N,33.40625,33.71875,33.375,33.53125,33.53125,5316800.0,165860659341.75,5013999999.99998,1.47209416221773,4941260000.0,0.17753,0.16294,817000000.0,1997-12-31,4701000000.0,4939999999.99996,,,1998-01-28,165686624375.0,,22.777924714737484,0.04390215581637218,,
