Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-30,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-02,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-03,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-04,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-05,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-06,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-09,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-10,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-11,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-12,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-13,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-17,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-18,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-19,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-20,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-23,KVUE.N,,,,,,0,,,,,,,,,,,,,,,,,,,
