Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-05,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-06,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-07,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-08,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-09,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-12,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-13,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-14,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-15,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-16,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-20,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-21,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-22,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-23,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-26,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-27,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-28,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-29,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-30,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-02,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-03,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-04,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-05,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-06,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-09,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-10,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-11,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-12,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-13,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-17,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-18,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-19,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-20,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-23,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-24,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-25,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-26,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-27,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-02,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-03,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-04,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-05,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-06,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-09,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-10,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-11,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-12,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-13,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-16,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-17,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-18,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-19,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-20,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-23,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-24,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-25,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-26,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-27,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-30,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-31,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-01,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-02,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-03,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-06,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-07,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-08,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-09,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-13,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-14,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-15,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-16,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-17,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-20,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-21,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-22,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-23,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-24,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-27,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-28,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-29,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-30,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-01,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-04,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-05,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-06,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-07,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-08,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-11,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-12,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-13,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-14,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-15,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-18,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-19,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-20,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-21,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-22,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-26,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-27,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-28,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-29,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-01,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-02,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-03,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-04,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-05,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-08,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-09,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-10,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-11,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-12,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-15,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-16,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-17,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-18,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-19,LKQ.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
