Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,LLY.N,69.375,69.8125,67.5,68.9375,68.9375,1093800.0,76473391093.125,,,,,,,,,,,,,,,,,,
1998-01-05,LLY.N,70.0,71.9375,69.3125,71.9375,71.9375,2722800.0,79801335583.125,,,,,,,,,,,,,,,,,,
1998-01-06,LLY.N,71.6875,72.3125,70.0,70.6875,70.6875,2002000.0,78414692045.625,,,,,,,,,,,,,,,,,,
1998-01-07,LLY.N,69.75,70.125,68.4375,69.3125,69.3125,1531500.0,76889384154.375,,,,,,,,,,,,,,,,,,
1998-01-08,LLY.N,68.5625,69.6875,68.0625,68.3125,68.3125,1570500.0,75988065855.0,,,,,,,,,,,,,,,,,,
1998-01-09,LLY.N,67.9375,67.9375,64.375,66.4375,66.4375,1833100.0,73908100548.75,,,,,,,,,,,,,,,,,,
1998-01-12,LLY.N,64.75,69.0,64.5625,68.0,68.0,2499000.0,75710737147.5,,,,,,,,,,,,,,,,,,
1998-01-13,LLY.N,68.1875,68.5625,66.625,67.9375,67.9375,2063900.0,75364076263.125,,,,,,,,,,,,,,,,,,
1998-01-14,LLY.N,68.0,68.3125,66.625,68.3125,68.3125,1456600.0,75849401501.25,,,,,,,,,,,,,,,,,,
1998-01-15,LLY.N,68.125,68.1875,66.625,67.25,67.25,1261600.0,74324093610.0,,,,,,,,,,,,,,,,,,
1998-01-16,LLY.N,67.3125,67.875,66.25,67.0,67.0,2522600.0,74324093610.0,,,,,,,,,,,,,,,,,,
1998-01-20,LLY.N,68.625,70.25,68.1875,69.8125,69.8125,2365100.0,77236045038.75,,,,,,,,,,,,,,,,,,
1998-01-21,LLY.N,69.5625,69.5625,68.0,69.25,69.25,1582200.0,76889384154.375,,,,,,,,,,,,,,,,,,
1998-01-22,LLY.N,68.5,69.0625,67.875,67.875,67.875,1713900.0,75294744086.25,,,,,,,,,,,,,,,,,,
1998-01-23,LLY.N,68.0,68.375,66.375,67.0,67.0,2048200.0,74185429256.25,,,,,,,,,,,,,,,,,,
1998-01-26,LLY.N,67.0,67.75,66.3125,66.3125,66.3125,1150000.0,73561439664.375,,,,,,,,,,,,,,,,,,
1998-01-27,LLY.N,66.375,67.5,66.375,66.5,66.5,2196000.0,73630771841.25,,,,,,,,,,,,,,,,,,
1998-01-28,LLY.N,67.0,68.4375,67.0,67.875,67.875,2087400.0,75572072793.75,,,,,,,,,,,,,,,,,,
1998-01-29,LLY.N,67.5,68.75,67.125,67.9375,67.9375,2806300.0,75364076263.125,1217453999.99996,4.32346257223394,1110521930.0,0.46559,2.34744,456900000.0,1997-12-31,1885900000.0,1101189999.99996,,,1998-01-29,75446083619.375,,15.713678299497012,0.06363882351034318,,
1998-01-30,LLY.N,68.5,68.5,67.0625,67.5,67.5,1824800.0,75017415378.75,1217453999.99996,4.32346257223394,1110521930.0,0.46559,2.34744,456900000.0,1997-12-31,1885900000.0,1101189999.99996,,,1998-01-29,74960230275.0,,15.612486258929874,0.06405129736642874,,
