Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,LMT.N,49.625,49.8125,48.75,49.0,49.0,685400.0,19049168950.0,,,,,,,,,,,,,,,,,,
1998-01-05,LMT.N,49.125,49.6875,49.125,49.34375,49.34375,1097400.0,19182804701.5625,,,,,,,,,,,,,,,,,,
1998-01-06,LMT.N,49.4375,49.65625,49.25,49.53125,49.53125,1005800.0,19243548225.0,,,,,,,,,,,,,,,,,,
1998-01-07,LMT.N,49.46875,52.375,49.40625,52.0625,52.0625,2090200.0,20239742009.375,,,,,,,,,,,,,,,,,,
1998-01-08,LMT.N,51.8125,51.8125,50.59375,50.8125,50.8125,2310400.0,19753793821.875,,,,,,,,,,,,,,,,,,
1998-01-09,LMT.N,50.84375,50.875,49.875,49.9375,49.9375,1507400.0,19413630090.625,,,,,,,,,,,,,,,,,,
1998-01-12,LMT.N,49.8125,50.375,49.71875,50.25,50.25,1409600.0,19535117137.5,,,,,,,,,,,,,,,,,,
1998-01-13,LMT.N,50.25,50.25,49.9375,50.15625,50.15625,1301600.0,19498671023.4375,,,,,,,,,,,,,,,,,,
1998-01-14,LMT.N,50.125,50.21875,49.71875,49.875,49.875,624600.0,19425778795.3125,,,,,,,,,,,,,,,,,,
1998-01-15,LMT.N,49.9375,50.0625,49.59375,49.71875,49.71875,901400.0,19328589157.8125,,,,,,,,,,,,,,,,,,
1998-01-16,LMT.N,49.96875,50.0,49.71875,49.84375,49.84375,851000.0,19377183976.5625,,,,,,,,,,,,,,,,,,
1998-01-20,LMT.N,50.125,50.125,49.625,50.0625,50.0625,1060000.0,19462224909.375,183799999.99996,27.7366255144033,194400000.0,-3.77754,-7.89445,-1463000000.0,1997-12-31,7573000000.0,372199999.99996,,,1998-01-20,9732150000.0,,1.8049239614243318,0.554039960337644,,
1998-01-21,LMT.N,50.125,51.0,50.03125,50.96875,50.96875,1285400.0,19814537345.3125,183799999.99996,27.7366255144033,194400000.0,-3.77754,-7.89445,-1463000000.0,1997-12-31,7573000000.0,372199999.99996,,,1998-01-20,9908325000.0,,1.837597366468842,0.5441888512942401,,
