Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-30,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-02,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-03,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-04,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-05,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-06,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-09,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-10,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-11,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-12,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-13,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-17,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-18,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-19,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-20,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-23,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-24,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-25,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-26,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-27,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-02,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-03,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-04,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-05,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-06,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-09,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-10,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-11,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-12,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-13,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-16,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-17,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-18,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-19,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-20,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-23,LW.N,,,,,,0,,,,,,,,,,,,,,,,,,,
