Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-05,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-06,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-07,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-08,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-09,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-12,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-13,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-14,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-15,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-16,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-20,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-21,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-22,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-23,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-26,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-27,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-28,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-29,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-30,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-02,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-03,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-04,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-05,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-06,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-09,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-10,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-11,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-12,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-13,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-17,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-18,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-19,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-20,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-23,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-24,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-25,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-26,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-27,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-02,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-03,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-04,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-05,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-06,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-09,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-10,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-11,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-12,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-13,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-16,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-17,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-18,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-19,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-20,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-23,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-24,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-25,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-26,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-27,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-30,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-31,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-01,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-02,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-03,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-06,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-07,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-08,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-09,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-13,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-14,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-15,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-16,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-17,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-20,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-21,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-22,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-23,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-24,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-27,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-28,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-29,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-30,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-01,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-04,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-05,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-06,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-07,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-08,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-11,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-12,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-13,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-14,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-15,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-18,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-19,LYV.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
