Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-05,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-06,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-07,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-08,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-09,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-12,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-13,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-14,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-15,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-16,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-20,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-21,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-22,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-23,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-26,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-27,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-28,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-29,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-30,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-02,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-03,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-04,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-05,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-06,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-09,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-10,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-11,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-12,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-13,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-17,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-18,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-19,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-20,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-23,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-24,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-25,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-26,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-27,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-02,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-03,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-04,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-05,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-06,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-09,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-10,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-11,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-12,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-13,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-16,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-17,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-18,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-19,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-20,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-23,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-24,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-25,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-26,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-27,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-30,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-31,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-01,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-02,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-03,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-06,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-07,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-08,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-09,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-13,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-14,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-15,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-16,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-17,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-20,MA.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
