Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,MAA.N,28.6875,29.0625,28.6875,29.0,29.0,15600.0,248791000.0,,,,,,,,,,,,,,,,,,
1998-01-05,MAA.N,29.125,29.5,29.125,29.4375,29.4375,62800.0,252544312.5,,,,,,,,,,,,,,,,,,
1998-01-06,MAA.N,29.4375,29.5625,29.375,29.5,29.5,42900.0,253080500.0,,,,,,,,,,,,,,,,,,
1998-01-07,MAA.N,29.5625,29.625,29.4375,29.5625,29.5625,22300.0,253616687.5,,,,,,,,,,,,,,,,,,
1998-01-08,MAA.N,29.625,29.625,29.4375,29.5625,29.5625,19500.0,253616687.5,,,,,,,,,,,,,,,,,,
1998-01-09,MAA.N,29.5,29.5,29.3125,29.375,29.375,29800.0,252008125.0,,,,,,,,,,,,,,,,,,
1998-01-12,MAA.N,29.1875,29.375,29.0625,29.3125,29.3125,28000.0,251471937.5,,,,,,,,,,,,,,,,,,
1998-01-13,MAA.N,29.4375,29.5625,29.25,29.375,29.375,18900.0,252008125.0,,,,,,,,,,,,,,,,,,
1998-01-14,MAA.N,29.3125,29.6875,29.3125,29.625,29.625,14900.0,254152875.0,,,,,,,,,,,,,,,,,,
1998-01-15,MAA.N,29.625,29.75,29.5625,29.75,29.75,95400.0,255225250.0,,,,,,,,,,,,,,,,,,
1998-01-16,MAA.N,29.75,29.8125,29.625,29.8125,29.8125,38300.0,255761437.5,,,,,,,,,,,,,,,,,,
1998-01-20,MAA.N,29.8125,29.875,29.75,29.75,29.75,40900.0,255225250.0,,,,,,,,,,,,,,,,,,
1998-01-21,MAA.N,29.1875,29.375,29.0625,29.3125,29.3125,21000.0,251471937.5,,,,,,,,,,,,,,,,,,
1998-01-22,MAA.N,29.25,29.25,29.125,29.25,29.25,20500.0,250935750.0,,,,,,,,,,,,,,,,,,
1998-01-23,MAA.N,29.3125,29.375,29.0625,29.125,29.125,22400.0,249863375.0,,,,,,,,,,,,,,,,,,
1998-01-26,MAA.N,29.0625,29.1875,28.5,28.8125,28.8125,31000.0,247182437.5,,,,,,,,,,,,,,,,,,
1998-01-27,MAA.N,28.8125,28.9375,28.5625,28.8125,28.8125,32100.0,247182437.5,,,,,,,,,,,,,,,,,,
1998-01-28,MAA.N,28.9375,29.0,28.8125,28.875,28.875,48700.0,247718625.0,,,,,,,,,,,,,,,,,,
1998-01-29,MAA.N,28.9375,29.375,28.9375,29.0,29.0,18900.0,247718625.0,,,,,,,,,,,,,,,,,,
1998-01-30,MAA.N,29.0625,29.25,28.875,28.9375,28.9375,23000.0,248254812.5,,,,,,,,,,,,,,,,,,
1998-02-02,MAA.N,29.1875,29.1875,28.9375,29.0,29.0,31500.0,248791000.0,,,,,,,,,,,,,,,,,,
1998-02-03,MAA.N,29.0625,29.0625,28.9375,29.0625,29.0625,13200.0,249327187.5,,,,,,,,,,,,,,,,,,
1998-02-04,MAA.N,29.0,29.0625,28.875,28.9375,28.9375,17400.0,248254812.5,,,,,,,,,,,,,,,,,,
1998-02-05,MAA.N,28.9375,29.0625,28.9375,29.0,29.0,21600.0,248254812.5,,,,,,,,,,,,,,,,,,
1998-02-06,MAA.N,29.0,29.0,28.75,28.9375,28.9375,34500.0,248254812.5,,,,,,,,,,,,,,,,,,
1998-02-09,MAA.N,28.875,28.9375,28.8125,28.9375,28.9375,26900.0,248254812.5,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,534650696.875,,1.1590086643724247,0.862806319520895,,
1998-02-10,MAA.N,28.8125,29.0,28.625,28.625,28.625,36500.0,245573875.0,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,528876931.25,,1.1464923721005842,0.872225602485097,,
1998-02-11,MAA.N,28.8125,29.0,28.8125,28.9375,28.9375,25700.0,248254812.5,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,534650696.875,,1.1590086643724247,0.862806319520895,,
1998-02-12,MAA.N,28.9375,28.9375,28.5,28.625,28.625,62700.0,245573875.0,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,528876931.25,,1.1464923721005842,0.872225602485097,,
1998-02-13,MAA.N,28.5,28.5,28.125,28.4375,28.4375,45800.0,243965312.5,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,525412671.875,,1.13898259673748,0.8779765405234602,,
1998-02-17,MAA.N,28.5,28.5,27.625,27.9375,27.9375,39600.0,238603437.5,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,516174646.875,,1.1189565291025352,0.8936897671994953,,
1998-02-18,MAA.N,27.9375,28.25,27.875,28.1875,28.1875,28000.0,241820562.5,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,520793659.375,,1.1289695629200076,0.8857634721467281,,
1998-02-19,MAA.N,28.0625,28.1875,27.9375,28.0625,28.0625,26100.0,240748187.5,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,518484153.125,,1.1239630460112715,0.8897089664547313,,
1998-02-20,MAA.N,28.0,28.1875,27.875,27.875,27.875,20600.0,239139625.0,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,515019893.75,,1.1164532706481671,0.8956935559151893,,
1998-02-23,MAA.N,28.0,28.0,27.875,28.0,28.0,38100.0,239675812.5,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,517329400.0,,1.1214597875569035,0.8916949239691392,,
1998-02-24,MAA.N,28.125,28.375,28.0,28.375,28.375,25200.0,243429125.0,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,524257918.75,,1.136479338283112,0.8799104095554501,,
1998-02-25,MAA.N,28.4375,28.6875,28.4375,28.625,28.625,20200.0,245573875.0,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,528876931.25,,1.1464923721005842,0.872225602485097,,
1998-02-26,MAA.N,28.5,28.875,28.5,28.625,28.625,17500.0,245573875.0,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,528876931.25,,1.1464923721005842,0.872225602485097,,
1998-02-27,MAA.N,28.5,28.6875,28.3125,28.3125,28.3125,23000.0,242892937.5,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,523103165.625,,1.1339760798287437,0.8818528166405616,,
1998-03-02,MAA.N,28.375,28.375,27.8125,28.0625,28.0625,25600.0,240748187.5,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,518484153.125,,1.1239630460112715,0.8897089664547313,,
1998-03-03,MAA.N,28.1875,28.3125,28.0,28.25,28.25,29800.0,242356750.0,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,521948412.5,,1.1314728213743757,0.8838038184472885,,
1998-03-04,MAA.N,28.125,28.1875,28.0,28.125,28.125,27100.0,241284375.0,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,519638906.25,,1.1264663044656396,0.8877318354181652,,
1998-03-05,MAA.N,27.9375,28.1875,27.9375,28.1875,28.1875,21700.0,241820562.5,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,520793659.375,,1.1289695629200076,0.8857634721467281,,
1998-03-06,MAA.N,28.0625,28.25,28.0625,28.25,28.25,50100.0,242356750.0,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,521948412.5,,1.1314728213743757,0.8838038184472885,,
1998-03-09,MAA.N,28.0625,28.125,28.0,28.125,28.125,9000.0,241284375.0,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,519638906.25,,1.1264663044656396,0.8877318354181652,,
1998-03-10,MAA.N,28.125,28.1875,28.0,28.0625,28.0625,26100.0,240212000.0,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,518484153.125,,1.1239630460112715,0.8897089664547313,,
1998-03-11,MAA.N,28.0,28.125,28.0,28.125,28.125,20600.0,241284375.0,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,519638906.25,,1.1264663044656396,0.8877318354181652,,
1998-03-12,MAA.N,28.0625,28.25,28.0625,28.125,28.125,62200.0,241284375.0,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,519638906.25,,1.1264663044656396,0.8877318354181652,,
1998-03-13,MAA.N,28.125,28.25,28.125,28.1875,28.1875,14100.0,241820562.5,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,520793659.375,,1.1289695629200076,0.8857634721467281,,
1998-03-16,MAA.N,28.125,28.1875,28.0625,28.0625,28.0625,24900.0,240748187.5,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,518484153.125,,1.1239630460112715,0.8897089664547313,,
1998-03-17,MAA.N,28.0625,28.1875,27.875,27.9375,27.9375,18100.0,240212000.0,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,516174646.875,,1.1189565291025352,0.8936897671994953,,
1998-03-18,MAA.N,27.8125,27.9375,27.5,27.625,27.625,90000.0,236994875.0,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,510400881.25,,1.106440236830695,0.9037993799506208,,
1998-03-19,MAA.N,27.6875,27.6875,27.5625,27.6875,27.6875,8500.0,237531062.5,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,511555634.375,,1.108943495285063,0.9017592007633732,,
1998-03-20,MAA.N,27.75,27.8125,27.6875,27.75,27.75,22900.0,238603437.5,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,512710387.5,,1.111446753739431,0.8997282115724649,,
1998-03-23,MAA.N,27.75,27.8125,27.5625,27.6875,27.6875,66400.0,237531062.5,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,511555634.375,,1.108943495285063,0.9017592007633732,,
1998-03-24,MAA.N,27.75,27.9375,27.6875,27.875,27.875,24400.0,239675812.5,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,515019893.75,,1.1164532706481671,0.8956935559151893,,
1998-03-25,MAA.N,27.9375,28.0,27.8125,28.0,28.0,23800.0,240212000.0,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,517329400.0,,1.1214597875569035,0.8916949239691392,,
1998-03-26,MAA.N,28.0,28.25,27.9375,28.25,28.25,32100.0,242356750.0,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,521948412.5,,1.1314728213743757,0.8838038184472885,,
1998-03-27,MAA.N,28.25,28.25,27.9375,28.125,28.125,28100.0,241284375.0,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,519638906.25,,1.1264663044656396,0.8877318354181652,,
1998-03-30,MAA.N,28.0625,28.25,28.0625,28.25,28.25,26900.0,242356750.0,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,521948412.5,,1.1314728213743757,0.8838038184472885,,
1998-03-31,MAA.N,28.25,28.25,28.0,28.1875,28.1875,56900.0,241820562.5,13656520.0,24.9674578711359,18476050.0,-0.28668,0.34467,-3915000.0,1997-12-31,42162000.0,13656520.0,,,1998-02-09,520793659.375,,1.1289695629200076,0.8857634721467281,,
