Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-05,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-06,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-07,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-08,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-09,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-12,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-13,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-14,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-15,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-16,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-20,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-21,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-22,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-23,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-26,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-27,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-28,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-29,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-30,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-02,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-03,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-04,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-05,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-06,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-09,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-10,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-11,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-12,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-13,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-17,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-18,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-19,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-20,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-23,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-24,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-25,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-26,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-27,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-02,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-03,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-04,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-05,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-06,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-09,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-10,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-11,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-12,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-13,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-16,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-17,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-18,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-19,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-20,MAR.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-23,MAR.OQ,16.782992,16.782992,16.782992,16.782992,16.782992,1010.0,,,,,,,,,,,,,,,,,,,
1998-03-24,MAR.OQ,17.01609,17.42401,17.01609,17.42401,17.42401,109990.0,,,,,,,,,,,,,,,,,,,
1998-03-25,MAR.OQ,17.657107,17.686244,17.482284,17.686244,17.686244,26284.0,,,,,,,,,,,,,,,,,,,
1998-03-26,MAR.OQ,17.569695,17.598832,17.394872,17.598832,17.598832,71776.0,,,,,,,,,,,,,,,,,,,
1998-03-27,MAR.OQ,17.540558,17.540558,16.957815,17.190912,17.190912,596454.0,,,,,,,,,,,,,,,,,,,
1998-03-30,MAR.OQ,16.957815,17.161775,16.666444,16.753855,16.753855,358883.0,,,,,,,,,,,,,,,,,,,
1998-03-31,MAR.OQ,16.841267,16.986952,16.549895,16.695581,16.695581,575426.0,,,,,,,,,,,,,,,,,,,
1998-04-01,MAR.OQ,16.316798,16.375072,15.734055,16.258524,16.258524,893872.0,,,,,,,,,,,,,,,,,,,
1998-04-02,MAR.OQ,16.258524,17.074364,16.258524,17.01609,17.01609,971108.0,,,,,,,,,,,,,,,,,,,
1998-04-03,MAR.OQ,16.957815,17.365735,16.666444,17.278324,17.278324,714936.0,,,,,,,,,,,,,,,,,,,
1998-04-06,MAR.OQ,17.22005,17.336598,16.782992,16.782992,16.782992,391435.0,,,,,,,,,,,,,,,,,,,
1998-04-07,MAR.OQ,16.899541,16.899541,16.083701,16.462484,16.462484,1424817.0,,,,,,,,,,,,,,,,,,,
1998-04-08,MAR.OQ,16.462484,16.549895,16.171113,16.40421,16.40421,515781.0,,,,,,,,,,,,,,,,,,,
1998-04-09,MAR.OQ,16.433347,16.81213,16.083701,16.083701,16.083701,617279.0,,,,,,,,,,,,,,,,,,,
1998-04-13,MAR.OQ,15.850604,16.141975,15.734055,16.141975,16.141975,1110415.0,,,,,,,,,,,,,,,,,,,
1998-04-14,MAR.OQ,16.20025,16.899541,16.20025,16.870404,16.870404,1254777.0,,,,,,,,,,,,,,,,,,,
1998-04-15,MAR.OQ,17.365735,17.365735,17.01609,17.336598,17.336598,527305.0,,,,,,,,,,,,,,,,,,,
1998-04-16,MAR.OQ,17.307461,17.307461,16.345935,16.40421,16.40421,375260.0,,,,,,,,,,,,,,,,,,,
1998-04-17,MAR.OQ,16.40421,16.462484,15.938015,16.025427,16.025427,704220.0,,,,,,,,,,,,,,,,,,,
1998-04-20,MAR.OQ,15.99629,16.025427,15.58837,15.58837,15.58837,514568.0,,,,,,,,,,,,,,,,,,,
1998-04-21,MAR.OQ,15.646644,15.821467,14.801667,14.801667,14.801667,748094.0,,,,,,,,,,,,,,,,,,,
1998-04-22,MAR.OQ,14.801667,15.151313,14.801667,14.947353,14.947353,1084939.0,,,,,,,,,,,,,,,,,,,
1998-04-23,MAR.OQ,14.859941,14.97649,14.685118,14.97649,14.97649,883762.0,,,,,,,,,,,,,,,,,,,
1998-04-24,MAR.OQ,14.918216,15.209587,14.918216,15.151313,15.151313,803696.0,4154032935.0,,,,,,,,,,,,,,,,,,
1998-04-27,MAR.OQ,15.063901,15.209587,14.918216,15.151313,15.151313,802281.0,4154032935.0,,,,,,,,,,,,,,,,,,
1998-04-28,MAR.OQ,15.18045,15.734055,15.151313,15.530095,15.530095,282658.0,4257883758.375,,,,,,,,,,,,,,,,,,
1998-04-29,MAR.OQ,15.646644,15.646644,15.326135,15.442684,15.442684,877292.0,4233918183.75,,,,,,,,,,,,,,,,,,
1998-04-30,MAR.OQ,15.413547,15.500958,14.918216,14.918216,14.918216,1860936.0,4090124736.0,,,,,,,,,,,,,,,,,,
1998-05-01,MAR.OQ,14.918216,15.617507,14.918216,15.559233,15.559233,847975.0,4265872283.25,,,,,,,,,,,,,,,,,,
1998-05-04,MAR.OQ,15.967153,16.054564,15.850604,15.967153,15.967153,417517.0,4377711631.5,,,,,,,,,,,,,,,,,,
1998-05-05,MAR.OQ,15.967153,15.967153,15.850604,15.967153,15.967153,207444.0,4377711631.5,,,,,,,,,,,,,,,,,,
1998-05-06,MAR.OQ,15.967153,16.083701,15.38441,15.38441,15.38441,696132.0,4217941134.0,,,,,,,,,,,,,,,,,,
1998-05-07,MAR.OQ,15.151313,15.326135,14.859941,14.918216,14.918216,799652.0,4090124736.0,,,,,,,,,,,,,,,,,,
1998-05-08,MAR.OQ,14.918216,15.267861,14.918216,15.034764,15.034764,523868.0,4122078835.5,,,,,,,,,,,,,,,,,,
1998-05-11,MAR.OQ,15.034764,15.063901,14.685118,14.743393,14.743393,981015.0,4042193586.75,,,,,,,,,,,,,,,,,,
1998-05-12,MAR.OQ,14.714256,14.830804,14.218924,14.218924,14.218924,1053600.0,3898400139.0,,,,,,,,,,,,,,,,,,
1998-05-13,MAR.OQ,14.335473,15.500958,14.335473,15.355273,15.355273,2035829.0,4209952609.125,,,,,,,,,,,,,,,,,,
1998-05-14,MAR.OQ,15.238724,15.326135,14.859941,15.267861,15.267861,313593.0,4185987034.5,,,,,,,,,,,,,,,,,,
1998-05-15,MAR.OQ,15.267861,15.617507,15.063901,15.471821,15.471821,350189.0,4241906708.625,,,,,,,,,,,,,,,,,,
1998-05-18,MAR.OQ,15.58837,15.850604,15.530095,15.617507,15.617507,500414.0,4281849333.0,,,,,,,,,,,,,,,,,,
1998-05-19,MAR.OQ,15.675781,15.850604,15.559233,15.58837,15.58837,404173.0,4273860808.125,,,,,,,,,,,,,,,,,,
1998-05-20,MAR.OQ,15.704918,16.520758,15.704918,16.491621,16.491621,553590.0,4521505079.25,,,,,,,,,,,,,,,,,,
1998-05-21,MAR.OQ,16.462484,16.462484,16.025427,16.025427,16.025427,529327.0,4393688681.25,,,,,,,,,,,,,,,,,,
1998-05-22,MAR.OQ,16.083701,16.083701,15.821467,15.821467,15.821467,466042.0,4337769007.125,,,,,,,,,,,,,,,,,,
1998-05-26,MAR.OQ,15.967153,16.025427,15.704918,15.704918,15.704918,976971.0,4305814907.625,,,,,,,,,,,,,,,,,,
1998-05-27,MAR.OQ,15.704918,16.229387,15.646644,16.054564,16.054564,487474.0,4401677206.125,,,,,,,,,,,,,,,,,,
1998-05-28,MAR.OQ,15.938015,16.171113,15.908878,16.054564,16.054564,492933.0,4401677206.125,,,,,,,,,,,,,,,,,,
1998-05-29,MAR.OQ,16.083701,16.316798,16.083701,16.20025,16.20025,968277.0,4441619830.5,,,,,,,,,,,,,,,,,,
1998-06-01,MAR.OQ,15.967153,16.549895,15.908878,16.229387,16.229387,581694.0,4449608355.375,,,,,,,,,,,,,,,,,,
1998-06-02,MAR.OQ,16.258524,16.316798,15.850604,15.938015,15.938015,434501.0,4369723106.625,,,,,,,,,,,,,,,,,,
1998-06-03,MAR.OQ,15.79233,16.083701,15.79233,15.938015,15.938015,562688.0,4369723106.625,,,,,,,,,,,,,,,,,,
1998-06-04,MAR.OQ,15.763193,16.287661,15.646644,16.287661,16.287661,763865.0,4465585405.125,,,,,,,,,,,,,,,,,,
1998-06-05,MAR.OQ,16.229387,16.40421,16.229387,16.316798,16.316798,800461.0,4473573930.0,,,,,,,,,,,,,,,,,,
1998-06-08,MAR.OQ,16.316798,16.375072,15.58837,15.646644,15.646644,821893.0,4289837857.875,,,,,,,,,,,,,,,,,,
1998-06-09,MAR.OQ,15.209587,15.413547,15.122175,15.122175,15.122175,902364.0,4146044410.125,,,,,,,,,,,,,,,,,,
1998-06-10,MAR.OQ,15.151313,15.296998,14.889078,14.947353,14.947353,1259427.0,4098113260.875,,,,,,,,,,,,,,,,,,
1998-06-11,MAR.OQ,14.97649,15.122175,14.743393,14.801667,14.801667,729089.0,4058170636.5,,,,,,,,,,,,,,,,,,
1998-06-12,MAR.OQ,14.97649,15.093038,14.714256,14.918216,14.918216,817849.0,4090124736.0,,,,,,,,,,,,,,,,,,
1998-06-15,MAR.OQ,14.801667,14.889078,14.510296,14.510296,14.510296,575426.0,3978285387.75,,,,,,,,,,,,,,,,,,
1998-06-16,MAR.OQ,14.56857,15.267861,14.56857,14.97649,14.97649,585131.0,4106101785.75,,,,,,,,,,,,,,,,,,
1998-06-17,MAR.OQ,15.005627,15.209587,14.947353,14.947353,14.947353,1583939.0,4098113260.875,,,,,,,,,,,,,,,,,,
1998-06-18,MAR.OQ,14.97649,14.97649,14.685118,14.685118,14.685118,662973.0,4026216537.0,,,,,,,,,,,,,,,,,,
1998-06-19,MAR.OQ,14.597707,14.685118,14.481158,14.510296,14.510296,742231.0,3978285387.75,,,,,,,,,,,,,,,,,,
1998-06-22,MAR.OQ,14.743393,14.918216,13.985827,14.044101,14.044101,728078.0,3850468989.75,,,,,,,,,,,,,,,,,,
1998-06-23,MAR.OQ,14.218924,14.714256,14.218924,14.655981,14.655981,881134.0,4018228012.12499,,,,,,,,,,,,,,,,,,
1998-06-24,MAR.OQ,14.510296,14.801667,14.422884,14.801667,14.801667,1322308.0,4058170636.5,,,,,,,,,,,,,,,,,,
1998-06-25,MAR.OQ,14.685118,14.801667,14.539433,14.539433,14.539433,705028.0,3986273912.625,,,,,,,,,,,,,,,,,,
1998-06-26,MAR.OQ,14.597707,14.655981,14.422884,14.597707,14.597707,1002851.0,4002250962.37499,,,,,,,,,,,,,,,,,,
1998-06-29,MAR.OQ,14.714256,14.918216,14.714256,14.801667,14.801667,683394.0,4058170636.5,,,,,,,,,,,,,,,,,,
1998-06-30,MAR.OQ,14.743393,15.093038,14.597707,15.093038,15.093038,1559474.0,4138055885.25,,,,,,,,,,,,,,,,,,
1998-07-01,MAR.OQ,15.063901,15.326135,14.830804,15.005627,15.005627,1141552.0,4114090310.625,,,,,,,,,,,,,,,,,,
1998-07-02,MAR.OQ,15.005627,15.005627,14.714256,14.743393,14.743393,461999.0,4042193586.75,,,,,,,,,,,,,,,,,,
1998-07-06,MAR.OQ,14.77253,15.034764,14.743393,14.918216,14.918216,666815.0,4090124736.0,,,,,,,,,,,,,,,,,,
1998-07-07,MAR.OQ,14.918216,14.947353,14.655981,14.830804,14.830804,7755318.0,4066159161.375,,,,,,,,,,,,,,,,,,
1998-07-08,MAR.OQ,14.947353,15.38441,14.947353,15.355273,15.355273,1359915.0,4209952609.125,,,,,,,,,,,,,,,,,,
1998-07-09,MAR.OQ,15.355273,15.355273,15.267861,15.267861,15.267861,1278029.0,4185987034.5,,,,,,,,,,,,,,,,,,
1998-07-10,MAR.OQ,15.267861,15.355273,15.209587,15.267861,15.267861,1276209.0,4185987034.5,,,,,,,,,,,,,,,,,,
1998-07-13,MAR.OQ,15.209587,15.296998,15.034764,15.18045,15.18045,709679.0,4162021459.875,,,,,,,,,,,,,,,,,,
1998-07-14,MAR.OQ,15.122175,15.18045,15.063901,15.122175,15.122175,1158738.0,4146044410.125,,,,,,,,,,,,,,,,,,
1998-07-15,MAR.OQ,15.122175,15.151313,14.743393,14.743393,14.743393,3648277.0,4042193586.75,,,,,,,,,,,,,,,,,,
1998-07-16,MAR.OQ,14.918216,14.97649,14.830804,14.889078,14.889078,931681.0,4082136211.125,,,,,,,,,,,,,,,,,,
