Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,MCK.N,54.09375,54.09375,53.0,53.25,53.25,230800.0,4678438500.0,,,,,,,,,,,,,,,,,,
1998-01-05,MCK.N,53.25,54.0,52.5,52.6875,52.6875,201600.0,2317254750.0,,,,,,,,,,,,,,,,,,
1998-01-06,MCK.N,52.625,52.625,51.5625,51.75,51.75,244600.0,2273325750.0,,,,,,,,,,,,,,,,,,
1998-01-07,MCK.N,51.625,51.625,51.0625,51.5,51.5,368100.0,2262343500.0,,,,,,,,,,,,,,,,,,
1998-01-08,MCK.N,51.5,52.1875,51.3125,52.0625,52.0625,169700.0,2287053562.5,,,,,,,,,,,,,,,,,,
1998-01-09,MCK.N,52.0625,52.0625,50.5,50.625,50.625,195500.0,2223905625.0,,,,,,,,,,,,,,,,,,
1998-01-12,MCK.N,49.5,51.125,49.375,49.875,49.875,174600.0,2193704437.5,,,,,,,,,,,,,,,,,,
1998-01-13,MCK.N,50.1875,50.8125,49.875,50.6875,50.6875,117300.0,2226651187.5,,,,,,,,,,,,,,,,,,
1998-01-14,MCK.N,50.875,52.0625,50.6875,52.0625,52.0625,191900.0,2287053562.5,,,,,,,,,,,,,,,,,,
1998-01-15,MCK.N,52.0,52.8125,51.5625,52.8125,52.8125,323900.0,2320000312.5,,,,,,,,,,,,,,,,,,
1998-01-16,MCK.N,53.0,53.5,51.5,51.75,51.75,283300.0,2273325750.0,,,,,,,,,,,,,,,,,,
