Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,MCO.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-05,MCO.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-06,MCO.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-07,MCO.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-08,MCO.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-09,MCO.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-12,MCO.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-13,MCO.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-14,MCO.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-15,MCO.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-16,MCO.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-20,MCO.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-21,MCO.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-22,MCO.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-23,MCO.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-26,MCO.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-27,MCO.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-28,MCO.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-29,MCO.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-30,MCO.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-02,MCO.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-03,MCO.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-04,MCO.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-05,MCO.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-06,MCO.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-09,MCO.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-10,MCO.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-11,MCO.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-12,MCO.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-13,MCO.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-17,MCO.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-18,MCO.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-19,MCO.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
