Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,MET.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-05,MET.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-06,MET.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-07,MET.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-08,MET.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-09,MET.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-12,MET.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-13,MET.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-14,MET.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-15,MET.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-16,MET.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-20,MET.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-21,MET.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-22,MET.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-23,MET.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-26,MET.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-27,MET.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-28,MET.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-29,MET.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-30,MET.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-02,MET.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-03,MET.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-04,MET.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-05,MET.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-06,MET.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-09,MET.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-10,MET.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-11,MET.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-12,MET.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
