Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,MGM.N,9.09375,9.125,8.921875,8.984375,8.984375,970000.0,2083679429.6875,,,,,,,,,,,,,,,,,,
1998-01-05,MGM.N,8.9375,8.9375,8.71875,8.765625,8.765625,954800.0,2032946365.3125,,,,,,,,,,,,,,,,,,
1998-01-06,MGM.N,8.78125,8.78125,8.625,8.640625,8.640625,452000.0,2003956042.8125,,,,,,,,,,,,,,,,,,
1998-01-07,MGM.N,8.65625,8.75,8.65625,8.75,8.75,1285200.0,2029322575.0,,,,,,,,,,,,,,,,,,
1998-01-08,MGM.N,8.703125,8.71875,8.53125,8.625,8.625,1452000.0,2000332252.5,,,,,,,,,,,,,,,,,,
1998-01-09,MGM.N,8.640625,8.640625,8.484375,8.5,8.5,612800.0,1971341930.0,,,,,,,,,,,,,,,,,,
1998-01-12,MGM.N,8.3125,8.4375,8.296875,8.40625,8.40625,527600.0,1949599188.125,,,,,,,,,,,,,,,,,,
1998-01-13,MGM.N,8.375,8.5,8.375,8.46875,8.46875,370400.0,1964094349.375,,,,,,,,,,,,,,,,,,
1998-01-14,MGM.N,8.53125,8.75,8.4375,8.734375,8.734375,288800.0,2025698784.6875,,,,,,,,,,,,,,,,,,
1998-01-15,MGM.N,8.75,9.1875,8.75,9.0625,9.0625,1214800.0,2101798381.25,,,,,,,,,,,,,,,,,,
1998-01-16,MGM.N,9.0625,9.609375,9.0625,9.453125,9.453125,1854800.0,2196016929.375,,,,,,,,,,,,,,,,,,
1998-01-20,MGM.N,9.46875,9.46875,9.203125,9.25,9.25,900000.0,2145283865.0,,,,,,,,,,,,,,,,,,
1998-01-21,MGM.N,9.25,9.265625,9.171875,9.203125,9.203125,406400.0,2134412494.0625,,,,,,,,,,,,,,,,,,
1998-01-22,MGM.N,9.203125,9.328125,9.140625,9.28125,9.28125,512000.0,2152531445.625,,,,,,,,,,,,,,,,,,
