Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,MKC.N,,,,,,0.0,2304447250.0,,,,,,,,,,,,,,,,,,
1998-01-05,MKC.N,,,,,,0.0,2385661250.0,,,,,,,,,,,,,,,,,,
1998-01-06,MKC.N,,,,,,0.0,2324750750.0,,,,,,,,,,,,,,,,,,
1998-01-07,MKC.N,,,,,,0.0,2339978375.0,,,,,,,,,,,,,,,,,,
1998-01-08,MKC.N,,,,,,0.0,2324750750.0,,,,,,,,,,,,,,,,,,
1998-01-09,MKC.N,,,,,,0.0,2304447250.0,,,,,,,,,,,,,,,,,,
1998-01-12,MKC.N,,,,,,0.0,2334902500.0,,,,,,,,,,,,,,,,,,
1998-01-13,MKC.N,,,,,,0.0,2451647625.0,,,,,,,,,,,,,,,,,,
1998-01-14,MKC.N,,,,,,0.0,2426268250.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-01-15,MKC.N,,,,,,0.0,2385661250.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-01-16,MKC.N,,,,,,0.0,2416116500.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-01-20,MKC.N,,,,,,0.0,2355206000.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-01-21,MKC.N,,,,,,0.0,2294295500.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-01-22,MKC.N,,,,,,0.0,2299371375.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-01-23,MKC.N,,,,,,0.0,2319674875.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-01-26,MKC.N,,,,,,0.0,2324750750.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-01-27,MKC.N,,,,,,0.0,2380585375.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-01-28,MKC.N,,,,,,0.0,2395813000.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-01-29,MKC.N,,,,,,0.0,2385661250.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-01-30,MKC.N,,,,,,0.0,2370433625.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-02-02,MKC.N,,,,,,0.0,2395813000.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-02-03,MKC.N,,,,,,0.0,2390737125.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-02-04,MKC.N,,,,,,0.0,2436420000.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-02-05,MKC.N,,,,,,0.0,2390737125.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-02-06,MKC.N,,,,,,0.0,2405964750.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-02-09,MKC.N,,,,,,0.0,2365357750.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-02-10,MKC.N,,,,,,0.0,2411040625.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-02-11,MKC.N,,,,,,0.0,2421192375.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-02-12,MKC.N,,,,,,0.0,2446571750.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-02-13,MKC.N,,,,,,0.0,2395813000.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-02-17,MKC.N,,,,,,0.0,2400888875.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-02-18,MKC.N,,,,,,0.0,2431344125.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-02-19,MKC.N,,,,,,0.0,2421192375.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-02-20,MKC.N,,,,,,0.0,2324750750.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-02-23,MKC.N,,,,,,0.0,2334902500.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-02-24,MKC.N,,,,,,0.0,2309523125.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-02-25,MKC.N,,,,,,0.0,2375509500.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-02-26,MKC.N,,,,,,0.0,2345054250.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-02-27,MKC.N,,,,,,0.0,2329826625.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-03-02,MKC.N,,,,,,0.0,2339978375.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-03-03,MKC.N,,,,,,0.0,2380585375.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-03-04,MKC.N,,,,,,0.0,2400888875.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-03-05,MKC.N,,,,,,0.0,2345054250.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-03-06,MKC.N,,,,,,0.0,2400888875.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-03-09,MKC.N,,,,,,0.0,2400888875.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-03-10,MKC.N,,,,,,0.0,2436420000.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-03-11,MKC.N,,,,,,0.0,2431344125.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-03-12,MKC.N,,,,,,0.0,2456723500.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-03-13,MKC.N,,,,,,0.0,2444033812.5,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-03-16,MKC.N,,,,,,0.0,2502406375.0,297588000.0,1.32764373716632,296096000.0,0.16232,0.16194,48190000.0,1997-11-30,556974000.0,297588000.0,,,1998-01-14,,,,,,
1998-03-17,MKC.N,,,,,,0.0,2517634000.0,297132000.0,1.48436398745781,254539320.0,0.05518,0.05455,16209000.0,1998-02-28,415202000.0,295012000.0,,,1998-03-17,,,,,,
