Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,MO.N,10.502483,10.58928,10.459084,10.488017,10.488017,3220600.0,109855308084.375,,,,,,,,,,,,,,,,,,
1998-01-05,MO.N,10.574814,10.618213,10.488017,10.618213,10.618213,4938600.0,111219029150.25,,,,,,,,,,,,,,,,,,
1998-01-06,MO.N,10.574814,10.632679,10.488017,10.618213,10.618213,3679100.0,110915980024.5,,,,,,,,,,,,,,,,,,
1998-01-07,MO.N,10.632679,10.849672,10.574814,10.849672,10.849672,5656200.0,113643422156.25,,,,,,,,,,,,,,,,,,
1998-01-08,MO.N,10.791808,10.893071,10.748409,10.777341,10.777341,4756000.0,112885799341.875,,,,,,,,,,,,,,,,,,
1998-01-09,MO.N,10.762875,10.965402,10.299956,10.516949,10.516949,6404800.0,109097685270.0,,,,,,,,,,,,,,,,,,
1998-01-12,MO.N,10.314422,10.806274,10.28549,10.733943,10.733943,5444100.0,112431225653.25,,,,,,,,,,,,,,,,,,
1998-01-13,MO.N,10.849672,11.081132,10.82074,11.081132,11.081132,5760500.0,116067815162.25,,,,,,,,,,,,,,,,,,
1998-01-14,MO.N,10.922004,10.979869,10.791808,10.878605,10.878605,4491400.0,113946471282.0,,,,,,,,,,,,,,,,,,
1998-01-15,MO.N,10.777341,10.791808,10.430152,10.430152,10.430152,4502000.0,109097685270.0,,,,,,,,,,,,,,,,,,
1998-01-16,MO.N,10.531415,10.690544,10.459084,10.459084,10.459084,6024200.0,109855308084.375,,,,,,,,,,,,,,,,,,
1998-01-20,MO.N,10.430152,10.444618,9.923834,10.097429,10.097429,6883500.0,105764144886.75,,,,,,,,,,,,,,,,,,
1998-01-21,MO.N,9.996165,10.242091,9.996165,10.242091,10.242091,4395900.0,107279390515.5,,,,,,,,,,,,,,,,,,
1998-01-22,MO.N,10.010631,10.082962,9.634509,9.70684,9.70684,9742100.0,101672981689.125,,,,,,,,,,,,,,,,,,
1998-01-23,MO.N,9.779171,9.909368,9.620043,9.880435,9.880435,5420500.0,103491276443.625,,,,,,,,,,,,,,,,,,
1998-01-26,MO.N,9.837036,9.894901,9.620043,9.750239,9.750239,3725000.0,102127555377.75,,,,,,,,,,,,,,,,,,
1998-01-27,MO.N,9.721307,9.793638,9.648975,9.764705,9.764705,4107400.0,102279079940.625,,,,,,,,,,,,,,,,,,
1998-01-28,MO.N,9.605577,9.851503,9.547712,9.562178,9.562178,5417900.0,99248588683.125,2443400000.0,6.15133436955007,2425490000.0,0.86778,0.53,1295000000.0,1997-12-31,13740000000.0,2405000000.0,,,1998-01-28,23192967117.219997,,1.5544884126823055,0.6432984587350362,,
1998-01-29,MO.N,9.142657,9.648975,9.05586,9.634509,9.634509,13755200.0,100915358874.75,2443400000.0,6.15133436955007,2425490000.0,0.86778,0.53,1295000000.0,1997-12-31,13740000000.0,2405000000.0,,,1998-01-28,23368405234.41,,1.5662469996253352,0.6384689006518205,,
1998-01-30,MO.N,9.677908,9.793638,9.504313,9.605577,9.605577,5806700.0,100612309749.0,2443400000.0,6.15133436955007,2425490000.0,0.86778,0.53,1295000000.0,1997-12-31,13740000000.0,2405000000.0,,,1998-01-28,23298230957.73,,1.561543629874665,0.6403919691185724,,
1998-02-02,MO.N,9.779171,9.909368,9.750239,9.851503,9.851503,4700200.0,103188227317.875,2443400000.0,6.15133436955007,2425490000.0,0.86778,0.53,1295000000.0,1997-12-31,13740000000.0,2405000000.0,,,1998-01-28,23894722011.469997,,1.6015229230207775,0.62440567389058,,
1998-02-03,MO.N,9.851503,9.967232,9.808104,9.967232,9.967232,3675400.0,104400423820.875,2443400000.0,6.15133436955007,2425490000.0,0.86778,0.53,1295000000.0,1997-12-31,13740000000.0,2405000000.0,,,1998-01-28,24175421543.679996,,1.6203365645898122,0.6171557328604441,,
1998-02-04,MO.N,9.865969,9.9383,9.735773,9.808104,9.808104,3924000.0,102733653629.25,2443400000.0,6.15133436955007,2425490000.0,0.86778,0.53,1295000000.0,1997-12-31,13740000000.0,2405000000.0,,,1998-01-28,23789458170.96,,1.5944677058284182,0.6271685505730843,,
1998-02-05,MO.N,10.05403,10.111895,9.923834,10.111895,10.111895,6404300.0,105612620323.875,2443400000.0,6.15133436955007,2425490000.0,0.86778,0.53,1295000000.0,1997-12-31,13740000000.0,2405000000.0,,,1998-01-28,24526300203.550003,,1.6438539010422253,0.6083265668354023,,
1998-02-06,MO.N,10.16976,10.28549,10.082962,10.256557,10.256557,3745100.0,107430915078.374,2443400000.0,6.15133436955007,2425490000.0,0.86778,0.53,1295000000.0,1997-12-31,13740000000.0,2405000000.0,,,1998-01-28,24877176437.93,,1.6673710749282844,0.5997465201577946,,
1998-02-09,MO.N,10.242091,10.242091,10.05403,10.126361,10.126361,2796500.0,106067194012.5,2443400000.0,6.15133436955007,2425490000.0,0.86778,0.53,1295000000.0,1997-12-31,13740000000.0,2405000000.0,,,1998-01-28,24561387341.89,,1.6462055859175604,0.6074575426996993,,
1998-02-10,MO.N,10.126361,10.126361,9.967232,10.068496,10.068496,4702700.0,105158046635.25,2443400000.0,6.15133436955007,2425490000.0,0.86778,0.53,1295000000.0,1997-12-31,13740000000.0,2405000000.0,,,1998-01-28,24421036363.04,,1.636798683849866,0.6109486828569103,,
1998-02-11,MO.N,9.981699,10.010631,9.735773,9.837036,9.837036,4656400.0,103188227317.875,2443400000.0,6.15133436955007,2425490000.0,0.86778,0.53,1295000000.0,1997-12-31,13740000000.0,2405000000.0,,,1998-01-28,23859632447.64,,1.5991710755790884,0.625323966441728,,
1998-02-12,MO.N,9.779171,9.923834,9.70684,9.865969,9.865969,4195700.0,103339751880.749,2443400000.0,6.15133436955007,2425490000.0,0.86778,0.53,1295000000.0,1997-12-31,13740000000.0,2405000000.0,,,1998-01-28,23929809149.809998,,1.6038746078961126,0.6234901376185219,,
1998-02-13,MO.N,9.851503,9.865969,9.692374,9.692374,9.692374,3235800.0,101521457126.25,2443400000.0,6.15133436955007,2425490000.0,0.86778,0.53,1295000000.0,1997-12-31,13740000000.0,2405000000.0,,,1998-01-28,23508756213.26,,1.5756539016930295,0.63465714071187,,
1998-02-17,MO.N,9.82257,9.923834,9.779171,9.909368,9.909368,5246600.0,103794325569.375,2443400000.0,6.15133436955007,2425490000.0,0.86778,0.53,1295000000.0,1997-12-31,13740000000.0,2405000000.0,,,1998-01-28,24035072990.32,,1.610929825088472,0.6207595044961565,,
1998-02-18,MO.N,9.750239,9.894901,9.721307,9.764705,9.764705,4509400.0,102279079940.625,2443400000.0,6.15133436955007,2425490000.0,0.86778,0.53,1295000000.0,1997-12-31,13740000000.0,2405000000.0,,,1998-01-28,23684194330.449997,,1.587412488636059,0.6299559863354879,,
1998-02-19,MO.N,9.750239,9.764705,9.504313,9.562178,9.562178,6788200.0,100309260623.25,2443400000.0,6.15133436955007,2425490000.0,0.86778,0.53,1295000000.0,1997-12-31,13740000000.0,2405000000.0,,,1998-01-28,23192967117.219997,,1.5544884126823055,0.6432984587350362,,
1998-02-20,MO.N,9.605577,9.692374,9.547712,9.692374,9.692374,4405400.0,101369932563.375,2443400000.0,6.15133436955007,2425490000.0,0.86778,0.53,1295000000.0,1997-12-31,13740000000.0,2405000000.0,,,1998-01-28,23508756213.26,,1.5756539016930295,0.63465714071187,,
1998-02-23,MO.N,9.721307,9.750239,9.431982,9.562178,9.562178,4115100.0,100157736060.375,2443400000.0,6.15133436955007,2425490000.0,0.86778,0.53,1295000000.0,1997-12-31,13740000000.0,2405000000.0,,,1998-01-28,23192967117.219997,,1.5544884126823055,0.6432984587350362,,
1998-02-24,MO.N,9.533246,9.547712,9.446448,9.533246,9.533246,4825500.0,99854686934.625,2443400000.0,6.15133436955007,2425490000.0,0.86778,0.53,1295000000.0,1997-12-31,13740000000.0,2405000000.0,,,1998-01-28,23122792840.54,,1.5497850429316355,0.6452507749773865,,
1998-02-25,MO.N,9.533246,9.692374,9.446448,9.489847,9.489847,4628400.0,99400113246.0,2443400000.0,6.15133436955007,2425490000.0,0.86778,0.53,1295000000.0,1997-12-31,13740000000.0,2405000000.0,,,1998-01-28,23017529000.03,,1.542729825739276,0.6482016379768895,,
