Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-05,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-06,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-07,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-08,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-09,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-12,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-13,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-14,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-15,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-16,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-20,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-21,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-22,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-23,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-26,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-27,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-28,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-29,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-30,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-02,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-03,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-04,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-05,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-06,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-09,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-10,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-11,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-12,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-13,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-17,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-18,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-19,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-20,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-23,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-24,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-25,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-26,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-27,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-02,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-03,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-04,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-05,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-06,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-09,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-10,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-11,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-12,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-13,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-16,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-17,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-18,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-19,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-20,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-23,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-24,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-25,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-26,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-27,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-30,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-03-31,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-01,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-02,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-03,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-06,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-07,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-08,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-09,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-13,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-14,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-15,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-16,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-17,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-20,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-21,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-22,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-23,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-24,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-27,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-28,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-29,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-04-30,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-01,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-04,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-05,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-06,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-07,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-08,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-11,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-12,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-13,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-14,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-15,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-18,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-19,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-20,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-21,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-22,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-26,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-27,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-28,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-05-29,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-01,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-02,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-03,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-04,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-05,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-08,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-09,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-10,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-11,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-12,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-15,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-16,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-17,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-06-18,MOS.N,,,,,,0.0,,,,,,,,,,,,,,,,,,,
