Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-30,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-02,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-03,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-04,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-05,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-06,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-09,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-10,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-11,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-12,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-13,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-17,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-18,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-19,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-20,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-23,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-24,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-25,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-26,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-27,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-02,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-03,MPC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
