Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-30,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-02,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-03,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-04,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-05,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-06,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-09,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-10,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-11,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-12,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-13,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-17,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-18,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-19,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-20,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-23,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-24,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-25,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-26,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-27,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-02,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-03,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-04,MRNA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
