Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,MS.N,24.455194,24.716467,24.19392,24.638085,24.638085,2768600.0,34804687396.2499,,,,,,,,,,,,,,,,,,
1998-01-05,MS.N,24.768722,25.657052,24.768722,25.448033,25.448033,3629800.0,36063580344.625,,,,,,,,,,,,,,,,,,
1998-01-06,MS.N,24.820977,25.08225,24.481321,25.08225,25.08225,3226200.0,35545212660.0,,,,,,,,,,,,,,,,,,
1998-01-07,MS.N,25.08225,25.186759,24.376812,24.455194,24.455194,4655800.0,34656582343.5,1194904539.99998,10.9969755458708,1189417940.0,0.72326,0.67035,796000000.0,1997-11-30,6939000000.0,1100574320.0,,,1998-01-07,29087446469.780357,,2.223810892185039,0.4496785241560872,,
1998-01-08,MS.N,24.429066,24.742595,24.272302,24.638085,24.638085,4092000.0,34915766185.8125,1194904539.99998,10.9969755458708,1189417940.0,0.72326,0.67035,796000000.0,1997-11-30,6939000000.0,1100574320.0,,,1998-01-07,29304980306.2449,,2.2404419194376795,0.44634051493331567,,
1998-01-09,MS.N,24.58583,24.58583,23.201081,23.4101,23.4101,3529200.0,33175531816.0,1194904539.99998,10.9969755458708,1189417940.0,0.72326,0.67035,796000000.0,1997-11-30,6939000000.0,1100574320.0,,,1998-01-07,27844392917.194,,2.1287762169108526,0.4697534630723833,,
1998-01-12,MS.N,22.574025,23.201081,22.52177,22.965935,22.965935,4176600.0,32583111605.0,1194904539.99998,10.9969755458708,1189417940.0,0.72326,0.67035,796000000.0,1997-11-30,6939000000.0,1100574320.0,,,1998-01-07,27316095097.8739,,2.088386475372619,0.4788385731245342,,
1998-01-13,MS.N,23.044317,23.4101,22.992063,23.383973,23.383973,2184400.0,33138505552.8125,1194904539.99998,10.9969755458708,1189417940.0,0.72326,0.67035,796000000.0,1997-11-30,6939000000.0,1100574320.0,,,1998-01-07,27813316994.67562,,2.1264003818559307,0.47027832036372946,,
1998-01-14,MS.N,23.383973,23.645246,23.253336,23.645246,23.645246,2371200.0,33508768184.6874,1194904539.99998,10.9969755458708,1189417940.0,0.72326,0.67035,796000000.0,1997-11-30,6939000000.0,1100574320.0,,,1998-01-07,28124079788.11324,,2.1501590052074304,0.4650818835156463,,
1998-01-15,MS.N,23.488482,23.514609,22.835298,23.174954,23.174954,1476600.0,32842295447.3125,1194904539.99998,10.9969755458708,1189417940.0,0.72326,0.67035,796000000.0,1997-11-30,6939000000.0,1100574320.0,,,1998-01-07,27564706046.27476,,2.107393428614275,0.474519843528958,,
1998-01-16,MS.N,23.4101,23.697501,23.357845,23.488482,23.488482,1671600.0,33286610605.5625,1194904539.99998,10.9969755458708,1189417940.0,0.72326,0.67035,796000000.0,1997-11-30,6939000000.0,1100574320.0,,,1998-01-07,27937621874.16708,,2.135903813009712,0.4681858770554351,,
1998-01-20,MS.N,23.592991,24.376812,23.227209,24.324557,24.324557,2876200.0,34471451027.5625,1194904539.99998,10.9969755458708,1189417940.0,0.72326,0.67035,796000000.0,1997-11-30,6939000000.0,1100574320.0,,,1998-01-07,28932064478.352577,,2.2119315350422424,0.4520935590264111,,
1998-01-21,MS.N,24.429066,24.455194,24.037156,24.324557,24.324557,2139800.0,34471451027.5625,1194904539.99998,10.9969755458708,1189417940.0,0.72326,0.67035,796000000.0,1997-11-30,6939000000.0,1100574320.0,,,1998-01-07,28932064478.352577,,2.2119315350422424,0.4520935590264111,,
1998-01-22,MS.N,23.984902,24.115538,22.600152,22.965935,22.965935,3850000.0,32546085341.8124,1194904539.99998,10.9969755458708,1189417940.0,0.72326,0.67035,796000000.0,1997-11-30,6939000000.0,1100574320.0,,,1998-01-07,27316095097.8739,,2.088386475372619,0.4788385731245342,,
1998-01-23,MS.N,23.070445,23.201081,22.182115,22.600152,22.600152,3728600.0,32027717657.1875,1194904539.99998,10.9969755458708,1189417940.0,0.72326,0.67035,796000000.0,1997-11-30,6939000000.0,1100574320.0,,,1998-01-07,26881026235.526882,,2.0551243299332445,0.486588565681806,,
1998-01-26,MS.N,23.201081,23.201081,22.574025,22.652407,22.652407,2191600.0,32804822651.0625,1194904539.99998,10.9969755458708,1189417940.0,0.72326,0.67035,796000000.0,1997-11-30,6939000000.0,1100574320.0,,,1998-01-07,26943179269.98158,,2.0598760909771814,0.4854660939948148,,
