Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-30,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-02,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-03,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-04,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-05,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-06,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-09,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-10,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-11,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-12,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-13,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-17,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-18,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-19,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-20,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-23,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-24,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-25,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-26,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-27,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-02,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-03,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-04,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-05,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-06,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-09,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-10,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-11,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-12,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-13,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-16,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-17,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-18,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-19,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-20,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-23,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-24,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-25,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-26,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-27,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-30,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-31,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-01,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-02,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-03,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-06,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-07,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-08,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-09,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-13,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-14,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-15,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-16,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-17,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-20,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-21,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-22,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-23,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-24,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-27,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-28,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-29,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-30,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-01,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-04,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-05,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-06,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-07,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-08,MTCH.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
