Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,MU.OQ,13.0,13.96875,12.90625,13.96875,13.96875,4826600.0,5891325723.0,,,,,,,,,,,,,,,,,,
1998-01-05,MU.OQ,13.96875,14.34375,13.4375,13.875,13.875,8070000.0,5891325723.0,,,,,,,,,,,,,,,,,,
1998-01-06,MU.OQ,13.875,14.15625,13.25,13.4375,13.4375,4238000.0,5679977715.0,,,,,,,,,,,,,,,,,,
1998-01-07,MU.OQ,13.1875,13.34375,12.96875,13.1875,13.1875,5315800.0,5600722212.0,,,,,,,,,,,,,,,,,,
1998-01-08,MU.OQ,13.1875,14.5625,13.125,14.1875,14.1875,14948200.0,5996999727.0,,,,,,,,,,,,,,,,,,
1998-01-09,MU.OQ,14.46875,14.625,13.5,13.75,13.75,9848200.0,5812070220.0,,,,,,,,,,,,,,,,,,
1998-01-12,MU.OQ,13.625,14.75,13.5,14.34375,14.34375,14934400.0,6049836729.0,,,,,,,,,,,,,,,,,,
1998-01-13,MU.OQ,15.0,16.09375,14.8125,15.84375,15.84375,16476800.0,6763136256.0,,,,,,,,,,,,,,,,,,
1998-01-14,MU.OQ,15.5,15.71875,15.09375,15.59375,15.59375,10276400.0,6578206749.0,,,,,,,,,,,,,,,,,,
1998-01-15,MU.OQ,15.53125,16.3125,15.375,15.78125,15.78125,9061200.0,6670671502.5,,,,,,,,,,,,,,,,,,
1998-01-16,MU.OQ,15.0,15.125,14.25,14.375,14.375,14684000.0,6049836729.0,,,,,,,,,,,,,,,,,,
1998-01-20,MU.OQ,14.40625,15.25,14.28125,15.0625,15.0625,6421200.0,6353649490.5,,,,,,,,,,,,,,,,,,
1998-01-21,MU.OQ,15.0625,16.125,15.0625,16.0,16.0,9812200.0,6789554757.0,,,,,,,,,,,,,,,,,,
1998-01-22,MU.OQ,15.8125,16.875,15.3125,16.40625,16.40625,10341800.0,6908438011.5,,,,,,,,,,,,,,,,,,
1998-01-23,MU.OQ,16.3125,16.8125,15.6875,16.03125,16.03125,9189000.0,6776345506.5,,,,,,,,,,,,,,,,,,
1998-01-26,MU.OQ,16.0,16.15625,15.3125,15.5625,15.5625,7841400.0,6578206749.0,,,,,,,,,,,,,,,,,,
1998-01-27,MU.OQ,15.5625,16.3125,15.5,16.1875,16.1875,5055200.0,6842391759.0,,,,,,,,,,,,,,,,,,
1998-01-28,MU.OQ,17.375,17.875,17.0625,17.4375,17.4375,16735200.0,7317924777.0,,,,,,,,,,,,,,,,,,
1998-01-29,MU.OQ,17.3125,17.65625,16.875,16.90625,16.90625,8453000.0,7146204520.5,,,,,,,,,,,,,,,,,,
1998-01-30,MU.OQ,16.90625,17.65625,16.6875,17.3125,17.3125,6187600.0,7304715526.5,,,,,,,,,,,,,,,,,,
1998-02-02,MU.OQ,17.5,17.9375,17.46875,17.65625,17.65625,4672000.0,7450017282.0,,,,,,,,,,,,,,,,,,
1998-02-03,MU.OQ,17.78125,19.09375,17.75,19.03125,19.03125,13566400.0,7991596552.5,,,,,,,,,,,,,,,,,,
1998-02-04,MU.OQ,18.75,19.46875,18.03125,19.125,19.125,17085800.0,8031224304.0,,,,,,,,,,,,,,,,,,
1998-02-05,MU.OQ,19.125,19.125,17.375,17.40625,17.40625,17857400.0,7370761779.0,,,,,,,,,,,,,,,,,,
1998-02-06,MU.OQ,17.0,18.0,16.90625,18.0,18.0,9664600.0,7621737538.5,,,,,,,,,,,,,,,,,,
1998-02-09,MU.OQ,18.1875,18.1875,17.59375,17.9375,17.9375,5748600.0,7582109787.0,,,,,,,,,,,,,,,,,,
1998-02-10,MU.OQ,17.875,18.65625,17.625,18.5625,18.5625,5327200.0,7819876296.0,,,,,,,,,,,,,,,,,,
1998-02-11,MU.OQ,17.9375,18.8125,17.6875,18.71875,18.71875,7557400.0,7899131799.0,,,,,,,,,,,,,,,,,,
1998-02-12,MU.OQ,18.75,19.03125,17.6875,17.84375,17.84375,11403000.0,7542482035.5,,,,,,,,,,,,,,,,,,
1998-02-13,MU.OQ,17.84375,18.0,17.46875,17.53125,17.53125,4156600.0,7410389530.5,,,,,,,,,,,,,,,,,,
1998-02-17,MU.OQ,17.5625,17.5625,16.6875,16.90625,16.90625,6899200.0,7119786019.5,,,,,,,,,,,,,,,,,,
1998-02-18,MU.OQ,16.78125,17.59375,16.78125,17.53125,17.53125,7173400.0,7397180280.0,,,,,,,,,,,,,,,,,,
1998-02-19,MU.OQ,17.5625,17.875,16.9375,16.96875,16.96875,7233000.0,7172623021.5,,,,,,,,,,,,,,,,,,
1998-02-20,MU.OQ,17.09375,17.46875,16.78125,16.96875,16.96875,7319400.0,7185832272.0,,,,,,,,,,,,,,,,,,
1998-02-23,MU.OQ,16.96875,17.1875,16.65625,16.84375,16.84375,4778200.0,7132995270.0,,,,,,,,,,,,,,,,,,
1998-02-24,MU.OQ,16.84375,16.90625,16.15625,16.1875,16.1875,6155600.0,6842391759.0,,,,,,,,,,,,,,,,,,
1998-02-25,MU.OQ,16.0625,17.375,15.90625,17.3125,17.3125,9053000.0,7344343278.0,,,,,,,,,,,,,,,,,,
1998-02-26,MU.OQ,17.3125,17.75,16.875,17.5,17.5,8282800.0,7410389530.5,,,,,,,,,,,,,,,,,,
1998-02-27,MU.OQ,17.53125,17.53125,16.53125,16.59375,16.59375,4082400.0,7014112015.5,,,,,,,,,,,,,,,,,,
1998-03-02,MU.OQ,16.65625,17.21875,16.40625,17.1875,17.1875,7027000.0,7265087775.0,,,,,,,,,,,,,,,,,,
1998-03-03,MU.OQ,16.4375,17.15625,16.40625,16.8125,16.8125,7533800.0,7106576769.0,,,,,,,,,,,,,,,,,,
1998-03-04,MU.OQ,17.375,17.9375,17.375,17.8125,17.8125,12318400.0,6974484264.0,,,,,,,,,,,,,,,,,,
1998-03-05,MU.OQ,16.5,17.625,16.5,17.34375,17.34375,10810200.0,7304715526.5,,,,,,,,,,,,,,,,,,
1998-03-06,MU.OQ,17.5,17.90625,17.28125,17.46875,17.46875,4946600.0,7383971029.5,,,,,,,,,,,,,,,,,,
1998-03-09,MU.OQ,17.46875,17.53125,16.90625,17.0625,17.0625,6644200.0,7159413771.0,,,,,,,,,,,,,,,,,,
1998-03-10,MU.OQ,17.0625,17.15625,16.65625,17.0,17.0,7005600.0,7185832272.0,,,,,,,,,,,,,,,,,,
1998-03-11,MU.OQ,17.0625,17.40625,16.90625,17.0625,17.0625,5193600.0,7185832272.0,,,,,,,,,,,,,,,,,,
1998-03-12,MU.OQ,17.0,17.4375,16.9375,17.15625,17.15625,3511800.0,7251878524.5,,,,,,,,,,,,,,,,,,
1998-03-13,MU.OQ,17.0,17.5,16.59375,16.625,16.625,8362600.0,6974484264.0,,,,,,,,,,,,,,,,,,
1998-03-16,MU.OQ,16.6875,17.34375,16.59375,16.9375,16.9375,9532200.0,7132995270.0,,,,,,,,,,,,,,,,,,
1998-03-17,MU.OQ,16.5,16.65625,15.5,16.0,16.0,11510800.0,6763136256.0,,,,,,,,,,,,,,,,,,
1998-03-18,MU.OQ,15.9375,16.15625,15.75,15.875,15.875,5469600.0,6697090003.5,,,,,,,,,,,,,,,,,,
1998-03-19,MU.OQ,15.875,16.15625,15.84375,16.0,16.0,2934400.0,6763136256.0,,,,,,,,,,,,,,,,,,
1998-03-20,MU.OQ,15.96875,15.96875,15.15625,15.21875,15.21875,6072200.0,6488477737.5,,,,,,,,,,,,,,,,,,
1998-03-23,MU.OQ,14.9375,15.3125,14.9375,15.0,15.0,5727600.0,6395405310.9375,,,,,,,,,,,,,,,,,,
1998-03-24,MU.OQ,14.9375,15.0,14.3125,14.40625,14.40625,9073200.0,6102891970.3125,,,,,,,,,,,,,,,,,,
1998-03-25,MU.OQ,14.5625,15.125,14.5,14.71875,14.71875,14455800.0,6262444701.5625,,,,,,,,,,,,,,,,,,
1998-03-26,MU.OQ,14.625,14.90625,14.4375,14.5625,14.5625,8545600.0,6195964396.875,,,,,,,,,,,,,,,,,,
1998-03-27,MU.OQ,14.5625,14.6875,14.34375,14.46875,14.46875,3185200.0,6169372275.0,,,,,,,,,,,,,,,,,,
1998-03-30,MU.OQ,14.625,14.8125,14.0,14.25,14.25,3968200.0,6063003787.5,,,,,,,,,,,,,,,,,,
1998-03-31,MU.OQ,14.28125,14.71875,14.28125,14.53125,14.53125,10340200.0,6182668335.9375,,,,,,,,,,,,,,,,,,
1998-04-01,MU.OQ,14.625,16.3125,14.34375,16.0,16.0,14237800.0,6807583200.0,,,,,,,,,,,,,,,,,,
1998-04-02,MU.OQ,15.75,16.5,15.375,15.65625,15.65625,15371000.0,6661326529.6875,,,,,,,,,,,,,,,,,,
1998-04-03,MU.OQ,16.0,16.0,15.375,15.75,15.75,7448600.0,6701214712.5,,,,,,,,,,,,,,,,,,
1998-04-06,MU.OQ,15.75,15.9375,15.125,15.15625,15.15625,2948200.0,6448589554.6875,,,,,,,,,,,,,,,,,,
1998-04-07,MU.OQ,14.6875,14.71875,14.125,14.21875,14.21875,6102200.0,6049707726.5625,,,,,,,,,,,,,,,,,,
1998-04-08,MU.OQ,14.21875,14.3125,13.84375,14.0,14.0,5895200.0,5956635300.0,,,,,,,,,,,,,,,,,,
1998-04-09,MU.OQ,14.0,14.09375,13.8125,13.875,13.875,3761200.0,5903451056.25,,,,,,,,,,,,,,,,,,
1998-04-13,MU.OQ,13.875,14.0,13.6875,14.0,14.0,2690800.0,5983227421.875,,,,,,,,,,,,,,,,,,
1998-04-14,MU.OQ,14.0,14.90625,13.90625,14.875,14.875,6564400.0,6355517128.125,,,,,,,,,,,,,,,,,,
1998-04-15,MU.OQ,15.125,15.375,14.8125,15.1875,15.1875,4354600.0,6461885615.625,,,,,,,,,,,,,,,,,,
1998-04-16,MU.OQ,15.0,15.0,14.21875,14.34375,14.34375,4711600.0,6076299848.4375,,,,,,,,,,,,,,,,,,
1998-04-17,MU.OQ,14.34375,14.34375,13.9375,14.125,14.125,3654400.0,6009819543.75,,,,,,,,,,,,,,,,,,
1998-04-20,MU.OQ,14.125,14.875,14.09375,14.78125,14.78125,4326600.0,6275740762.5,,,,,,,,,,,,,,,,,,
1998-04-21,MU.OQ,14.8125,15.0,14.5,14.75,14.75,2514800.0,6275740762.5,,,,,,,,,,,,,,,,,,
1998-04-22,MU.OQ,14.71875,16.25,14.53125,15.9375,15.9375,8856800.0,6754398956.25,,,,,,,,,,,,,,,,,,
1998-04-23,MU.OQ,15.65625,16.1875,15.21875,15.3125,15.3125,12188800.0,6515069859.375,,,,,,,,,,,,,,,,,,
1998-04-24,MU.OQ,15.3125,15.71875,15.25,15.71875,15.71875,5226800.0,6687918651.5625,,,,,,,,,,,,,,,,,,
1998-04-27,MU.OQ,15.4375,15.4375,14.78125,14.90625,14.90625,3994000.0,6342221067.1875,,,,,,,,,,,,,,,,,,
1998-04-28,MU.OQ,15.25,15.375,14.90625,15.125,15.125,2407400.0,6435293493.75,,,,,,,,,,,,,,,,,,
1998-04-29,MU.OQ,15.25,15.375,14.75,15.21875,15.21875,3250800.0,6461885615.625,,,,,,,,,,,,,,,,,,
1998-04-30,MU.OQ,15.21875,15.6875,14.96875,15.53125,15.53125,2854000.0,6608142285.9375,,,,,,,,,,,,,,,,,,
1998-05-01,MU.OQ,15.5625,15.6875,15.15625,15.625,15.625,2102800.0,6648030468.75,,,,,,,,,,,,,,,,,,
1998-05-04,MU.OQ,15.65625,16.4375,15.65625,15.875,15.875,6032200.0,6767695017.1875,,,,,,,,,,,,,,,,,,
1998-05-05,MU.OQ,15.75,16.3125,15.65625,15.90625,15.90625,4868000.0,6807583200.0,,,,,,,,,,,,,,,,,,
1998-05-06,MU.OQ,16.0,16.03125,15.5,15.75,15.75,2802000.0,6701214712.5,,,,,,,,,,,,,,,,,,
1998-05-07,MU.OQ,15.75,16.0,15.40625,15.53125,15.53125,3012400.0,6594846225.0,,,,,,,,,,,,,,,,,,
1998-05-08,MU.OQ,15.53125,15.96875,15.25,15.9375,15.9375,3198200.0,6807583200.0,,,,,,,,,,,,,,,,,,
1998-05-11,MU.OQ,16.0,16.125,15.40625,15.5,15.5,4141000.0,6568254103.125,,,,,,,,,,,,,,,,,,
1998-05-12,MU.OQ,15.53125,15.53125,14.6875,15.03125,15.03125,10725600.0,6395405310.9375,,,,,,,,,,,,,,,,,,
1998-05-13,MU.OQ,15.0,15.03125,14.65625,14.75,14.75,4383600.0,6275740762.5,,,,,,,,,,,,,,,,,,
1998-05-14,MU.OQ,14.5,14.5,14.1875,14.25,14.25,3985800.0,6076299848.4375,,,,,,,,,,,,,,,,,,
1998-05-15,MU.OQ,14.0,14.125,13.125,13.1875,13.1875,11797600.0,5610937715.625,,,,,,,,,,,,,,,,,,
1998-05-18,MU.OQ,13.5625,13.9375,13.21875,13.5,13.5,4863400.0,5743898325.0,,,,,,,,,,,,,,,,,,
1998-05-19,MU.OQ,13.75,13.8125,13.0,13.25,13.25,4486200.0,5637529837.5,,,,,,,,,,,,,,,,,,
1998-05-20,MU.OQ,13.375,13.375,12.5,13.28125,13.28125,7101000.0,5650825898.4375,,,,,,,,,,,,,,,,,,
1998-05-21,MU.OQ,13.25,13.25,12.8125,12.875,12.875,3833800.0,5477977106.25,,,,,,,,,,,,,,,,,,
1998-05-22,MU.OQ,12.96875,13.03125,12.53125,12.78125,12.78125,4917400.0,5438088923.4375,,,,,,,,,,,,,,,,,,
1998-05-26,MU.OQ,13.0,13.15625,12.71875,12.75,12.75,2693800.0,5438088923.4375,,,,,,,,,,,,,,,,,,
1998-05-27,MU.OQ,12.625,12.65625,12.03125,12.375,12.375,5313200.0,5265240131.25,,,,,,,,,,,,,,,,,,
1998-05-28,MU.OQ,12.1875,12.3125,11.8125,11.9375,11.9375,4160400.0,5065799217.1875,,,,,,,,,,,,,,,,,,
1998-05-29,MU.OQ,11.96875,12.15625,11.75,11.78125,11.78125,2404000.0,5012614973.4375,,,,,,,,,,,,,,,,,,
1998-06-01,MU.OQ,11.75,11.90625,11.1875,11.21875,11.21875,4634400.0,4786581937.5,,,,,,,,,,,,,,,,,,
1998-06-02,MU.OQ,11.5,11.5625,11.0625,11.1875,11.1875,6839200.0,4759989815.625,,,,,,,,,,,,,,,,,,
1998-06-03,MU.OQ,11.40625,11.65625,11.1875,11.25,11.25,5265800.0,4786581937.5,,,,,,,,,,,,,,,,,,
1998-06-04,MU.OQ,11.75,12.0,11.4375,11.84375,11.84375,6939200.0,5052503156.25,,,,,,,,,,,,,,,,,,
1998-06-05,MU.OQ,11.875,12.1875,11.8125,12.03125,12.03125,4258800.0,5118983460.9375,,,,,,,,,,,,,,,,,,
1998-06-08,MU.OQ,12.0625,12.5,12.0625,12.375,12.375,3399200.0,5265240131.25,,,,,,,,,,,,,,,,,,
1998-06-09,MU.OQ,12.375,13.1875,12.375,12.9375,12.9375,4870400.0,5504569228.125,,,,,,,,,,,,,,,,,,
1998-06-10,MU.OQ,12.5,12.5,11.75,11.84375,11.84375,6767800.0,5012614973.4375,,,,,,,,,,,,,,,,,,
1998-06-11,MU.OQ,11.84375,11.96875,11.09375,11.3125,11.3125,8617400.0,4799877998.4375,,,,,,,,,,,,,,,,,,
1998-06-12,MU.OQ,11.1875,11.21875,10.15625,10.53125,10.53125,8524800.0,4507364657.8125,,,,,,,,,,,,,,,,,,
1998-06-15,MU.OQ,10.5,10.78125,10.03125,10.0625,10.0625,7012800.0,4281331621.875,,,,,,,,,,,,,,,,,,
1998-06-16,MU.OQ,10.375,11.1875,10.3125,11.125,11.125,4955600.0,4786581937.5,,,,,,,,,,,,,,,,,,
1998-06-17,MU.OQ,11.25,11.75,10.6875,10.71875,10.71875,6273400.0,4573844962.5,,,,,,,,,,,,,,,,,,
1998-06-18,MU.OQ,10.71875,11.34375,10.25,11.125,11.125,5818800.0,4720101632.8125,,,,,,,,,,,,,,,,,,
1998-06-19,MU.OQ,11.75,12.0625,11.5,11.6875,11.6875,13726600.0,4972726790.625,,,,,,,,,,,,,,,,,,
1998-06-22,MU.OQ,11.5625,11.9375,11.25,11.9375,11.9375,7898000.0,5079095278.125,,,,,,,,,,,,,,,,,,
1998-06-23,MU.OQ,12.03125,12.40625,11.8125,12.21875,12.21875,6006600.0,5198759826.5625,,,,,,,,,,,,,,,,,,
1998-06-24,MU.OQ,12.375,12.9375,12.03125,12.84375,12.84375,5398000.0,5477977106.25,,,,,,,,,,,,,,,,,,
1998-06-25,MU.OQ,12.9375,13.46875,12.5,12.5,12.5,4579800.0,5318424375.0,,,,,,,,,,,,,,,,,,
1998-06-26,MU.OQ,12.96875,13.1875,12.3125,12.90625,12.90625,3260200.0,5513538719.25,,,,,,,,,,,,,,,,,,
1998-06-29,MU.OQ,12.90625,13.09375,12.59375,12.8125,12.8125,2861400.0,5460267813.75,,,,,,,,,,,,,,,,,,
1998-06-30,MU.OQ,12.6875,12.71875,12.1875,12.40625,12.40625,4140600.0,5287137370.875,,,,,,,,,,,,,,,,,,
1998-07-01,MU.OQ,12.625,13.03125,12.59375,13.03125,13.03125,3476400.0,5540174172.0,,,,,,,,,,,,,,,,,,
1998-07-02,MU.OQ,13.09375,13.09375,12.75,12.96875,12.96875,3179000.0,5526856445.625,,,,,,,,,,,,,,,,,,
1998-07-06,MU.OQ,12.96875,13.15625,12.6875,13.125,13.125,3231400.0,5566809624.75,,,,,,,,,,,,,,,,,,
1998-07-07,MU.OQ,13.125,13.625,12.75,13.375,13.375,4029200.0,5699986888.5,,,,,,,,,,,,,,,,,,
1998-07-08,MU.OQ,13.40625,13.8125,13.1875,13.5625,13.5625,7515000.0,5806528699.5,,,,,,,,,,,,,,,,,,
1998-07-09,MU.OQ,13.5625,14.625,13.375,14.28125,14.28125,9739000.0,6072883227.0,,,,,,,,,,,,,,,,,,
1998-07-10,MU.OQ,14.40625,14.96875,14.3125,14.6875,14.6875,12743400.0,6219378217.125,,,,,,,,,,,,,,,,,,
1998-07-13,MU.OQ,14.5625,14.875,14.21875,14.6875,14.6875,5200600.0,6285966849.0,,,,,,,,,,,,,,,,,,
1998-07-14,MU.OQ,14.84375,14.9375,14.21875,14.21875,14.21875,3448000.0,6059565500.625,,,,,,,,,,,,,,,,,,
1998-07-15,MU.OQ,14.40625,15.90625,14.03125,15.53125,15.53125,12675800.0,6552321376.5,,,,,,,,,,,,,,,,,,
1998-07-16,MU.OQ,15.6875,15.71875,14.625,14.8125,14.8125,6270200.0,6312602301.75,,,,,,,,,,,,,,,,,,
1998-07-17,MU.OQ,14.75,14.90625,14.40625,14.875,14.875,1963400.0,6339237754.5,,,,,,,,,,,,,,,,,,
1998-07-20,MU.OQ,14.90625,14.90625,14.03125,14.125,14.125,2960000.0,6019612321.5,,,,,,,,,,,,,,,,,,
1998-07-21,MU.OQ,14.125,14.71875,13.875,13.9375,13.9375,5366400.0,5939705963.25,,,,,,,,,,,,,,,,,,
1998-07-22,MU.OQ,13.4375,13.875,13.3125,13.5,13.5,4840800.0,5753257794.0,,,,,,,,,,,,,,,,,,
1998-07-23,MU.OQ,13.46875,13.875,13.40625,13.53125,13.53125,4284400.0,5779893246.75,,,,,,,,,,,,,,,,,,
1998-07-24,MU.OQ,13.5625,13.75,13.125,13.53125,13.53125,4910200.0,5766575520.375,,,,,,,,,,,,,,,,,,
1998-07-27,MU.OQ,13.46875,14.6875,13.09375,14.6875,14.6875,9425800.0,6246013669.875,,,,,,,,,,,,,,,,,,
1998-07-28,MU.OQ,14.78125,15.1875,14.4375,14.96875,14.96875,9580200.0,6352555480.875,,,,,,,,,,,,,,,,,,
1998-07-29,MU.OQ,15.46875,15.84375,14.75,15.09375,15.09375,10503400.0,6445779565.5,,,,,,,,,,,,,,,,,,
1998-07-30,MU.OQ,15.5,15.71875,15.28125,15.59375,15.59375,6093200.0,6645545461.125,,,,,,,,,,,,,,,,,,
1998-07-31,MU.OQ,15.96875,16.75,15.90625,16.6875,16.6875,11137200.0,7098348157.875,,,,,,,,,,,,,,,,,,
1998-08-03,MU.OQ,16.65625,17.375,16.5,17.1875,17.1875,10528600.0,7298114053.5,,,,,,,,,,,,,,,,,,
1998-08-04,MU.OQ,17.1875,17.34375,16.21875,16.28125,16.28125,9419400.0,6925217715.0,,,,,,,,,,,,,,,,,,
1998-08-05,MU.OQ,16.375,17.21875,15.625,17.21875,17.21875,9334200.0,7338067232.625,,,,,,,,,,,,,,,,,,
1998-08-06,MU.OQ,16.8125,18.0625,16.8125,17.5,17.5,14347400.0,7457926770.0,,,,,,,,,,,,,,,,,,
1998-08-07,MU.OQ,17.5625,18.1875,16.75,17.125,17.125,10451400.0,7298114053.5,,,,,,,,,,,,,,,,,,
1998-08-10,MU.OQ,16.75,17.15625,16.40625,16.53125,16.53125,5849800.0,7058394978.75,,,,,,,,,,,,,,,,,,
1998-08-11,MU.OQ,16.09375,16.09375,15.15625,15.34375,15.34375,9194000.0,6539003650.125,,,,,,,,,,,,,,,,,,
1998-08-12,MU.OQ,16.25,17.3125,16.09375,16.59375,16.59375,13375400.0,7071712705.125,,,,,,,,,,,,,,,,,,
1998-08-13,MU.OQ,16.8125,16.96875,16.03125,16.0625,16.0625,5183800.0,6845311356.75,,,,,,,,,,,,,,,,,,
1998-08-14,MU.OQ,16.6875,17.03125,16.40625,16.625,16.625,5933200.0,7071712705.125,,,,,,,,,,,,,,,,,,
1998-08-17,MU.OQ,16.6875,17.625,16.5,17.59375,17.59375,6662800.0,7511197675.5,,,,,,,,,,,,,,,,,,
1998-08-18,MU.OQ,17.625,18.03125,17.25,17.375,17.375,5501200.0,7404655864.5,,,,,,,,,,,,,,,,,,
1998-08-19,MU.OQ,17.46875,17.75,16.71875,17.15625,17.15625,11563000.0,7311431779.875,,,,,,,,,,,,,,,,,,
1998-08-20,MU.OQ,16.75,16.78125,15.8125,16.09375,16.09375,8074800.0,6871946809.5,,,,,,,,,,,,,,,,,,
1998-08-21,MU.OQ,15.5625,15.6875,14.25,14.9375,14.9375,12192800.0,6379190933.625,,,,,,,,,,,,,,,,,,
1998-08-24,MU.OQ,15.75,15.875,14.8125,15.0,15.0,8083600.0,6405826386.375,,,,,,,,,,,,,,,,,,
1998-08-25,MU.OQ,15.3125,15.5,14.78125,15.03125,15.03125,6777600.0,6405826386.375,,,,,,,,,,,,,,,,,,
1998-08-26,MU.OQ,14.6875,14.875,14.21875,14.6875,14.6875,4918000.0,6259331396.25,,,,,,,,,,,,,,,,,,
1998-08-27,MU.OQ,14.21875,14.28125,12.5,13.09375,13.09375,11170400.0,5580127351.125,,,,,,,,,,,,,,,,,,
1998-08-28,MU.OQ,13.125,13.375,11.90625,12.03125,12.03125,8754600.0,5193913286.25,,,,,,,,,,,,,,,,,,
1998-08-31,MU.OQ,12.3125,12.53125,11.1875,11.375,11.375,6817400.0,4847652400.5,,,,,,,,,,,,,,,,,,
1998-09-01,MU.OQ,11.5,12.09375,10.28125,11.8125,11.8125,13338400.0,5034100569.75,,,,,,,,,,,,,,,,,,
1998-09-02,MU.OQ,12.125,12.5625,11.5625,11.96875,11.96875,6091600.0,5100689201.625,,,,,,,,,,,,,,,,,,
