Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,NEE.N,7.40625,7.4375,7.375,7.398438,7.398438,1754399.0,10766507218.4375,,,,,,,,,,,,,,,,,,
1998-01-05,NEE.N,7.414063,7.414063,7.234375,7.28125,7.28125,2640799.0,10595971201.25,,,,,,,,,,,,,,,,,,
1998-01-06,NEE.N,7.21875,7.242188,7.140625,7.210938,7.210938,2762399.0,10493649590.9375,,,,,,,,,,,,,,,,,,
1998-01-07,NEE.N,7.179688,7.179688,7.046875,7.085938,7.085938,8691999.0,10300375438.125,,,,,,,,,,,,,,,,,,
1998-01-08,NEE.N,7.054688,7.15625,7.054688,7.132813,7.132813,5142399.0,10379958912.8125,,,,,,,,,,,,,,,,,,
1998-01-09,NEE.N,7.140625,7.21875,7.09375,7.125,7.125,5867199.0,10368589845.0,,,,,,,,,,,,,,,,,,
1998-01-12,NEE.N,7.03125,7.179688,7.015625,7.179688,7.179688,3274399.0,10448173319.6875,,,,,,,,,,,,,,,,,,
1998-01-13,NEE.N,7.148438,7.179688,7.101563,7.132813,7.132813,2139199.0,10379958912.8125,,,,,,,,,,,,,,,,,,
1998-01-14,NEE.N,7.164063,7.203125,7.09375,7.171875,7.171875,3007199.0,10436804251.875,,,,,,,,,,,,,,,,,,
1998-01-15,NEE.N,7.179688,7.179688,7.0625,7.09375,7.09375,5473599.0,10323113573.75,1381568000.0,3.33195992856388,1454099120.0,0.06528,0.06528,90183000.0,1997-12-31,1477692000.0,1381568000.0,,,1998-01-15,10315015632.5,,2.1290021945304436,0.4697036022645117,,
1998-01-16,NEE.N,7.140625,7.15625,7.0625,7.0625,7.0625,10576799.0,10277637302.5,1381568000.0,3.33195992856388,1454099120.0,0.06528,0.06528,90183000.0,1997-12-31,1477692000.0,1381568000.0,,,1998-01-15,10269575035.0,,2.1196233302373577,0.47178193678780606,,
1998-01-20,NEE.N,7.0625,7.078125,7.03125,7.078125,7.078125,4583999.0,10266268234.6875,1381568000.0,3.33195992856388,1454099120.0,0.06528,0.06528,90183000.0,1997-12-31,1477692000.0,1381568000.0,,,1998-01-15,10292295333.75,,2.1243127623839007,0.47074047555869386,,
1998-01-21,NEE.N,7.078125,7.09375,7.015625,7.0625,7.0625,5537599.0,10277637302.5,1381568000.0,3.33195992856388,1454099120.0,0.06528,0.06528,90183000.0,1997-12-31,1477692000.0,1381568000.0,,,1998-01-15,10269575035.0,,2.1196233302373577,0.47178193678780606,,
1998-01-22,NEE.N,7.109375,7.203125,7.070313,7.1875,7.1875,8271999.0,10459542387.5,1381568000.0,3.33195992856388,1454099120.0,0.06528,0.06528,90183000.0,1997-12-31,1477692000.0,1381568000.0,,,1998-01-15,10451337425.0,,2.1571387874097003,0.46357703353932245,,
1998-01-23,NEE.N,7.203125,7.210938,7.109375,7.148438,7.148438,2068799.0,10402697048.4375,1381568000.0,3.33195992856388,1454099120.0,0.06528,0.06528,90183000.0,1997-12-31,1477692000.0,1381568000.0,,,1998-01-15,10394537405.174559,,2.145415357105172,0.46611020877062653,,
1998-01-26,NEE.N,7.148438,7.25,7.132813,7.210938,7.210938,3307199.0,10493649590.9375,1381568000.0,3.33195992856388,1454099120.0,0.06528,0.06528,90183000.0,1997-12-31,1477692000.0,1381568000.0,,,1998-01-15,10485418600.174559,,2.1641730856913433,0.46207025057820217,,
1998-01-27,NEE.N,7.242188,7.34375,7.226563,7.296875,7.296875,4615999.0,10618709336.875,1381568000.0,3.33195992856388,1454099120.0,0.06528,0.06528,90183000.0,1997-12-31,1477692000.0,1381568000.0,,,1998-01-15,10610379516.25,,2.1899648124355005,0.45662834138776937,,
1998-01-28,NEE.N,7.3125,7.34375,7.296875,7.328125,7.328125,6759199.0,10664185608.125,1381568000.0,3.33195992856388,1454099120.0,0.06528,0.06528,90183000.0,1997-12-31,1477692000.0,1381568000.0,,,1998-01-15,10655820113.75,,2.199343676728586,0.4546810989937917,,
1998-01-29,NEE.N,7.328125,7.351563,7.25,7.25,7.25,2409599.0,10561863997.8125,1381568000.0,3.33195992856388,1454099120.0,0.06528,0.06528,90183000.0,1997-12-31,1477692000.0,1381568000.0,,,1998-01-15,10542218620.0,,2.1758965159958716,0.45958067980191447,,
1998-01-30,NEE.N,7.21875,7.226563,7.15625,7.171875,7.171875,2198399.0,10436804251.875,1381568000.0,3.33195992856388,1454099120.0,0.06528,0.06528,90183000.0,1997-12-31,1477692000.0,1381568000.0,,,1998-01-15,10428617126.25,,2.1524493552631574,0.4645870052899528,,
1998-02-02,NEE.N,7.109375,7.226563,7.109375,7.203125,7.203125,4175999.0,10474057435.625,1381568000.0,3.33195992856388,1454099120.0,0.06528,0.06528,90183000.0,1997-12-31,1477692000.0,1381568000.0,,,1998-01-15,10474057723.75,,2.1618282195562433,0.46257144344487705,,
1998-02-03,NEE.N,7.195313,7.257813,7.1875,7.257813,7.257813,4383199.0,10553578479.0625,1381568000.0,3.33195992856388,1454099120.0,0.06528,0.06528,90183000.0,1997-12-31,1477692000.0,1381568000.0,,,1998-01-15,10553579496.424559,,2.1782413821309716,0.45908594346036197,,
1998-02-04,NEE.N,7.242188,7.28125,7.21875,7.25,7.25,3134399.0,10542218330.0,1381568000.0,3.33195992856388,1454099120.0,0.06528,0.06528,90183000.0,1997-12-31,1477692000.0,1381568000.0,,,1998-01-15,10542218620.0,,2.1758965159958716,0.45958067980191447,,
1998-02-05,NEE.N,7.3125,7.34375,7.234375,7.234375,7.234375,5551999.0,10519498031.875,1381568000.0,3.33195992856388,1454099120.0,0.06528,0.06528,90183000.0,1997-12-31,1477692000.0,1381568000.0,,,1998-01-15,10519498321.25,,2.171207083849329,0.4605732946610978,,
1998-02-06,NEE.N,7.25,7.351563,7.25,7.3125,7.3125,1900799.0,10633099522.5,1381568000.0,3.33195992856388,1454099120.0,0.06528,0.06528,90183000.0,1997-12-31,1477692000.0,1381568000.0,,,1998-01-15,10633099815.0,,2.194654244582043,0.45565263980360754,,
1998-02-09,NEE.N,7.34375,7.351563,7.289063,7.3125,7.3125,2659199.0,10633099522.5,1381568000.0,3.33195992856388,1454099120.0,0.06528,0.06528,90183000.0,1997-12-31,1477692000.0,1381568000.0,,,1998-01-15,10633099815.0,,2.194654244582043,0.45565263980360754,,
1998-02-10,NEE.N,7.3125,7.398438,7.304688,7.382813,7.382813,3673599.0,10712620565.9375,1381568000.0,3.33195992856388,1454099120.0,0.06528,0.06528,90183000.0,1997-12-31,1477692000.0,1381568000.0,,,1998-01-15,10735341886.424559,,2.2157568393033142,0.4513130602879797,,
1998-02-11,NEE.N,7.382813,7.382813,7.34375,7.382813,7.382813,2730399.0,10723980715.0,1381568000.0,3.33195992856388,1454099120.0,0.06528,0.06528,90183000.0,1997-12-31,1477692000.0,1381568000.0,,,1998-01-15,10735341886.424559,,2.2157568393033142,0.4513130602879797,,
1998-02-12,NEE.N,7.375,7.4375,7.328125,7.414063,7.414063,4379199.0,10780781460.3125,1381568000.0,3.33195992856388,1454099120.0,0.06528,0.06528,90183000.0,1997-12-31,1477692000.0,1381568000.0,,,1998-01-15,10780782483.924559,,2.2251357035964,0.4494107925119978,,
1998-02-13,NEE.N,7.414063,7.429688,7.359375,7.375,7.375,1836799.0,10723980715.0,1381568000.0,3.33195992856388,1454099120.0,0.06528,0.06528,90183000.0,1997-12-31,1477692000.0,1381568000.0,,,1998-01-15,10723981010.0,,2.2134119731682143,0.45179117675442443,,
1998-02-17,NEE.N,7.414063,7.4375,7.40625,7.4375,7.4375,2314399.0,10814861907.5,1381568000.0,3.33195992856388,1454099120.0,0.06528,0.06528,90183000.0,1997-12-31,1477692000.0,1381568000.0,,,1998-01-15,10814862205.0,,2.2321697017543856,0.44799461224388304,,
1998-02-18,NEE.N,7.40625,7.46875,7.398438,7.453125,7.453125,1359199.0,10837582205.625,1381568000.0,3.33195992856388,1454099120.0,0.06528,0.06528,90183000.0,1997-12-31,1477692000.0,1381568000.0,,,1998-01-15,10837582503.75,,2.2368591339009285,0.44705542018467154,,
1998-02-19,NEE.N,7.40625,7.4375,7.34375,7.367188,7.367188,1410399.0,10712620565.9375,1381568000.0,3.33195992856388,1454099120.0,0.06528,0.06528,90183000.0,1997-12-31,1477692000.0,1381568000.0,,,1998-01-15,10712621587.674559,,2.2110674071567717,0.4522702459288238,,
1998-02-20,NEE.N,7.382813,7.40625,7.328125,7.390625,7.390625,2495999.0,10735340864.0625,1381568000.0,3.33195992856388,1454099120.0,0.06528,0.06528,90183000.0,1997-12-31,1477692000.0,1381568000.0,,,1998-01-15,10746701308.75,,2.218101405314757,0.4508360157042036,,
1998-02-23,NEE.N,7.40625,7.40625,7.34375,7.375,7.375,2051999.0,10723980715.0,1381568000.0,3.33195992856388,1454099120.0,0.06528,0.06528,90183000.0,1997-12-31,1477692000.0,1381568000.0,,,1998-01-15,10723981010.0,,2.2134119731682143,0.45179117675442443,,
1998-02-24,NEE.N,7.328125,7.359375,7.28125,7.335938,7.335938,5817599.0,10667179969.6875,1381568000.0,3.33195992856388,1454099120.0,0.06528,0.06528,90183000.0,1997-12-31,1477692000.0,1381568000.0,,,1998-01-15,10667180990.174559,,2.201688542863686,0.4541968496140344,,
1998-02-25,NEE.N,7.304688,7.367188,7.289063,7.320313,7.320313,3375999.0,10644459671.5625,1381568000.0,3.33195992856388,1454099120.0,0.06528,0.06528,90183000.0,1997-12-31,1477692000.0,1381568000.0,,,1998-01-15,10644460691.424559,,2.196999110717143,0.45516631987783585,,
1998-02-26,NEE.N,7.335938,7.335938,7.265625,7.28125,7.28125,2895999.0,10587658926.25,1381568000.0,3.33195992856388,1454099120.0,0.06528,0.06528,90183000.0,1997-12-31,1477692000.0,1381568000.0,,,1998-01-15,10587659217.5,,2.1852753802889575,0.4576082305323783,,
1998-02-27,NEE.N,7.28125,7.28125,7.226563,7.257813,7.257813,4974399.0,10553578479.0625,1381568000.0,3.33195992856388,1454099120.0,0.06528,0.06528,90183000.0,1997-12-31,1477692000.0,1381568000.0,,,1998-01-15,10553579496.424559,,2.1782413821309716,0.45908594346036197,,
1998-03-02,NEE.N,7.234375,7.273438,7.21875,7.242188,7.242188,1607999.0,10530858180.9375,1381568000.0,3.33195992856388,1454099120.0,0.06528,0.06528,90183000.0,1997-12-31,1477692000.0,1381568000.0,,,1998-01-15,10530859197.674559,,2.173551949984429,0.46007642007689936,,
