Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,NKE.N,4.90625,5.023438,4.90625,5.007813,5.007813,8758399.0,2895837687.5,,,,,,,,,,,,,,,,,,
1998-01-05,NKE.N,5.195313,5.390625,5.148438,5.351563,5.351563,17431999.0,3094615937.5,,,,,,,,,,,,,,,,,,
1998-01-06,NKE.N,5.34375,5.414063,5.289063,5.34375,5.34375,17263199.0,3090098250.0,,,,,,,,,,,,,,,,,,
1998-01-07,NKE.N,5.273438,5.3125,5.234375,5.296875,5.296875,18461599.0,3062992125.0,,,,,,,,,,,,,,,,,,
1998-01-08,NKE.N,5.304688,5.320313,5.234375,5.265625,5.265625,7210399.0,3049439062.5,,,,,,,,,,,,,,,,,,
1998-01-09,NKE.N,5.25,5.25,4.945313,4.984375,4.984375,11406399.0,2855178500.0,,,,,,,,,,,,,,,,,,
1998-01-12,NKE.N,4.875,5.0,4.875,4.992188,4.992188,11231199.0,2886802312.5,,,,,,,,,,,,,,,,,,
1998-01-13,NKE.N,5.0,5.109375,4.976563,5.109375,5.109375,6134399.0,2959085312.5,,,,,,,,,,,,,,,,,,
1998-01-14,NKE.N,5.101563,5.15625,4.976563,5.148438,5.148438,13710399.0,2977156062.5,,,,,,,,,,,,,,,,,,
1998-01-15,NKE.N,5.125,5.210938,5.117188,5.171875,5.171875,7455199.0,2990709125.0,,,,,,,,,,,,,,,,,,
1998-01-16,NKE.N,5.1875,5.210938,5.117188,5.148438,5.148438,7843999.0,2977156062.5,,,,,,,,,,,,,,,,,,
1998-01-20,NKE.N,5.210938,5.226563,5.140625,5.210938,5.210938,7167199.0,3013297562.5,,,,,,,,,,,,,,,,,,
1998-01-21,NKE.N,5.21875,5.273438,5.195313,5.203125,5.203125,7527199.0,3008779875.0,,,,,,,,,,,,,,,,,,
