Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,NSC.N,30.8125,30.8125,30.0625,30.375,30.375,491600.0,11406139505.75,,,,,,,,,,,,,,,,,,
1998-01-05,NSC.N,30.75,31.0,30.6875,31.0,31.0,598500.0,11688936353.0,,,,,,,,,,,,,,,,,,
1998-01-06,NSC.N,31.0,31.375,30.75,31.0,31.0,479700.0,11688936353.0,,,,,,,,,,,,,,,,,,
1998-01-07,NSC.N,31.0,31.5,30.75,31.5,31.5,964100.0,11877467584.5,,,,,,,,,,,,,,,,,,
1998-01-08,NSC.N,31.0625,31.125,30.3125,30.75,30.75,657300.0,11594670737.25,,,,,,,,,,,,,,,,,,
1998-01-09,NSC.N,30.625,30.625,30.0,30.0,30.0,598300.0,11311873890.0,,,,,,,,,,,,,,,,,,
1998-01-12,NSC.N,29.5,30.5,29.5,30.5,30.5,1250900.0,11500405121.5,,,,,,,,,,,,,,,,,,
1998-01-13,NSC.N,30.875,30.875,30.5625,30.75,30.75,801700.0,11594670737.25,,,,,,,,,,,,,,,,,,
1998-01-14,NSC.N,30.9375,30.9375,30.25,30.4375,30.4375,784000.0,11476838717.5625,,,,,,,,,,,,,,,,,,
1998-01-15,NSC.N,30.3125,30.4375,30.0,30.1875,30.1875,393800.0,11382573101.8125,,,,,,,,,,,,,,,,,,
1998-01-16,NSC.N,30.4375,30.4375,30.0625,30.125,30.125,487800.0,11359006697.875,,,,,,,,,,,,,,,,,,
1998-01-20,NSC.N,30.125,31.5,30.125,31.5,31.5,524100.0,11877467584.5,,,,,,,,,,,,,,,,,,
1998-01-21,NSC.N,31.5,31.5,30.6875,31.375,31.375,927500.0,11830334776.625,,,,,,,,,,,,,,,,,,
1998-01-22,NSC.N,31.375,31.375,30.375,31.3125,31.3125,569300.0,11806768372.6875,,,,,,,,,,,,,,,,,,
1998-01-23,NSC.N,31.5625,32.0,30.625,30.9375,30.9375,602400.0,11665369949.0625,,,,,,,,,,,,,,,,,,
1998-01-26,NSC.N,30.9375,30.9375,30.0,30.3125,30.3125,533600.0,11429705909.6875,,,,,,,,,,,,,,,,,,
1998-01-27,NSC.N,30.1875,30.6875,30.1875,30.5,30.5,475100.0,11500405121.5,,,,,,,,,,,,,,,,,,
1998-01-28,NSC.N,30.3125,32.3125,30.3125,31.6875,31.6875,730200.0,11948166796.3125,,,,,,,,,,,,,,,,,,
1998-01-29,NSC.N,31.625,32.5,31.4375,32.0,32.0,651900.0,12065998816.0,,,,,,,,,,,,,,,,,,
1998-01-30,NSC.N,31.75,32.3125,31.4375,31.5625,31.5625,581400.0,11901033988.4375,,,,,,,,,,,,,,,,,,
1998-02-02,NSC.N,32.0,32.5,31.8125,32.375,32.375,459000.0,12207397239.625,,,,,,,,,,,,,,,,,,
1998-02-03,NSC.N,31.9375,33.125,31.9375,33.0625,33.0625,472300.0,12466627682.9375,,,,,,,,,,,,,,,,,,
1998-02-04,NSC.N,31.9375,33.4375,31.9375,33.1875,33.1875,509700.0,12513760490.8125,,,,,,,,,,,,,,,,,,
1998-02-05,NSC.N,33.375,33.5,32.5625,33.0,33.0,325400.0,12443061279.0,,,,,,,,,,,,,,,,,,
1998-02-06,NSC.N,33.1875,33.8125,33.0625,33.5625,33.5625,422900.0,12655158914.4375,,,,,,,,,,,,,,,,,,
1998-02-09,NSC.N,33.5,33.9375,33.0625,33.9375,33.9375,431700.0,12796557338.0625,,,,,,,,,,,,,,,,,,
1998-02-10,NSC.N,33.6875,33.9375,33.4375,33.6875,33.6875,487900.0,12702291722.3125,,,,,,,,,,,,,,,,,,
1998-02-11,NSC.N,33.6875,34.375,33.5625,34.375,34.375,699500.0,12961522165.625,,,,,,,,,,,,,,,,,,
1998-02-12,NSC.N,34.375,35.125,33.9375,34.875,34.875,459000.0,13197186205.0,,,,,,,,,,,,,,,,,,
1998-02-13,NSC.N,34.5,35.0,34.3125,34.75,34.75,315700.0,13102920589.25,,,,,,,,,,,,,,,,,,
1998-02-17,NSC.N,34.75,35.3125,34.4375,35.3125,35.3125,474300.0,13315018224.6875,,,,,,,,,,,,,,,,,,
1998-02-18,NSC.N,35.6875,35.75,35.3125,35.625,35.625,627600.0,13432850244.375,,,,,,,,,,,,,,,,,,
1998-02-19,NSC.N,35.5,35.5,35.125,35.375,35.375,559700.0,13338584628.625,,,,,,,,,,,,,,,,,,
1998-02-20,NSC.N,35.5625,36.125,35.3125,36.125,36.125,399000.0,13621381475.875,,,,,,,,,,,,,,,,,,
1998-02-23,NSC.N,36.375,36.5,35.25,35.9375,35.9375,330300.0,13550682264.0625,,,,,,,,,,,,,,,,,,
1998-02-24,NSC.N,35.5625,35.5625,34.6875,35.3125,35.3125,389300.0,13315018224.6875,,,,,,,,,,,,,,,,,,
1998-02-25,NSC.N,35.5625,35.5625,35.0,35.3125,35.3125,252100.0,13315018224.6875,,,,,,,,,,,,,,,,,,
