Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,NVR.N,21.875,22.375,21.875,22.3125,22.3125,24600.0,350551687.5,,,,,,,,,,,,,,,,,,
1998-01-05,NVR.N,22.5625,24.25,22.5625,24.0,24.0,125900.0,377064000.0,,,,,,,,,,,,,,,,,,
1998-01-06,NVR.N,23.875,24.75,23.75,24.75,24.75,12900.0,388847250.0,,,,,,,,,,,,,,,,,,
1998-01-07,NVR.N,24.625,24.6875,24.375,24.5,24.5,18300.0,384919500.0,,,,,,,,,,,,,,,,,,
1998-01-08,NVR.N,24.25,24.375,23.5,23.5,23.5,16500.0,369208500.0,,,,,,,,,,,,,,,,,,
1998-01-09,NVR.N,23.75,23.75,22.25,22.3125,22.3125,8000.0,350551687.5,,,,,,,,,,,,,,,,,,
1998-01-12,NVR.N,21.75,22.3125,21.625,22.3125,22.3125,13000.0,350551687.5,,,,,,,,,,,,,,,,,,
1998-01-13,NVR.N,22.5625,23.125,22.5625,23.0,23.0,31000.0,361353000.0,,,,,,,,,,,,,,,,,,
1998-01-14,NVR.N,23.125,23.625,23.0,23.625,23.625,16200.0,371172375.0,,,,,,,,,,,,,,,,,,
1998-01-15,NVR.N,23.5,23.875,23.0,23.375,23.375,18700.0,367244625.0,,,,,,,,,,,,,,,,,,
1998-01-16,NVR.N,23.375,23.6875,23.0,23.125,23.125,10800.0,363316875.0,,,,,,,,,,,,,,,,,,
1998-01-20,NVR.N,23.375,24.0625,23.375,24.0625,24.0625,9200.0,378045937.5,,,,,,,,,,,,,,,,,,
1998-01-21,NVR.N,24.0,25.0,24.0,25.0,25.0,8100.0,392775000.0,,,,,,,,,,,,,,,,,,
1998-01-22,NVR.N,25.0,25.375,24.875,24.875,24.875,20900.0,390811125.0,,,,,,,,,,,,,,,,,,
1998-01-23,NVR.N,25.0,25.0,24.5,24.5,24.5,7000.0,384919500.0,,,,,,,,,,,,,,,,,,
1998-01-26,NVR.N,24.5,24.5,23.5,23.5,23.5,12000.0,369208500.0,,,,,,,,,,,,,,,,,,
1998-01-27,NVR.N,23.25,23.5625,23.125,23.5625,23.5625,14700.0,370190437.5,,,,,,,,,,,,,,,,,,
1998-01-28,NVR.N,23.4375,23.625,23.25,23.3125,23.3125,7100.0,366262687.5,,,,,,,,,,,,,,,,,,
1998-01-29,NVR.N,23.5,25.0,23.5,25.0,25.0,70700.0,392775000.0,12992310.0,13.0370669483673,11094520.0,0.39,0.39,5067000.0,1997-12-31,327624000.0,12992310.0,,,1998-01-29,277363000.0,,1.9176092367256639,0.521482677934692,,
1998-01-30,NVR.N,25.25,25.75,25.0,25.0,25.0,21400.0,392775000.0,12992310.0,13.0370669483673,11094520.0,0.39,0.39,5067000.0,1997-12-31,327624000.0,12992310.0,,,1998-01-29,277363000.0,,1.9176092367256639,0.521482677934692,,
1998-02-02,NVR.N,27.5,29.0,27.375,28.875,28.875,53100.0,453655125.0,12992310.0,13.0370669483673,11094520.0,0.39,0.39,5067000.0,1997-12-31,327624000.0,12992310.0,,,1998-01-29,320354265.0,,2.214838668418142,0.45150015405601035,,
1998-02-03,NVR.N,28.375,30.25,28.375,29.5,29.5,29700.0,463474500.0,12992310.0,13.0370669483673,11094520.0,0.39,0.39,5067000.0,1997-12-31,327624000.0,12992310.0,,,1998-01-29,327288340.0,,2.2627788993362836,0.44193447282601017,,
