Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-30,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-02,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-03,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-04,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-05,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-06,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-09,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-10,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-11,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-12,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-13,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-17,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-18,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-19,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-20,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-23,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-24,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-25,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-26,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-27,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-02,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-03,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-04,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-05,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-06,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-09,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-10,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-11,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-12,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-13,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-16,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-17,NWSA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
