Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,O.N,12.316596,12.407382,12.256072,12.407382,12.407382,56400.0,658528265.0,,,,,,,,,,,,,,,,,,
1998-01-05,O.N,12.37712,12.710001,12.346858,12.528429,12.528429,66000.0,668165264.0,,,,,,,,,,,,,,,,,,
1998-01-06,O.N,12.528429,12.952096,12.528429,12.710001,12.710001,113800.0,674589930.0,,,,,,,,,,,,,,,,,,
1998-01-07,O.N,12.679739,12.800786,12.649477,12.740263,12.740263,43000.0,676196096.5,,,,,,,,,,,,,,,,,,
1998-01-08,O.N,12.649477,12.770524,12.619215,12.679739,12.679739,69000.0,672983763.5,,,,,,,,,,,,,,,,,,
1998-01-09,O.N,12.649477,12.649477,12.528429,12.649477,12.649477,49800.0,671377597.0,,,,,,,,,,,,,,,,,,
1998-01-12,O.N,12.528429,12.649477,12.37712,12.588953,12.588953,51400.0,668165264.0,,,,,,,,,,,,,,,,,,
1998-01-13,O.N,12.649477,12.710001,12.528429,12.679739,12.679739,63200.0,672983763.5,,,,,,,,,,,,,,,,,,
1998-01-14,O.N,12.740263,12.982358,12.740263,12.952096,12.952096,112800.0,687439262.0,,,,,,,,,,,,,,,,,,
1998-01-15,O.N,13.01262,13.01262,12.831048,12.831048,12.831048,57000.0,681014596.0,,,,,,,,,,,,,,,,,,
1998-01-16,O.N,12.921834,13.01262,12.770524,12.831048,12.831048,69800.0,681014596.0,,,,,,,,,,,,,,,,,,
1998-01-20,O.N,12.831048,13.042882,12.831048,12.982358,12.982358,57000.0,689045428.5,,,,,,,,,,,,,,,,,,
1998-01-21,O.N,12.982358,13.01262,12.921834,12.921834,12.921834,61000.0,685833095.5,,,,,,,,,,,,,,,,,,
1998-01-22,O.N,12.921834,12.952096,12.831048,12.831048,12.831048,62800.0,681014596.0,,,,,,,,,,,,,,,,,,
1998-01-23,O.N,12.86131,12.952096,12.649477,12.800786,12.800786,68800.0,679408429.5,,,,,,,,,,,,,,,,,,
1998-01-26,O.N,12.86131,12.952096,12.710001,12.831048,12.831048,57200.0,684226929.0,,,,,,,,,,,,,,,,,,
1998-01-27,O.N,12.770524,12.952096,12.770524,12.952096,12.952096,65200.0,687439262.0,,,,,,,,,,,,,,,,,,
1998-01-28,O.N,12.831048,13.01262,12.831048,12.921834,12.921834,36800.0,685833095.5,,,,,,,,,,,,,,,,,,
1998-01-29,O.N,12.800786,13.01262,12.800786,12.952096,12.952096,64000.0,687439262.0,,,,,,,,,,,,,,,,,,
1998-01-30,O.N,12.891572,13.01262,12.770524,12.891572,12.891572,59800.0,684226929.0,,,,,,,,,,,,,,,,,,
1998-02-02,O.N,12.891572,13.01262,12.831048,12.921834,12.921834,51800.0,685833095.5,,,,,,,,,,,,,,,,,,
1998-02-03,O.N,12.86131,12.982358,12.86131,12.891572,12.891572,52400.0,684226929.0,,,,,,,,,,,,,,,,,,
1998-02-04,O.N,12.891572,13.01262,12.86131,12.86131,12.86131,52400.0,682620762.5,,,,,,,,,,,,,,,,,,
