Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,ODFL.OQ,0.620029,0.669411,0.620029,0.669411,0.669411,150355.0,127520500.0,,,,,,,,,,,,,,,,,,
1998-01-05,ODFL.OQ,0.680385,0.724281,0.680385,0.724281,0.724281,218699.0,137973000.0,,,,,,,,,,,,,,,,,,
1998-01-06,ODFL.OQ,0.724281,0.735255,0.691359,0.691359,0.691359,138965.0,131701500.0,,,,,,,,,,,,,,,,,,
1998-01-07,ODFL.OQ,0.691359,0.713307,0.691359,0.702333,0.702333,189084.0,133792000.0,,,,,,,,,,,,,,,,,,
1998-01-08,ODFL.OQ,0.680385,0.713307,0.680385,0.680385,0.680385,118462.0,129611000.0,,,,,,,,,,,,,,,,,,
1998-01-09,ODFL.OQ,0.696846,0.696846,0.631003,0.658437,0.658437,537636.0,125430000.0,,,,,,,,,,,,,,,,,,
1998-01-12,ODFL.OQ,0.658437,0.658437,0.603568,0.614542,0.614542,437399.0,117068000.0,,,,,,,,,,,,,,,,,,
1998-01-13,ODFL.OQ,0.614542,0.65295,0.603568,0.647463,0.647463,503464.0,123339500.0,,,,,,,,,,,,,,,,,,
1998-01-14,ODFL.OQ,0.65295,0.65295,0.633746,0.641976,0.641976,138965.0,122294249.999999,,,,,,,,,,,,,,,,,,
1998-01-15,ODFL.OQ,0.641976,0.641976,0.641976,0.641976,0.641976,11390.0,122294249.999999,,,,,,,,,,,,,,,,,,
1998-01-16,ODFL.OQ,0.641976,0.647463,0.641976,0.647463,0.647463,97959.0,123339500.0,,,,,,,,,,,,,,,,,,
1998-01-20,ODFL.OQ,0.631003,0.641976,0.631003,0.641976,0.641976,4556.0,122294249.999999,,,,,,,,,,,,,,,,,,
