Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,OKE.N,8.781918,8.795597,8.61777,8.686165,8.686165,144800.0,1240358160.3125,,,,,,,,,,,,,,,,,,
1998-01-05,OKE.N,8.713523,8.75456,8.522017,8.563054,8.563054,340400.0,1222778280.87499,,,,,,,,,,,,,,,,,,
1998-01-06,OKE.N,8.508338,8.508338,8.180042,8.234758,8.234758,406400.0,1175898602.375,,,,,,,,,,,,,,,,,,
1998-01-07,OKE.N,8.248437,8.248437,8.056931,8.111647,8.111647,493200.0,1158318722.9375,,,,,,,,,,,,,,,,,,
1998-01-08,OKE.N,8.097968,8.139005,7.93382,7.988536,7.988536,618800.0,1140738843.5,,,,,,,,,,,,,,,,,,
1998-01-09,OKE.N,7.974857,7.974857,7.304586,7.414018,7.414018,561200.0,1058699406.125,,,,,,,,,,,,,,,,,,
1998-01-12,OKE.N,7.359302,8.084289,7.331944,8.056931,8.056931,866800.0,1150505443.1875,,,,,,,,,,,,,,,,,,
1998-01-13,OKE.N,8.002215,8.029573,7.920141,7.961178,7.961178,248800.0,1136832203.625,,,,,,,,,,,,,,,,,,
1998-01-14,OKE.N,7.93382,8.097968,7.920141,8.097968,8.097968,351200.0,1156365403.0,,,,,,,,,,,,,,,,,,
1998-01-15,OKE.N,8.043252,8.07061,7.988536,7.988536,7.988536,296400.0,1140738843.5,,,,,,,,,,,,,,,,,,
1998-01-16,OKE.N,7.988536,8.029573,7.906462,7.93382,7.93382,248800.0,1132925563.75,,,,,,,,,,,,,,,,,,
1998-01-20,OKE.N,7.892783,7.961178,7.851746,7.961178,7.961178,256000.0,1136832203.625,,,,,,,,,,,,,,,,,,
1998-01-21,OKE.N,7.947499,7.947499,7.701277,7.79703,7.79703,361600.0,1113392364.375,,,,,,,,,,,,,,,,,,
1998-01-22,OKE.N,7.783351,7.810709,7.769672,7.79703,7.79703,373600.0,1113392364.375,,,,,,,,,,,,,,,,,,
1998-01-23,OKE.N,7.769672,7.783351,7.742314,7.742314,7.742314,179600.0,1105579084.625,,,,,,,,,,,,,,,,,,
1998-01-26,OKE.N,7.742314,7.865425,7.742314,7.79703,7.79703,288400.0,1113392364.375,,,,,,,,,,,,,,,,,,
1998-01-27,OKE.N,7.783351,7.865425,7.783351,7.810709,7.810709,130400.0,1115345684.3125,,,,,,,,,,,,,,,,,,
1998-01-28,OKE.N,7.728635,7.728635,7.605524,7.619203,7.619203,328000.0,1087999205.1875,,,,,,,,,,,,,,,,,,
1998-01-29,OKE.N,7.605524,7.742314,7.578166,7.632882,7.632882,303200.0,1089952525.125,,,,,,,,,,,,,,,,,,
1998-01-30,OKE.N,7.66024,7.673919,7.482413,7.482413,7.482413,241600.0,1068466005.8125,,,,,,,,,,,,,,,,,,
1998-02-02,OKE.N,7.496092,7.701277,7.496092,7.701277,7.701277,330400.0,1099719124.8125,,,,,,,,,,,,,,,,,,
1998-02-03,OKE.N,7.673919,7.961178,7.673919,7.961178,7.961178,334000.0,1136832203.625,,,,,,,,,,,,,,,,,,
1998-02-04,OKE.N,7.906462,7.920141,7.838067,7.865425,7.865425,840400.0,1123158964.0625,,,,,,,,,,,,,,,,,,
1998-02-05,OKE.N,7.838067,8.015894,7.838067,8.015894,8.015894,189600.0,1144645483.375,,,,,,,,,,,,,,,,,,
1998-02-06,OKE.N,8.015894,8.07061,7.920141,8.043252,8.043252,129200.0,1148552123.25,,,,,,,,,,,,,,,,,,
1998-02-09,OKE.N,8.002215,8.015894,7.769672,7.783351,7.783351,342000.0,1111439044.4375,,,,,,,,,,,,,,,,,,
1998-02-10,OKE.N,7.783351,7.892783,7.714956,7.892783,7.892783,336800.0,1127065603.9375,,,,,,,,,,,,,,,,,,
1998-02-11,OKE.N,7.906462,7.988536,7.879104,7.906462,7.906462,130400.0,1129018923.875,,,,,,,,,,,,,,,,,,
1998-02-12,OKE.N,7.879104,7.879104,7.79703,7.851746,7.851746,214400.0,1121205644.125,,,,,,,,,,,,,,,,,,
1998-02-13,OKE.N,7.865425,7.879104,7.769672,7.769672,7.769672,296000.0,1109485724.5,,,,,,,,,,,,,,,,,,
1998-02-17,OKE.N,7.824388,7.974857,7.810709,7.824388,7.824388,294400.0,1117299004.25,,,,,,,,,,,,,,,,,,
1998-02-18,OKE.N,7.824388,7.879104,7.824388,7.879104,7.879104,146000.0,1125112284.0,,,,,,,,,,,,,,,,,,
1998-02-19,OKE.N,7.838067,7.865425,7.66024,7.66024,7.66024,534000.0,1093859165.0,,,,,,,,,,,,,,,,,,
1998-02-20,OKE.N,7.66024,7.66024,7.632882,7.66024,7.66024,256400.0,1093859165.0,,,,,,,,,,,,,,,,,,
1998-02-23,OKE.N,7.646561,7.783351,7.605524,7.769672,7.769672,331600.0,1109485724.5,,,,,,,,,,,,,,,,,,
