Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,OMC.N,21.0625,21.09375,20.71875,20.875,20.875,837200.0,79325000.0,,,,,,,,,,,,,,,,,,
1998-01-05,OMC.N,20.8125,20.8125,20.5,20.5625,20.5625,1366600.0,78137500.0,,,,,,,,,,,,,,,,,,
1998-01-06,OMC.N,20.4375,20.4375,20.03125,20.1875,20.1875,677200.0,76712500.0,,,,,,,,,,,,,,,,,,
1998-01-07,OMC.N,20.25,20.3125,20.125,20.15625,20.15625,1171400.0,76593750.0,,,,,,,,,,,,,,,,,,
1998-01-08,OMC.N,20.125,20.34375,20.0,20.21875,20.21875,851800.0,76831250.0,,,,,,,,,,,,,,,,,,
1998-01-09,OMC.N,20.15625,20.1875,18.9375,19.09375,19.09375,2180000.0,72556250.0,,,,,,,,,,,,,,,,,,
1998-01-12,OMC.N,18.78125,19.34375,18.5625,18.9375,18.9375,1945200.0,71962500.0,,,,,,,,,,,,,,,,,,
1998-01-13,OMC.N,18.96875,19.6875,18.96875,19.46875,19.46875,1003600.0,73981250.0,,,,,,,,,,,,,,,,,,
1998-01-14,OMC.N,19.375,19.46875,19.0,19.15625,19.15625,728800.0,72793750.0,,,,,,,,,,,,,,,,,,
1998-01-15,OMC.N,19.25,19.46875,19.0,19.1875,19.1875,726200.0,72912500.0,,,,,,,,,,,,,,,,,,
1998-01-16,OMC.N,19.3125,19.8125,19.3125,19.6875,19.6875,1134400.0,74812500.0,,,,,,,,,,,,,,,,,,
1998-01-20,OMC.N,19.8125,20.71875,19.8125,20.40625,20.40625,1037600.0,77543750.0,,,,,,,,,,,,,,,,,,
1998-01-21,OMC.N,20.1875,20.3125,19.625,19.96875,19.96875,527400.0,75881250.0,,,,,,,,,,,,,,,,,,
1998-01-22,OMC.N,19.875,20.09375,19.4375,19.59375,19.59375,364800.0,74456250.0,,,,,,,,,,,,,,,,,,
1998-01-23,OMC.N,19.59375,19.59375,19.1875,19.28125,19.28125,676600.0,73268750.0,,,,,,,,,,,,,,,,,,
1998-01-26,OMC.N,19.5,19.59375,19.125,19.1875,19.1875,364000.0,72912500.0,,,,,,,,,,,,,,,,,,
1998-01-27,OMC.N,19.25,19.5625,19.15625,19.375,19.375,731200.0,73625000.0,,,,,,,,,,,,,,,,,,
1998-01-28,OMC.N,19.40625,19.9375,19.375,19.8125,19.8125,1260600.0,75287500.0,,,,,,,,,,,,,,,,,,
1998-01-29,OMC.N,20.0625,20.09375,19.90625,20.03125,20.03125,910800.0,76118750.0,,,,,,,,,,,,,,,,,,
1998-01-30,OMC.N,20.125,20.4375,19.96875,20.28125,20.28125,614200.0,77068750.0,,,,,,,,,,,,,,,,,,
1998-02-02,OMC.N,20.4375,20.75,20.40625,20.59375,20.59375,645000.0,78256250.0,,,,,,,,,,,,,,,,,,
1998-02-03,OMC.N,20.71875,21.0625,20.59375,21.0625,21.0625,674000.0,79918750.0,,,,,,,,,,,,,,,,,,
1998-02-04,OMC.N,21.03125,21.625,20.78125,21.625,21.625,753400.0,82175000.0,,,,,,,,,,,,,,,,,,
1998-02-05,OMC.N,21.59375,21.75,21.40625,21.65625,21.65625,626600.0,82293750.0,,,,,,,,,,,,,,,,,,
1998-02-06,OMC.N,21.71875,22.0,21.5625,21.59375,21.59375,637000.0,82056250.0,,,,,,,,,,,,,,,,,,
1998-02-09,OMC.N,21.59375,21.59375,21.25,21.375,21.375,361200.0,81225000.0,,,,,,,,,,,,,,,,,,
1998-02-10,OMC.N,21.375,21.5625,21.3125,21.53125,21.53125,520400.0,81818750.0,,,,,,,,,,,,,,,,,,
1998-02-11,OMC.N,21.65625,21.71875,21.375,21.53125,21.53125,469400.0,81818750.0,,,,,,,,,,,,,,,,,,
1998-02-12,OMC.N,21.53125,21.625,21.03125,21.625,21.625,658400.0,82175000.0,,,,,,,,,,,,,,,,,,
