Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-30,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-02,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-03,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-04,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-05,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-06,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-09,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-10,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-11,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-12,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-13,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-17,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-18,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-19,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-20,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-23,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-24,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-25,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-26,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-27,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-02,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-03,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-04,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-05,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-06,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-09,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-10,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-11,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-12,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-13,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-16,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-17,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-18,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-19,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-20,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-23,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-24,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-25,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-26,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-27,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-30,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-31,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-01,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-02,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-03,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-06,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-07,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-08,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-09,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-13,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-14,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-15,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-16,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-17,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-20,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-21,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-22,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-23,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-24,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-27,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-28,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-29,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-30,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-01,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-04,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-05,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-06,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-07,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-08,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-11,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-12,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-13,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-14,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-15,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-18,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-19,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-20,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-21,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-22,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-26,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-27,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-28,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-29,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-01,PAYC.N,,,,,,0,,,,,,,,,,,,,,,,,,,
