Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,PCAR.OQ,5.851643,5.936041,5.718011,5.844609,5.844609,3015475.0,2018187375.0,,,,,,,,,,,,,,,,,,
1998-01-05,PCAR.OQ,5.907908,6.062639,5.753177,6.062639,6.062639,2919793.0,2093474750.0,,,,,,,,,,,,,,,,,,
1998-01-06,PCAR.OQ,5.992307,6.048573,5.950108,5.964174,5.964174,3777886.0,2059474000.0,,,,,,,,,,,,,,,,,,
1998-01-07,PCAR.OQ,5.879776,5.936041,5.58438,5.718011,5.718011,3762699.0,1974472125.0,,,,,,,,,,,,,,,,,,
1998-01-08,PCAR.OQ,5.626579,5.725045,5.499981,5.542181,5.542181,2977506.0,1913756500.0,,,,,,,,,,,,,,,,,,
1998-01-09,PCAR.OQ,5.556247,5.654712,5.443716,5.464815,5.464815,2660087.0,1887041625.0,,,,,,,,,,,,,,,,,,
1998-01-12,PCAR.OQ,5.457782,5.499981,5.34525,5.419099,5.419099,4068727.0,1871255562.5,,,,,,,,,,,,,,,,,,
1998-01-13,PCAR.OQ,5.401516,5.429649,5.38745,5.415583,5.415583,7263414.0,1870041249.99999,,,,,,,,,,,,,,,,,,
1998-01-14,PCAR.OQ,5.443716,5.598447,5.401516,5.58438,5.58438,4325395.0,1928328250.0,,,,,,,,,,,,,,,,,,
1998-01-15,PCAR.OQ,5.626579,5.626579,5.535148,5.556247,5.556247,2580353.0,1918613750.0,,,,,,,,,,,,,,,,,,
1998-01-16,PCAR.OQ,5.626579,5.767244,5.570314,5.739111,5.739111,1550642.0,1981758000.0,,,,,,,,,,,,,,,,,,
1998-01-20,PCAR.OQ,5.795377,5.879776,5.739111,5.795377,5.795377,2822594.0,2001187000.0,,,,,,,,,,,,,,,,,,
1998-01-21,PCAR.OQ,5.725045,5.82351,5.626579,5.633613,5.633613,1675938.0,1945328625.0,,,,,,,,,,,,,,,,,,
1998-01-22,PCAR.OQ,5.647679,5.78131,5.577347,5.626579,5.626579,2811203.0,1942900000.0,,,,,,,,,,,,,,,,,,
1998-01-23,PCAR.OQ,5.626579,5.668779,5.499981,5.556247,5.556247,2424681.0,1918613750.0,,,,,,,,,,,,,,,,,,
1998-01-26,PCAR.OQ,5.542181,5.58438,5.499981,5.521081,5.521081,2657809.0,1906470625.0,,,,,,,,,,,,,,,,,,
1998-01-27,PCAR.OQ,5.521081,5.556247,5.485915,5.542181,5.542181,2259138.0,1913756500.0,,,,,,,,,,,,,,,,,,
1998-01-28,PCAR.OQ,5.570314,5.753177,5.570314,5.710978,5.710978,2333557.0,1972043500.0,,,,,,,,,,,,,,,,,,
1998-01-29,PCAR.OQ,5.682845,5.795377,5.682845,5.725045,5.725045,2179404.0,1976900750.0,,,,,,,,,,,,,,,,,,
1998-01-30,PCAR.OQ,5.710978,5.753177,5.654712,5.682845,5.682845,2052588.0,1962329000.0,,,,,,,,,,,,,,,,,,
1998-02-02,PCAR.OQ,5.78131,6.090772,5.767244,6.069673,6.069673,3548555.0,2095903375.0,,,,,,,,,,,,,,,,,,
1998-02-03,PCAR.OQ,6.104839,6.526832,6.076706,6.431884,6.431884,10414058.0,2220977562.5,592676999.92213,2.53523332192473,590793749.45375,0.22461,-1.22845,132700000.0,1997-12-31,1885000000.0,590793749.92242,,,1998-02-03,3799916864.4115834,,2.536998841241548,0.3941665182277432,,
1998-02-04,PCAR.OQ,6.470566,6.498699,6.245503,6.315835,6.315835,9445096.0,2180905250.0,592676999.92213,2.53523332192473,590793749.45375,0.22461,-1.22845,132700000.0,1997-12-31,1885000000.0,590793749.92242,,,1998-02-03,3731355840.581225,,2.4912243561097824,0.40140904914785297,,
