Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,PG.N,39.35288,40.159164,39.135803,40.159164,40.159164,2542400.0,108779366906.875,,,,,,,,,,,,,,,,,,
1998-01-05,PG.N,40.283208,41.089492,39.911077,41.02747,41.02747,4099000.0,110963354196.125,,,,,,,,,,,,,,,,,,
1998-01-06,PG.N,40.438263,41.058481,40.407252,40.872416,40.872416,3335800.0,110627356151.625,,,,,,,,,,,,,,,,,,
1998-01-07,PG.N,40.500284,40.562306,39.973098,40.407252,40.407252,3567000.0,109451362995.875,,,,,,,,,,,,,,,,,,
1998-01-08,PG.N,40.190175,40.407252,39.973098,39.973098,39.973098,2406000.0,108191370329.0,,,,,,,,,,,,,,,,,,
1998-01-09,PG.N,39.631978,39.849055,38.732661,39.228836,39.228836,3836200.0,106007383039.75,,,,,,,,,,,,,,,,,,
1998-01-12,PG.N,38.515584,40.841405,38.484573,40.779383,40.779383,4158400.0,110627356151.625,,,,,,,,,,,,,,,,,,
1998-01-13,PG.N,40.469273,40.996459,39.973098,40.252197,40.252197,3825600.0,109031365440.25,,,,,,,,,,,,,,,,,,
1998-01-14,PG.N,40.283208,40.376241,39.290858,39.973098,39.973098,3447200.0,108275369840.125,,,,,,,,,,,,,,,,,,
1998-01-15,PG.N,39.849055,39.973098,39.538945,39.662989,39.662989,2094800.0,107435374728.875,,,,,,,,,,,,,,,,,,
1998-01-16,PG.N,39.911077,39.911077,39.166814,39.321869,39.321869,4655400.0,106595379617.625,,,,,,,,,,,,,,,,,,
1998-01-20,PG.N,39.849055,40.159164,39.631978,40.128153,40.128153,2665400.0,108527368373.5,,,,,,,,,,,,,,,,,,
1998-01-21,PG.N,40.314219,40.593317,39.631978,40.190175,40.190175,2964800.0,108863366418.0,,,,,,,,,,,,,,,,,,
1998-01-22,PG.N,40.283208,40.314219,39.259847,39.662989,39.662989,2749000.0,107351375217.75,,,,,,,,,,,,,,,,,,
1998-01-23,PG.N,39.942088,39.942088,38.825694,38.887716,38.887716,3424200.0,105335386950.75,,,,,,,,,,,,,,,,,,
1998-01-26,PG.N,38.949738,39.197825,38.825694,38.949738,38.949738,3087000.0,105503385973.0,,,,,,,,,,,,,,,,,,
1998-01-27,PG.N,38.732661,40.34523,38.732661,40.190175,40.190175,6813000.0,108564094330.75,2940600000.0,3.82918467729915,2683600000.0,0.3789,0.35367,1020000000.0,1997-12-31,9641000000.0,2692000000.0,,,1998-01-27,107854353630.00002,,10.495752591475284,0.09527663607583568,,
1998-01-28,PG.N,40.190175,40.190175,38.949738,39.321869,39.321869,3388600.0,106382744676.5,2940600000.0,3.82918467729915,2683600000.0,0.3789,0.35367,1020000000.0,1997-12-31,9641000000.0,2692000000.0,,,1998-01-27,105524167648.4,,10.268992569910472,0.09738053593788104,,
1998-01-29,PG.N,39.321869,39.787033,38.36053,38.70165,38.70165,4814400.0,104704783404.0,2940600000.0,3.82918467729915,2683600000.0,0.3789,0.35367,1020000000.0,1997-12-31,9641000000.0,2692000000.0,,,1998-01-27,103859747940.0,,10.107021014013236,0.09894112207875246,,
1998-01-30,PG.N,38.639628,39.197825,38.453563,38.887716,38.887716,3604800.0,105208171785.75,2940600000.0,3.82918467729915,2683600000.0,0.3789,0.35367,1020000000.0,1997-12-31,9641000000.0,2692000000.0,,,1998-01-27,104359074657.59999,,10.155612559128066,0.0984677186312292,,
1998-02-02,PG.N,39.290858,39.600967,39.04277,39.507934,39.507934,2881600.0,106718336931.0,2940600000.0,3.82918467729915,2683600000.0,0.3789,0.35367,1020000000.0,1997-12-31,9641000000.0,2692000000.0,,,1998-01-27,106023491682.4,,10.317583853873103,0.09692191642567669,,
1998-02-03,PG.N,39.445913,40.593317,39.04277,40.34523,40.34523,4392000.0,109151380776.125,2940600000.0,3.82918467729915,2683600000.0,0.3789,0.35367,1020000000.0,1997-12-31,9641000000.0,2692000000.0,,,1998-01-27,108270459228.0,,10.536245545737643,0.09491046840727267,,
