Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-05,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-06,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-07,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-08,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-09,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-12,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-13,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-14,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-15,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-16,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-20,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-21,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-22,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-23,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-26,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-27,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-28,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-29,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-01-30,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-02,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-03,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-04,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-05,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-06,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-09,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-10,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-11,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-12,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-13,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-17,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-18,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-19,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-20,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-23,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-24,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-25,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-26,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-02-27,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-02,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-03,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-04,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-05,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-06,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-09,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-10,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-11,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-12,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-13,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-16,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-17,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-18,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-19,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-20,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-23,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-24,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-25,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-26,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-27,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-30,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-03-31,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-01,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-02,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-03,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-06,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-07,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-08,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-09,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-13,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-14,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-15,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-16,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-17,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-20,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-21,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-22,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-23,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-24,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-27,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-28,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-29,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-04-30,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-01,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-04,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-05,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-06,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-07,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-08,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-11,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-12,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-13,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-14,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-15,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-18,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-19,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-20,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-21,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-22,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-26,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-27,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-28,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-05-29,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-01,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-02,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-03,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-04,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-06-05,PM.N,,,,,,0,,,,,,,,,,,,,,,,,,,
