Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,PNC.N,56.5,56.9375,55.8125,56.375,56.375,174400.0,17176972601.25,,,,,,,,,,,,,,,,,,
1998-01-05,PNC.N,56.3125,57.75,56.3125,56.625,56.625,302700.0,17253145428.75,,,,,,,,,,,,,,,,,,
1998-01-06,PNC.N,56.0,56.0,54.6875,55.125,55.125,358300.0,16796108463.75,,,,,,,,,,,,,,,,,,
1998-01-07,PNC.N,54.75,54.75,53.375,53.875,53.875,488700.0,16415244326.25,,,,,,,,,,,,,,,,,,
1998-01-08,PNC.N,53.625,54.0,52.25,52.375,52.375,369000.0,15958207361.25,,,,,,,,,,,,,,,,,,
1998-01-09,PNC.N,51.625,52.375,50.3125,50.9375,50.9375,658900.0,15520213603.125,,,,,,,,,,,,,,,,,,
1998-01-12,PNC.N,49.75,50.8125,49.5625,50.5625,50.5625,449600.0,15405954361.875,,,,,,,,,,,,,,,,,,
1998-01-13,PNC.N,50.8125,52.1875,50.8125,52.1875,52.1875,497200.0,15901077740.625,,,,,,,,,,,,,,,,,,
1998-01-14,PNC.N,52.375,52.9375,52.1875,52.8125,52.8125,438500.0,16091509809.375,,,,,,,,,,,,,,,,,,
1998-01-15,PNC.N,52.625,52.75,51.25,51.8125,51.8125,404700.0,15786818499.375,,,,,,,,,,,,,,,,,,
1998-01-16,PNC.N,52.625,53.0,51.8125,52.1875,52.1875,519600.0,15901077740.625,,,,,,,,,,,,,,,,,,
1998-01-20,PNC.N,52.1875,52.5625,51.75,52.375,52.375,245700.0,15958207361.25,,,,,,,,,,,,,,,,,,
1998-01-21,PNC.N,52.375,52.4375,50.5,51.3125,51.3125,365200.0,15634472844.375,,,,,,,,,,,,,,,,,,
1998-01-22,PNC.N,50.875,51.3125,50.5,51.0,51.0,260900.0,15539256810.0,,,,,,,,,,,,,,,,,,
1998-01-23,PNC.N,51.0625,51.5,50.125,50.125,50.125,436600.0,15272651913.75,,,,,,,,,,,,,,,,,,
1998-01-26,PNC.N,50.375,51.0,49.875,49.9375,49.9375,294900.0,15215522293.125,,,,,,,,,,,,,,,,,,
1998-01-27,PNC.N,49.9375,52.4375,49.5,51.1875,51.1875,664700.0,15596386430.625,,,,,,,,,,,,,,,,,,
1998-01-28,PNC.N,51.0625,52.875,51.0625,51.5625,51.5625,332800.0,15710645671.875,,,,,,,,,,,,,,,,,,
1998-01-29,PNC.N,51.5625,53.5,51.5625,52.5625,52.5625,375900.0,16015336981.875,,,,,,,,,,,,,,,,,,
1998-01-30,PNC.N,52.3125,52.625,51.375,51.5625,51.5625,357300.0,15710645671.875,,,,,,,,,,,,,,,,,,
1998-02-02,PNC.N,52.5,53.25,52.3125,53.0625,53.0625,403400.0,16167682636.875,,,,,,,,,,,,,,,,,,
1998-02-03,PNC.N,52.5625,54.8125,52.5625,54.8125,54.8125,411500.0,16700892429.375,,,,,,,,,,,,,,,,,,
1998-02-04,PNC.N,55.0625,55.0625,53.875,54.5625,54.5625,516100.0,16624719601.875,,,,,,,,,,,,,,,,,,
1998-02-05,PNC.N,54.625,54.875,53.625,54.625,54.625,294200.0,16624719601.875,,,,,,,,,,,,,,,,,,
1998-02-06,PNC.N,54.875,56.3125,54.875,55.4375,55.4375,356400.0,16891324498.125,,,,,,,,,,,,,,,,,,
1998-02-09,PNC.N,55.6875,55.6875,54.5625,55.1875,55.1875,172200.0,16815151670.625,,,,,,,,,,,,,,,,,,
1998-02-10,PNC.N,55.0,55.375,54.75,55.0,55.0,542700.0,16758022050.0,,,,,,,,,,,,,,,,,,
1998-02-11,PNC.N,55.0,55.0625,54.8125,54.9375,54.9375,298700.0,16738978843.125,,,,,,,,,,,,,,,,,,
1998-02-12,PNC.N,54.6875,55.0,54.1875,54.625,54.625,356500.0,16643762808.75,,,,,,,,,,,,,,,,,,
1998-02-13,PNC.N,54.375,54.4375,53.8125,54.125,54.125,411000.0,16491417153.75,,,,,,,,,,,,,,,,,,
1998-02-17,PNC.N,54.25,54.9375,54.1875,54.625,54.625,283200.0,16643762808.75,,,,,,,,,,,,,,,,,,
1998-02-18,PNC.N,54.625,55.5,54.4375,55.5,55.5,262200.0,16910367705.0,,,,,,,,,,,,,,,,,,
1998-02-19,PNC.N,55.25,55.375,54.0625,54.875,54.875,393700.0,16719935636.25,,,,,,,,,,,,,,,,,,
1998-02-20,PNC.N,55.125,55.125,53.75,54.6875,54.6875,386500.0,16662806015.625,,,,,,,,,,,,,,,,,,
1998-02-23,PNC.N,54.6875,54.875,53.6875,53.75,53.75,943700.0,16377157912.5,,,,,,,,,,,,,,,,,,
1998-02-24,PNC.N,53.625,54.5625,53.625,54.25,54.25,422000.0,16529503567.5,,,,,,,,,,,,,,,,,,
1998-02-25,PNC.N,54.375,55.5,54.375,55.125,55.125,472600.0,16796108463.75,,,,,,,,,,,,,,,,,,
1998-02-26,PNC.N,55.0,55.4375,54.5625,55.4375,55.4375,436800.0,16891324498.125,,,,,,,,,,,,,,,,,,
1998-02-27,PNC.N,55.25,55.5,54.8125,55.5,55.5,302500.0,16910367705.0,,,,,,,,,,,,,,,,,,
1998-03-02,PNC.N,55.9375,56.125,55.125,55.1875,55.1875,452900.0,16599132067.1875,,,,,,,,,,,,,,,,,,
1998-03-03,PNC.N,54.1875,55.8125,54.1875,55.6875,55.6875,375600.0,16749520579.6875,,,,,,,,,,,,,,,,,,
1998-03-04,PNC.N,55.6875,55.6875,54.9375,55.25,55.25,190600.0,16617930631.25,,,,,,,,,,,,,,,,,,
1998-03-05,PNC.N,54.5,55.375,54.5,55.25,55.25,374500.0,16617930631.25,,,,,,,,,,,,,,,,,,
1998-03-06,PNC.N,55.5625,57.0,55.5625,56.9375,56.9375,551800.0,17069096168.75,,,,,,,,,,,,,,,,,,
1998-03-09,PNC.N,56.875,56.9375,56.375,56.8125,56.8125,337300.0,17087894732.8125,,,,,,,,,,,,,,,,,,
1998-03-10,PNC.N,57.0,57.25,56.75,57.1875,57.1875,256300.0,17200686117.1875,,,,,,,,,,,,,,,,,,
1998-03-11,PNC.N,57.4375,58.6875,57.3125,58.25,58.25,471600.0,17520261706.25,,,,,,,,,,,,,,,,,,
1998-03-12,PNC.N,58.25,59.0625,58.0,58.625,58.625,536500.0,17633053090.625,,,,,,,,,,,,,,,,,,
1998-03-13,PNC.N,59.0,59.125,58.25,58.375,58.375,479000.0,17482664578.125,,,,,,,,,,,,,,,,,,
1998-03-16,PNC.N,59.875,60.3125,59.375,60.25,60.25,784700.0,18121815756.25,,,,,,,,,,,,,,,,,,
1998-03-17,PNC.N,60.25,60.25,59.75,59.9375,59.9375,344600.0,18027822935.9375,,,,,,,,,,,,,,,,,,
1998-03-18,PNC.N,60.0,60.125,59.75,59.875,59.875,434600.0,18009024371.875,,,,,,,,,,,,,,,,,,
1998-03-19,PNC.N,59.875,61.1875,59.875,61.0625,61.0625,490700.0,18366197089.0625,,,,,,,,,,,,,,,,,,
1998-03-20,PNC.N,61.5625,61.625,60.375,60.5,60.5,802300.0,18197010012.5,,,,,,,,,,,,,,,,,,
1998-03-23,PNC.N,60.375,60.4375,59.75,60.0,60.0,483900.0,18046621500.0,,,,,,,,,,,,,,,,,,
1998-03-24,PNC.N,60.375,60.75,60.0,60.0625,60.0625,378500.0,18065420064.0625,,,,,,,,,,,,,,,,,,
1998-03-25,PNC.N,60.3125,60.375,59.125,59.25,59.25,508000.0,17821038731.25,,,,,,,,,,,,,,,,,,
1998-03-26,PNC.N,58.625,59.6875,58.625,59.4375,59.4375,327300.0,17877434423.4375,,,,,,,,,,,,,,,,,,
1998-03-27,PNC.N,59.8125,59.875,58.25,58.875,58.875,229900.0,17708247346.875,,,,,,,,,,,,,,,,,,
1998-03-30,PNC.N,58.875,59.125,58.5625,58.875,58.875,323800.0,17708247346.875,,,,,,,,,,,,,,,,,,
1998-03-31,PNC.N,59.0,61.0,59.0,59.9375,59.9375,604900.0,18015234562.5,,,,,,,,,,,,,,,,,,
1998-04-01,PNC.N,60.0,60.0,58.0,59.8125,59.8125,400600.0,17977663687.5,,,,,,,,,,,,,,,,,,
1998-04-02,PNC.N,59.8125,60.625,59.375,60.625,60.625,193000.0,18221874375.0,,,,,,,,,,,,,,,,,,
1998-04-03,PNC.N,60.625,61.375,60.0625,60.25,60.25,278900.0,18109161750.0,,,,,,,,,,,,,,,,,,
1998-04-06,PNC.N,60.4375,61.6875,60.4375,61.125,61.125,402700.0,18334587000.0,,,,,,,,,,,,,,,,,,
1998-04-07,PNC.N,61.0,61.75,60.9375,61.25,61.25,656200.0,18409728750.0,,,,,,,,,,,,,,,,,,
1998-04-08,PNC.N,61.0,61.25,60.25,60.25,60.25,342200.0,18146732625.0,,,,,,,,,,,,,,,,,,
1998-04-09,PNC.N,60.5,61.125,59.75,61.125,61.125,342200.0,18372157875.0,,,,,,,,,,,,,,,,,,
1998-04-13,PNC.N,62.625,65.125,62.125,64.6875,64.6875,990900.0,19442927812.5,,,,,,,,,,,,,,,,,,
1998-04-14,PNC.N,64.8125,65.125,63.5,64.25,64.25,595800.0,19311429750.0,,,,,,,,,,,,,,,,,,
1998-04-15,PNC.N,64.5,65.25,63.125,64.875,64.875,431100.0,19499284125.0,,,,,,,,,,,,,,,,,,
